,Report_Date,Saint Kitts and Nevis_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,77.09993073495481,8.984762307529293,True,1,0.0037591316424645045,17.969524615056347
1,2020-01-23,0,77.09993073495481,8.984762307529293,True,2,0.004201708029872788,17.969524615056347
2,2020-01-24,0,77.09993073495481,8.984762307529293,True,3,0.004696376941437605,17.969524615056347
3,2020-01-25,0,77.09993073495481,8.984762307529293,True,4,0.005249266422472235,17.969524615056347
4,2020-01-26,0,77.09993073495481,8.984762307529293,True,5,0.005867224560952967,17.969524615056347
5,2020-01-27,0,77.09993073495481,8.984762307529293,True,6,0.006557903881169004,17.969524615056347
6,2020-01-28,0,77.09993073495481,8.984762307529293,True,7,0.007329855576219243,17.969524615056347
7,2020-01-29,0,77.09993073495481,8.984762307529293,True,8,0.008192634713254144,17.969524615056347
8,2020-01-30,0,77.09993073495481,8.984762307529293,True,9,0.009156917672747204,17.969524615056347
9,2020-01-31,0,77.09993073495481,8.984762307529293,True,10,0.010234633223946403,17.969524615056347
10,2020-02-01,0,77.09993073495481,8.984762307529293,True,11,0.011439108794213282,17.969524615056347
11,2020-02-02,0,77.09993073495481,8.984762307529293,True,12,0.012785233661468724,17.969524615056347
12,2020-02-03,0,77.09993073495481,8.984762307529293,True,13,0.014289640987727194,17.969524615056347
13,2020-02-04,0,77.09993073495481,8.984762307529293,True,14,0.015970910819022636,17.969524615056347
14,2020-02-05,0,77.09993073495481,8.984762307529293,True,15,0.017849796404195636,17.969524615056347
15,2020-02-06,0,77.09993073495481,8.984762307529293,True,16,0.019949476433241086,17.969524615056347
16,2020-02-07,0,77.09993073495481,8.984762307529293,True,17,0.02229583606630069,17.969524615056347
17,2020-02-08,0,77.09993073495481,8.984762307529293,True,18,0.02491777991781095,17.969524615056347
18,2020-02-09,0,77.09993073495481,8.984762307529293,True,19,0.027847580477361827,17.969524615056347
19,2020-02-10,0,77.09993073495481,8.984762307529293,True,20,0.031121265789618557,17.969524615056347
20,2020-02-11,0,77.09993073495481,8.984762307529293,True,21,0.034779050579731796,17.969524615056347
21,2020-02-12,0,77.09993073495481,8.984762307529293,True,22,0.03886581539670246,17.969524615056347
22,2020-02-13,0,77.09993073495481,8.984762307529293,True,23,0.04343163875276745,17.969524615056347
23,2020-02-14,0,77.09993073495481,8.984762307529293,True,24,0.04853238765817877,17.969524615056347
24,2020-02-15,0,77.09993073495481,8.984762307529293,True,25,0.05423037238203218,17.969524615056347
25,2020-02-16,0,77.09993073495481,8.984762307529293,True,26,0.06059507170293893,17.969524615056347
26,2020-02-17,0,77.09993073495481,8.984762307529293,True,27,0.0677039353371417,17.969524615056347
27,2020-02-18,0,77.09993073495481,8.984762307529293,True,28,0.0756432706311315,17.969524615056347
