,Report_Date,Eritrea_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,73.95847600381808,22.292511005599298,True,1,0.0005209420495354373,43.18790178541961
1,2020-01-23,0,73.95847600381808,22.292511005599298,True,2,0.000608687051268704,43.18790178541961
2,2020-01-24,0,73.95847600381808,22.292511005599298,True,3,0.0007112111681046376,43.18790178541961
3,2020-01-25,0,73.95847600381808,22.292511005599298,True,4,0.0008310035980978338,43.18790178541961
4,2020-01-26,0,73.95847600381808,22.292511005599298,True,5,0.0009709727553458291,43.18790178541961
5,2020-01-27,0,73.95847600381808,22.292511005599298,True,6,0.0011345168603937908,43.18790178541961
6,2020-01-28,0,73.95847600381808,22.292511005599298,True,7,0.001325606412928846,43.18790178541961
7,2020-01-29,0,73.95847600381808,22.292511005599298,True,8,0.0015488805453448972,43.18790178541961
8,2020-01-30,0,73.95847600381808,22.292511005599298,True,9,0.001809759591356791,43.18790178541961
9,2020-01-31,0,73.95847600381808,22.292511005599298,True,10,0.002114576595589084,43.18790178541961
10,2020-02-01,0,73.95847600381808,22.292511005599298,True,11,0.0024707309472785737,43.18790178541961
11,2020-02-02,0,73.95847600381808,22.292511005599298,True,12,0.0028868678547496643,43.18790178541961
12,2020-02-03,0,73.95847600381808,22.292511005599298,True,13,0.0033730879997427724,43.18790178541961
13,2020-02-04,0,73.95847600381808,22.292511005599298,True,14,0.003941192436621036,43.18790178541961
14,2020-02-05,0,73.95847600381808,22.292511005599298,True,15,0.00460496864790746,43.18790178541961
15,2020-02-06,0,73.95847600381808,22.292511005599298,True,16,0.005380524654152357,43.18790178541961
16,2020-02-07,0,73.95847600381808,22.292511005599298,True,17,0.006286679225508642,43.18790178541961
17,2020-02-08,0,73.95847600381808,22.292511005599298,True,18,0.007345417580809079,43.18790178541961
18,2020-02-09,0,73.95847600381808,22.292511005599298,True,19,0.00858242351757545,43.18790178541961
19,2020-02-10,0,73.95847600381808,22.292511005599298,True,20,0.010027700727905129,43.18790178541961
20,2020-02-11,0,73.95847600381808,22.292511005599298,True,21,0.01171629816025096,43.18790178541961
21,2020-02-12,0,73.95847600381808,22.292511005599298,True,22,0.013689156730973602,43.18790178541961
22,2020-02-13,0,73.95847600381808,22.292511005599298,True,23,0.01599409752353269,43.18790178541961
23,2020-02-14,0,73.95847600381808,22.292511005599298,True,24,0.018686974895195437,43.18790178541961
24,2020-02-15,0,73.95847600381808,22.292511005599298,True,25,0.021833021706007403,43.18790178541961
25,2020-02-16,0,73.95847600381808,22.292511005599298,True,26,0.02550841826439861,43.18790178541961
26,2020-02-17,0,73.95847600381808,22.292511005599298,True,27,0.029802121626994513,43.18790178541961
27,2020-02-18,0,73.95847600381808,22.292511005599298,True,28,0.034817997681964766,43.18790178541961
28,2020-02-19,0,73.95847600381808,22.292511005599298,True,29,0.040677305075295156,43.18790178541961
29,2020-02-20,0,73.95847600381808,22.292511005599298,True,30,0.04752158759954421,43.18790178541961
30,2020-02-21,0,73.95847600381808,22.292511005599298,True,31,0.05551604024468263,43.18790178541961
