,Report_Date,China_yunnan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,1,11.401944957350905,88.03315172747394,True,1,11.765163771849979,176.06630306263838
1,2020-01-23,2,11.401944957350905,88.03315172747394,True,2,14.87254482081301,176.06630306263838
2,2020-01-24,5,11.401944957350905,88.03315172747394,True,3,18.707192719950804,176.06630306263838
3,2020-01-25,11,11.401944957350905,88.03315172747394,True,4,23.387095512846162,176.06630306263838
4,2020-01-26,16,11.401944957350905,88.03315172747394,True,5,29.021828163403136,176.06630306263838
5,2020-01-27,26,11.401944957350905,88.03315172747394,True,6,35.696747270289634,176.06630306263838
6,2020-01-28,44,11.401944957350905,88.03315172747394,True,7,43.45320416432045,176.06630306263838
7,2020-01-29,55,11.401944957350905,88.03315172747394,True,8,52.26747999731096,176.06630306263838
8,2020-01-30,70,11.401944957350905,88.03315172747394,True,9,62.03333569217699,176.06630306263838
9,2020-01-31,83,11.401944957350905,88.03315172747394,True,10,72.5544894647353,176.06630306263838
10,2020-02-01,93,11.401944957350905,88.03315172747394,True,11,83.55261337151616,176.06630306263838
11,2020-02-02,105,11.401944957350905,88.03315172747394,True,12,94.69277518398012,176.06630306263838
12,2020-02-03,117,11.401944957350905,88.03315172747394,True,13,105.62247227764416,176.06630306263838
13,2020-02-04,122,11.401944957350905,88.03315172747394,True,14,116.01512013772779,176.06630306263838
14,2020-02-05,128,11.401944957350905,88.03315172747394,True,15,125.60700795049715,176.06630306263838
15,2020-02-06,133,11.401944957350905,88.03315172747394,True,16,134.2194282862598,176.06630306263838
16,2020-02-07,138,11.401944957350905,88.03315172747394,True,17,141.76332208379972,176.06630306263838
17,2020-02-08,138,11.401944957350905,88.03315172747394,True,18,148.2293055821348,176.06630306263838
18,2020-02-09,141,11.401944957350905,88.03315172747394,True,19,153.66903646807805,176.06630306263838
19,2020-02-10,149,11.401944957350905,88.03315172747394,True,20,158.17408002853148,176.06630306263838
20,2020-02-11,153,11.401944957350905,88.03315172747394,True,21,161.85675848859688,176.06630306263838
21,2020-02-12,154,11.401944957350905,88.03315172747394,True,22,164.83526777898405,176.06630306263838
22,2020-02-13,156,11.401944957350905,88.03315172747394,True,23,167.22355139707054,176.06630306263838
23,2020-02-14,162,11.401944957350905,88.03315172747394,True,24,169.12535125219802,176.06630306263838
24,2020-02-15,168,11.401944957350905,88.03315172747394,True,25,170.63142669139137,176.06630306263838
25,2020-02-16,171,11.401944957350905,88.03315172747394,True,26,171.8189149477191,176.06630306263838
26,2020-02-17,171,11.401944957350905,88.03315172747394,True,27,172.7519837767618,176.06630306263838
27,2020-02-18,172,11.401944957350905,88.03315172747394,True,28,173.48315714214155,176.06630306263838
28,2020-02-19,172,11.401944957350905,88.03315172747394,True,29,174.05490417671913,176.06630306263838
29,2020-02-20,174,11.401944957350905,88.03315172747394,True,30,174.5012438254093,176.06630306263838
30,2020-02-21,174,11.401944957350905,88.03315172747394,True,31,174.84923102258676,176.06630306263838
31,2020-02-22,174,11.401944957350905,88.03315172747394,True,32,175.12026358939363,176.06630306263838
32,2020-02-23,174,11.401944957350905,88.03315172747394,True,33,175.33119306654675,176.06630306263838
33,2020-02-24,174,11.401944957350905,88.03315172747394,True,34,175.49524697035864,176.06630306263838
34,2020-02-25,174,11.401944957350905,88.03315172747394,True,35,175.6227817304861,176.06630306263838
