,Report_Date,Malawi_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,180.99153188074675,2996.319436054989,True,1,0.06386149494192073,5502.257355928445
1,2020-01-23,0,180.99153188074675,2996.319436054989,True,2,0.0680556801476755,5502.257355928445
2,2020-01-24,0,180.99153188074675,2996.319436054989,True,3,0.0725253204873614,5502.257355928445
3,2020-01-25,0,180.99153188074675,2996.319436054989,True,4,0.07728850615732483,5502.257355928445
4,2020-01-26,0,180.99153188074675,2996.319436054989,True,5,0.08236451534521155,5502.257355928445
5,2020-01-27,0,180.99153188074675,2996.319436054989,True,6,0.0877738922375633,5502.257355928445
6,2020-01-28,0,180.99153188074675,2996.319436054989,True,7,0.09353853014853247,5502.257355928445
7,2020-01-29,0,180.99153188074675,2996.319436054989,True,8,0.09968176010575751,5502.257355928445
8,2020-01-30,0,180.99153188074675,2996.319436054989,True,9,0.10622844525147182,5502.257355928445
9,2020-01-31,0,180.99153188074675,2996.319436054989,True,10,0.1132050814403908,5502.257355928445
10,2020-02-01,0,180.99153188074675,2996.319436054989,True,11,0.12063990444092772,5502.257355928445
11,2020-02-02,0,180.99153188074675,2996.319436054989,True,12,0.12856300417293193,5502.257355928445
12,2020-02-03,0,180.99153188074675,2996.319436054989,True,13,0.13700644644352603,5502.257355928445
13,2020-02-04,0,180.99153188074675,2996.319436054989,True,14,0.146004402672858,5502.257355928445
14,2020-02-05,0,180.99153188074675,2996.319436054989,True,15,0.1555932881337993,5502.257355928445
15,2020-02-06,0,180.99153188074675,2996.319436054989,True,16,0.16581190926393718,5502.257355928445
16,2020-02-07,0,180.99153188074675,2996.319436054989,True,17,0.1767016206447707,5502.257355928445
17,2020-02-08,0,180.99153188074675,2996.319436054989,True,18,0.18830649228196378,5502.257355928445
18,2020-02-09,0,180.99153188074675,2996.319436054989,True,19,0.2006734878619947,5502.257355928445
19,2020-02-10,0,180.99153188074675,2996.319436054989,True,20,0.21385265470473414,5502.257355928445
20,2020-02-11,0,180.99153188074675,2996.319436054989,True,21,0.22789732617855238,5502.257355928445
21,2020-02-12,0,180.99153188074675,2996.319436054989,True,22,0.24286433739469765,5502.257355928445
22,2020-02-13,0,180.99153188074675,2996.319436054989,True,23,0.2588142550510861,5502.257355928445
23,2020-02-14,0,180.99153188074675,2996.319436054989,True,24,0.2758116223525233,5502.257355928445
24,2020-02-15,0,180.99153188074675,2996.319436054989,True,25,0.2939252199949533,5502.257355928445
25,2020-02-16,0,180.99153188074675,2996.319436054989,True,26,0.31322834426584034,5502.257355928445
26,2020-02-17,0,180.99153188074675,2996.319436054989,True,27,0.3337991033814946,5502.257355928445
27,2020-02-18,0,180.99153188074675,2996.319436054989,True,28,0.3557207332553119,5502.257355928445
28,2020-02-19,0,180.99153188074675,2996.319436054989,True,29,0.3790819339687985,5502.257355928445
29,2020-02-20,0,180.99153188074675,2996.319436054989,True,30,0.40397722830020877,5502.257355928445
30,2020-02-21,0,180.99153188074675,2996.319436054989,True,31,0.4305073437539399,5502.257355928445
31,2020-02-22,0,180.99153188074675,2996.319436054989,True,32,0.45877961962785907,5502.257355928445
32,2020-02-23,0,180.99153188074675,2996.319436054989,True,33,0.48890844075584705,5502.257355928445
33,2020-02-24,0,180.99153188074675,2996.319436054989,True,34,0.5210156996694021,5502.257355928445
34,2020-02-25,0,180.99153188074675,2996.319436054989,True,35,0.5552312890355868,5502.257355928445
35,2020-02-26,0,180.99153188074675,2996.319436054989,True,36,0.591693626349326,5502.257355928445
