,Report_Date,Belize_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,92.26782448870284,27.027640790702964,False,1,0.000813507564150907,0.06508746071356952
1,2020-01-23,0,92.26782448870284,27.027640790702964,False,2,0.0009187543637574925,0.06508746071356952
2,2020-01-24,0,92.26782448870284,27.027640790702964,False,3,0.0010376171107579846,0.06508746071356952
3,2020-01-25,0,92.26782448870284,27.027640790702964,False,4,0.0011718572501170192,0.06508746071356952
4,2020-01-26,0,92.26782448870284,27.027640790702964,False,5,0.0013234640786106793,0.06508746071356952
5,2020-01-27,0,92.26782448870284,27.027640790702964,False,6,0.0014946842131457764,0.06508746071356952
6,2020-01-28,0,92.26782448870284,27.027640790702964,False,7,0.0016880548687430803,0.06508746071356952
7,2020-01-29,0,92.26782448870284,27.027640790702964,False,8,0.0019064414382830486,0.06508746071356952
8,2020-01-30,0,92.26782448870284,27.027640790702964,False,9,0.002153079929563214,0.06508746071356952
9,2020-01-31,0,92.26782448870284,27.027640790702964,False,10,0.0024316248868167635,0.06508746071356952
10,2020-02-01,0,92.26782448870284,27.027640790702964,False,11,0.0027462035046299745,0.06508746071356952
11,2020-02-02,0,92.26782448870284,27.027640790702964,False,12,0.0031014767333400186,0.06508746071356952
12,2020-02-03,0,92.26782448870284,27.027640790702964,False,13,0.0035027082778074023,0.06508746071356952
13,2020-02-04,0,92.26782448870284,27.027640790702964,False,14,0.003955842507414865,0.06508746071356952
14,2020-02-05,0,92.26782448870284,27.027640790702964,False,15,0.004467592425904397,0.06508746071356952
15,2020-02-06,0,92.26782448870284,27.027640790702964,False,16,0.005045538997086265,0.06508746071356952
16,2020-02-07,0,92.26782448870284,27.027640790702964,False,17,0.005698243288624156,0.06508746071356952
17,2020-02-08,0,92.26782448870284,27.027640790702964,False,18,0.00643537308335497,0.06508746071356952
18,2020-02-09,0,92.26782448870284,27.027640790702964,False,19,0.007267845818554395,0.06508746071356952
19,2020-02-10,0,92.26782448870284,27.027640790702964,False,20,0.008207989951130855,0.06508746071356952
20,2020-02-11,0,92.26782448870284,27.027640790702964,False,21,0.009269727114179808,0.06508746071356952
21,2020-02-12,0,92.26782448870284,27.027640790702964,False,22,0.010468777731287347,0.06508746071356952
22,2020-02-13,0,92.26782448870284,27.027640790702964,False,23,0.011822893093471438,0.06508746071356952
23,2020-02-14,0,92.26782448870284,27.027640790702964,False,24,0.013352117284165271,0.06508746071356952
24,2020-02-15,0,92.26782448870284,27.027640790702964,False,25,0.015079082765129323,0.06508746071356952
25,2020-02-16,0,92.26782448870284,27.027640790702964,False,26,0.01702934391608156,0.06508746071356952
26,2020-02-17,0,92.26782448870284,27.027640790702964,False,27,0.01923175335915166,0.06508746071356952
27,2020-02-18,0,92.26782448870284,27.027640790702964,False,28,0.021718886502546046,0.06508746071356952
28,2020-02-19,0,92.26782448870284,27.027640790702964,False,29,0.02452752041318095,0.06508746071356952
29,2020-02-20,0,92.26782448870284,27.027640790702964,False,30,0.027699173883198865,0.06508746071356952
30,2020-02-21,0,92.26782448870284,27.027640790702964,False,31,0.03128071639848139,0.06508746071356952
31,2020-02-22,0,92.26782448870284,27.027640790702964,False,32,0.035325054657265355,0.06508746071356952
32,2020-02-23,0,92.26782448870284,27.027640790702964,False,33,0.03989190633293653,0.06508746071356952
33,2020-02-24,0,92.26782448870284,27.027640790702964,False,34,0.04504867193647736,0.06508746071356952
34,2020-02-25,0,92.26782448870284,27.027640790702964,False,35,0.050871416920419875,0.06508746071356952
35,2020-02-26,0,92.26782448870284,27.027640790702964,False,36,0.0574459775868276,0.06508746071356952
36,2020-02-27,0,92.26782448870284,27.027640790702964,False,37,0.0648692059254971,0.06508746071356952
37,2020-02-28,0,92.26782448870284,27.027640790702964,False,38,0.07325037022274067,0.06508746071356952
38,2020-02-29,0,92.26782448870284,27.027640790702964,False,39,0.08271273015134281,0.06508746071356952
39,2020-03-01,0,92.26782448870284,27.027640790702964,False,40,0.09339530708118297,0.06508746071356952
40,2020-03-02,0,92.26782448870284,27.027640790702964,False,41,0.1054548725359009,0.06508746071356952
41,2020-03-03,0,92.26782448870284,27.027640790702964,False,42,0.11906818005615105,0.06508746071356952
42,2020-03-04,0,92.26782448870284,27.027640790702964,False,43,0.13443446819850616,0.06508746071356952
43,2020-03-05,0,92.26782448870284,27.027640790702964,False,44,0.1517782649738558,0.06508746071356952
44,2020-03-06,0,92.26782448870284,27.027640790702964,False,45,0.1713525266683564,0.06508746071356952
45,2020-03-07,0,92.26782448870284,27.027640790702964,False,46,0.19344214663241155,0.06508746071356952
46,2020-03-08,0,92.26782448870284,27.027640790702964,False,47,0.21836787218237774,0.06508746071356952
47,2020-03-09,0,92.26782448870284,27.027640790702964,False,48,0.24649067011693482,0.06508746071356952
48,2020-03-10,0,92.26782448870284,27.027640790702964,False,49,0.27821658334530774,0.06508746071356952
49,2020-03-11,0,92.26782448870284,27.027640790702964,False,50,0.31400212254565746,0.06508746071356952
50,2020-03-12,0,92.26782448870284,27.027640790702964,False,51,0.3543602373416494,0.06508746071356952
51,2020-03-13,0,92.26782448870284,27.027640790702964,False,52,0.3998669108453576,0.06508746071356952
52,2020-03-14,0,92.26782448870284,27.027640790702964,False,53,0.45116841910800665,0.06508746071356952
53,2020-03-15,0,92.26782448870284,27.027640790702964,False,54,0.5089892924691156,0.06508746071356952
54,2020-03-16,0,92.26782448870284,27.027640790702964,False,55,0.5741410082781252,0.06508746071356952
