,Report_Date,Monaco_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,68.91715356299304,48.72317113311457,True,1,0.0011516255394070332,97.4462649125697
1,2020-01-23,0,68.91715356299304,48.72317113311457,True,2,0.0013610097374218719,97.4462649125697
2,2020-01-24,0,68.91715356299304,48.72317113311457,True,3,0.0016084627496577794,97.4462649125697
3,2020-01-25,0,68.91715356299304,48.72317113311457,True,4,0.0019009057403485076,97.4462649125697
4,2020-01-26,0,68.91715356299304,48.72317113311457,True,5,0.002246518088646966,97.4462649125697
5,2020-01-27,0,68.91715356299304,48.72317113311457,True,6,0.002654966083284971,97.4462649125697
6,2020-01-28,0,68.91715356299304,48.72317113311457,True,7,0.003137673169489697,97.4462649125697
7,2020-01-29,0,68.91715356299304,48.72317113311457,True,8,0.003708139291744893,97.4462649125697
8,2020-01-30,0,68.91715356299304,48.72317113311457,True,9,0.004382318243033173,97.4462649125697
9,2020-01-31,0,68.91715356299304,48.72317113311457,True,10,0.005179063545007844,97.4462649125697
10,2020-02-01,0,68.91715356299304,48.72317113311457,True,11,0.006120655288275144,97.4462649125697
11,2020-02-02,0,68.91715356299304,48.72317113311457,True,12,0.007233422609523981,97.4462649125697
12,2020-02-03,0,68.91715356299304,48.72317113311457,True,13,0.008548479133568628,97.4462649125697
13,2020-02-04,0,68.91715356299304,48.72317113311457,True,14,0.010102591834951824,97.4462649125697
14,2020-02-05,0,68.91715356299304,48.72317113311457,True,15,0.0119392074593061,97.4462649125697
15,2020-02-06,0,68.91715356299304,48.72317113311457,True,16,0.014109664987057598,97.4462649125697
16,2020-02-07,0,68.91715356299304,48.72317113311457,True,17,0.016674627735455378,97.4462649125697
17,2020-02-08,0,68.91715356299304,48.72317113311457,True,18,0.019705774712178936,97.4462649125697
18,2020-02-09,0,68.91715356299304,48.72317113311457,True,19,0.023287797909042306,97.4462649125697
19,2020-02-10,0,68.91715356299304,48.72317113311457,True,20,0.027520760535689328,97.4462649125697
