,Report_Date,Japan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,2,142.07996885379953,385975.4563910958,False,1,8.370982321270127,771950.9127821913
1,2020-01-23,2,142.07996885379953,385975.4563910958,False,2,9.077525475268414,771950.9127821913
2,2020-01-24,2,142.07996885379953,385975.4563910958,False,3,9.843702832701105,771950.9127821913
3,2020-01-25,2,142.07996885379953,385975.4563910958,False,4,10.674547552083801,771950.9127821913
4,2020-01-26,4,142.07996885379953,385975.4563910958,False,5,11.57551756965273,771950.9127821913
5,2020-01-27,4,142.07996885379953,385975.4563910958,False,6,12.552531444703035,771950.9127821913
6,2020-01-28,7,142.07996885379953,385975.4563910958,False,7,13.612007229047107,771950.9127821913
7,2020-01-29,7,142.07996885379953,385975.4563910958,False,8,14.760904615597017,771950.9127821913
8,2020-01-30,11,142.07996885379953,385975.4563910958,False,9,16.006770642555324,771950.9127821913
9,2020-01-31,15,142.07996885379953,385975.4563910958,False,10,17.35778925298434,771950.9127821913
10,2020-02-01,20,142.07996885379953,385975.4563910958,False,11,18.822835034765863,771950.9127821913
11,2020-02-02,20,142.07996885379953,385975.4563910958,False,12,20.41153149332578,771950.9127821913
12,2020-02-03,20,142.07996885379953,385975.4563910958,False,13,22.13431423915696,771950.9127821913
13,2020-02-04,22,142.07996885379953,385975.4563910958,False,14,24.002499504322202,771950.9127821913
14,2020-02-05,22,142.07996885379953,385975.4563910958,False,15,26.028358436963057,771950.9127821913
15,2020-02-06,22,142.07996885379953,385975.4563910958,False,16,28.22519766060613,771950.9127821913
16,2020-02-07,25,142.07996885379953,385975.4563910958,False,17,30.60744662598725,771950.9127821913
17,2020-02-08,25,142.07996885379953,385975.4563910958,False,18,33.19075232746995,771950.9127821913
18,2020-02-09,26,142.07996885379953,385975.4563910958,False,19,35.99208200420205,771950.9127821913
19,2020-02-10,26,142.07996885379953,385975.4563910958,False,20,39.0298344982396,771950.9127821913
20,2020-02-11,26,142.07996885379953,385975.4563910958,False,21,42.323960998304244,771950.9127821913
21,2020-02-12,28,142.07996885379953,385975.4563910958,False,22,45.89609595898705,771950.9127821913
22,2020-02-13,28,142.07996885379953,385975.4563910958,False,23,49.769699051457685,771950.9127821913
23,2020-02-14,29,142.07996885379953,385975.4563910958,False,24,53.97020907350114,771950.9127821913
24,2020-02-15,43,142.07996885379953,385975.4563910958,False,25,58.525210824438325,771950.9127821913
25,2020-02-16,59,142.07996885379953,385975.4563910958,False,26,63.46461603468089,771950.9127821913
26,2020-02-17,66,142.07996885379953,385975.4563910958,False,27,68.82085953085092,771950.9127821913
27,2020-02-18,74,142.07996885379953,385975.4563910958,False,28,74.62911191613208,771950.9127821913
28,2020-02-19,84,142.07996885379953,385975.4563910958,False,29,80.92751015242429,771950.9127821913
29,2020-02-20,94,142.07996885379953,385975.4563910958,False,30,87.75740754660673,771950.9127821913
30,2020-02-21,105,142.07996885379953,385975.4563910958,False,31,95.16364476848882,771950.9127821913
31,2020-02-22,122,142.07996885379953,385975.4563910958,False,32,103.19484366360841,771950.9127821913
32,2020-02-23,147,142.07996885379953,385975.4563910958,False,33,111.9037257707431,771950.9127821913
33,2020-02-24,159,142.07996885379953,385975.4563910958,False,34,121.34745761272157,771950.9127821913
34,2020-02-25,170,142.07996885379953,385975.4563910958,False,35,131.5880250008017,771950.9127821913
35,2020-02-26,189,142.07996885379953,385975.4563910958,False,36,142.6926387785415,771950.9127821913
36,2020-02-27,214,142.07996885379953,385975.4563910958,False,37,154.73417463181775,771950.9127821913
37,2020-02-28,228,142.07996885379953,385975.4563910958,False,38,167.79164980860907,771950.9127821913
38,2020-02-29,241,142.07996885379953,385975.4563910958,False,39,181.95073982660446,771950.9127821913
39,2020-03-01,256,142.07996885379953,385975.4563910958,False,40,197.3043384999562,771950.9127821913
40,2020-03-02,274,142.07996885379953,385975.4563910958,False,41,213.95316488997724,771950.9127821913
41,2020-03-03,293,142.07996885379953,385975.4563910958,False,42,232.00642107980448,771950.9127821913
42,2020-03-04,331,142.07996885379953,385975.4563910958,False,43,251.58250499160044,771950.9127821913
43,2020-03-05,360,142.07996885379953,385975.4563910958,False,44,272.8097828084453,771950.9127821913
44,2020-03-06,420,142.07996885379953,385975.4563910958,False,45,295.827425933464,771950.9127821913
45,2020-03-07,461,142.07996885379953,385975.4563910958,False,46,320.7863178178166,771950.9127821913
46,2020-03-08,502,142.07996885379953,385975.4563910958,False,47,347.85003641894156,771950.9127821913
47,2020-03-09,511,142.07996885379953,385975.4563910958,False,48,377.1959185129244,771950.9127821913
48,2020-03-10,581,142.07996885379953,385975.4563910958,False,49,409.0162125822321,771950.9127821913
49,2020-03-11,639,142.07996885379953,385975.4563910958,False,50,443.5193275345174,771950.9127821913
50,2020-03-12,639,142.07996885379953,385975.4563910958,False,51,480.93118508203844,771950.9127821913
51,2020-03-13,701,142.07996885379953,385975.4563910958,False,52,521.4966842267949,771950.9127821913
52,2020-03-14,773,142.07996885379953,385975.4563910958,False,53,565.4812869560956,771950.9127821913
53,2020-03-15,839,142.07996885379953,385975.4563910958,False,54,613.1727349592963,771950.9127821913
54,2020-03-16,839,142.07996885379953,385975.4563910958,False,55,664.8829079312123,771950.9127821913
55,2020-03-17,878,142.07996885379953,385975.4563910958,False,56,720.9498348334242,771950.9127821913
56,2020-03-18,889,142.07996885379953,385975.4563910958,False,57,781.7398703434786,771950.9127821913
57,2020-03-19,924,142.07996885379953,385975.4563910958,False,58,847.6500496357578,771950.9127821913
