,Report_Date,Norway_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,69.89728492809405,4238.837110194947,True,1,6.2924754792460105,8477.580223229419
1,2020-01-23,0,69.89728492809405,4238.837110194947,True,2,6.985594239143917,8477.580223229419
2,2020-01-24,0,69.89728492809405,4238.837110194947,True,3,7.754990424352988,8477.580223229419
3,2020-01-25,0,69.89728492809405,4238.837110194947,True,4,8.609042092017264,8477.580223229419
4,2020-01-26,0,69.89728492809405,4238.837110194947,True,5,9.557043743755225,8477.580223229419
5,2020-01-27,0,69.89728492809405,4238.837110194947,True,6,10.609305695332194,8477.580223229419
6,2020-01-28,0,69.89728492809405,4238.837110194947,True,7,11.777264016949145,8477.580223229419
7,2020-01-29,0,69.89728492809405,4238.837110194947,True,8,13.07360212094651,8477.580223229419
8,2020-01-30,0,69.89728492809405,4238.837110194947,True,9,14.512385172135938,8477.580223229419
9,2020-01-31,0,69.89728492809405,4238.837110194947,True,10,16.109208600625422,8477.580223229419
10,2020-02-01,0,69.89728492809405,4238.837110194947,True,11,17.881362107548206,8477.580223229419
11,2020-02-02,0,69.89728492809405,4238.837110194947,True,12,19.84801066993452,8477.580223229419
12,2020-02-03,0,69.89728492809405,4238.837110194947,True,13,22.030394171128417,8477.580223229419
13,2020-02-04,0,69.89728492809405,4238.837110194947,True,14,24.45204740626557,8477.580223229419
14,2020-02-05,0,69.89728492809405,4238.837110194947,True,15,27.139042336459617,8477.580223229419
15,2020-02-06,0,69.89728492809405,4238.837110194947,True,16,30.12025458787229,8477.580223229419
16,2020-02-07,0,69.89728492809405,4238.837110194947,True,17,33.427656309286185,8477.580223229419
17,2020-02-08,0,69.89728492809405,4238.837110194947,True,18,37.09663760961677,8477.580223229419
18,2020-02-09,0,69.89728492809405,4238.837110194947,True,19,41.16635888914638,8477.580223229419
19,2020-02-10,0,69.89728492809405,4238.837110194947,True,20,45.680136447698985,8477.580223229419
20,2020-02-11,0,69.89728492809405,4238.837110194947,True,21,50.685863790132885,8477.580223229419
21,2020-02-12,0,69.89728492809405,4238.837110194947,True,22,56.236471042715756,8477.580223229419
22,2020-02-13,0,69.89728492809405,4238.837110194947,True,23,62.39042482869477,8477.580223229419
23,2020-02-14,0,69.89728492809405,4238.837110194947,True,24,69.21227080992252,8477.580223229419
24,2020-02-15,0,69.89728492809405,4238.837110194947,True,25,76.77322086212222,8477.580223229419
25,2020-02-16,0,69.89728492809405,4238.837110194947,True,26,85.15178648815696,8477.580223229419
26,2020-02-17,0,69.89728492809405,4238.837110194947,True,27,94.43445955523327,8477.580223229419
27,2020-02-18,0,69.89728492809405,4238.837110194947,True,28,104.71644073121415,8477.580223229419
28,2020-02-19,0,69.89728492809405,4238.837110194947,True,29,116.10241504855428,8477.580223229419
29,2020-02-20,0,69.89728492809405,4238.837110194947,True,30,128.70737279117597,8477.580223229419
30,2020-02-21,0,69.89728492809405,4238.837110194947,True,31,142.65747232184845,8477.580223229419
31,2020-02-22,0,69.89728492809405,4238.837110194947,True,32,158.09093947980776,8477.580223229419
