,Report_Date,Algeria_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
22,2020-02-13,0,261.6344309842845,56129.22019784731,True,23,1798.3573628535603,90428.33045200747
23,2020-02-14,0,261.6344309842845,56129.22019784731,True,24,1829.1483609702461,90428.33045200747
24,2020-02-15,0,261.6344309842845,56129.22019784731,True,25,1860.4576749476557,90428.33045200747
25,2020-02-16,0,261.6344309842845,56129.22019784731,True,26,1892.2937233346834,90428.33045200747
26,2020-02-17,0,261.6344309842845,56129.22019784731,True,27,1924.665050842432,90428.33045200747
27,2020-02-18,0,261.6344309842845,56129.22019784731,True,28,1957.58032986647,90428.33045200747
28,2020-02-19,0,261.6344309842845,56129.22019784731,True,29,1991.0483620140385,90428.33045200747
29,2020-02-20,0,261.6344309842845,56129.22019784731,True,30,2025.0780796356516,90428.33045200747
30,2020-02-21,0,261.6344309842845,56129.22019784731,True,31,2059.6785473604914,90428.33045200747
31,2020-02-22,0,261.6344309842845,56129.22019784731,True,32,2094.8589636349852,90428.33045200747
32,2020-02-23,0,261.6344309842845,56129.22019784731,True,33,2130.628662263906,90428.33045200747
33,2020-02-24,0,261.6344309842845,56129.22019784731,True,34,2166.9971139533263,90428.33045200747
34,2020-02-25,1,261.6344309842845,56129.22019784731,True,35,2203.9739278547104,90428.33045200747
35,2020-02-26,1,261.6344309842845,56129.22019784731,True,36,2241.5688531094033,90428.33045200747
36,2020-02-27,1,261.6344309842845,56129.22019784731,True,37,2279.791780392743,90428.33045200747
37,2020-02-28,1,261.6344309842845,56129.22019784731,True,38,2318.6527434569866,90428.33045200747
38,2020-02-29,1,261.6344309842845,56129.22019784731,True,39,2358.1619206722057,90428.33045200747
39,2020-03-01,1,261.6344309842845,56129.22019784731,True,40,2398.329636564275,90428.33045200747
40,2020-03-02,3,261.6344309842845,56129.22019784731,True,41,2439.1663633490366,90428.33045200747
41,2020-03-03,5,261.6344309842845,56129.22019784731,True,42,2480.6827224616877,90428.33045200747
42,2020-03-04,12,261.6344309842845,56129.22019784731,True,43,2522.889486080394,90428.33045200747
43,2020-03-05,12,261.6344309842845,56129.22019784731,True,44,2565.7975786431102,90428.33045200747
44,2020-03-06,17,261.6344309842845,56129.22019784731,True,45,2609.4180783565193,90428.33045200747
45,2020-03-07,17,261.6344309842845,56129.22019784731,True,46,2653.762218695987,90428.33045200747
46,2020-03-08,19,261.6344309842845,56129.22019784731,True,47,2698.8413898953722,90428.33045200747
47,2020-03-09,20,261.6344309842845,56129.22019784731,True,48,2744.6671404254844,90428.33045200747
48,2020-03-10,20,261.6344309842845,56129.22019784731,True,49,2791.2511784599574,90428.33045200747
49,2020-03-11,20,261.6344309842845,56129.22019784731,True,50,2838.6053733272256,90428.33045200747
50,2020-03-12,24,261.6344309842845,56129.22019784731,True,51,2886.7417569472864,90428.33045200747
51,2020-03-13,26,261.6344309842845,56129.22019784731,True,52,2935.6725252518404,90428.33045200747
52,2020-03-14,37,261.6344309842845,56129.22019784731,True,53,2985.410039586384,90428.33045200747
53,2020-03-15,48,261.6344309842845,56129.22019784731,True,54,3035.96682809276,90428.33045200747
54,2020-03-16,54,261.6344309842845,56129.22019784731,True,55,3087.35558707063,90428.33045200747
55,2020-03-17,60,261.6344309842845,56129.22019784731,True,56,3139.5891823162756,90428.33045200747
56,2020-03-18,74,261.6344309842845,56129.22019784731,True,57,3192.680650437073,90428.33045200747
57,2020-03-19,87,261.6344309842845,56129.22019784731,True,58,3246.6432001399558,90428.33045200747
58,2020-03-20,90,261.6344309842845,56129.22019784731,True,59,3301.4902134920876,90428.33045200747
59,2020-03-21,139,261.6344309842845,56129.22019784731,True,60,3357.2352471519516,90428.33045200747
60,2020-03-22,201,261.6344309842845,56129.22019784731,True,61,3413.892033568955,90428.33045200747
61,2020-03-23,230,261.6344309842845,56129.22019784731,True,62,3471.4744821496465,90428.33045200747
62,2020-03-24,264,261.6344309842845,56129.22019784731,True,63,3529.9966803885272,90428.33045200747
63,2020-03-25,302,261.6344309842845,56129.22019784731,True,64,3589.4728949614146,90428.33045200747
64,2020-03-26,367,261.6344309842845,56129.22019784731,True,65,3649.9175727792294,90428.33045200747
65,2020-03-27,409,261.6344309842845,56129.22019784731,True,66,3711.345342000037,90428.33045200747
66,2020-03-28,454,261.6344309842845,56129.22019784731,True,67,3773.7710129970865,90428.33045200747
67,2020-03-29,511,261.6344309842845,56129.22019784731,True,68,3837.209579280538,90428.33045200747
68,2020-03-30,584,261.6344309842845,56129.22019784731,True,69,3901.6762183704977,90428.33045200747
69,2020-03-31,716,261.6344309842845,56129.22019784731,True,70,3967.1862926189197,90428.33045200747
70,2020-04-01,847,261.6344309842845,56129.22019784731,True,71,4033.7553499778523,90428.33045200747
71,2020-04-02,986,261.6344309842845,56129.22019784731,True,72,4101.399124711445,90428.33045200747
72,2020-04-03,1171,261.6344309842845,56129.22019784731,True,73,4170.13353804908,90428.33045200747
73,2020-04-04,1251,261.6344309842845,56129.22019784731,True,74,4239.974698776862,90428.33045200747
74,2020-04-05,1320,261.6344309842845,56129.22019784731,True,75,4310.938903764722,90428.33045200747
75,2020-04-06,1423,261.6344309842845,56129.22019784731,True,76,4383.042638426226,90428.33045200747
76,2020-04-07,1468,261.6344309842845,56129.22019784731,True,77,4456.302577108166,90428.33045200747
77,2020-04-08,1572,261.6344309842845,56129.22019784731,True,78,4530.735583406914,90428.33045200747
78,2020-04-09,1666,261.6344309842845,56129.22019784731,True,79,4606.358710408453,90428.33045200747
79,2020-04-10,1761,261.6344309842845,56129.22019784731,True,80,4683.1892008489185,90428.33045200747
80,2020-04-11,1825,261.6344309842845,56129.22019784731,True,81,4761.244487192426,90428.33045200747
81,2020-04-12,1914,261.6344309842845,56129.22019784731,True,82,4840.542191622855,90428.33045200747
82,2020-04-13,1983,261.6344309842845,56129.22019784731,True,83,4921.100125946223,90428.33045200747
83,2020-04-14,2070,261.6344309842845,56129.22019784731,True,84,5002.936291400172,90428.33045200747
