,Report_Date,Lebanon_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,98.34693760954626,745.428991908589,True,1,21.670154580375502,1363.0869488492256
1,2020-01-23,0,98.34693760954626,745.428991908589,True,2,22.61485928601897,1363.0869488492256
2,2020-01-24,0,98.34693760954626,745.428991908589,True,3,23.600086589833353,1363.0869488492256
3,2020-01-25,0,98.34693760954626,745.428991908589,True,4,24.62751584976096,1363.0869488492256
4,2020-01-26,0,98.34693760954626,745.428991908589,True,5,25.698890793956185,1363.0869488492256
5,2020-01-27,0,98.34693760954626,745.428991908589,True,6,26.81602152003087,1363.0869488492256
6,2020-01-28,0,98.34693760954626,745.428991908589,True,7,27.980786512763697,1363.0869488492256
7,2020-01-29,0,98.34693760954626,745.428991908589,True,8,29.19513467565558,1363.0869488492256
8,2020-01-30,0,98.34693760954626,745.428991908589,True,9,30.461087371132173,1363.0869488492256
9,2020-01-31,0,98.34693760954626,745.428991908589,True,10,31.78074046356784,1363.0869488492256
10,2020-02-01,0,98.34693760954626,745.428991908589,True,11,33.15626635863129,1363.0869488492256
11,2020-02-02,0,98.34693760954626,745.428991908589,True,12,34.58991603172892,1363.0869488492256
12,2020-02-03,0,98.34693760954626,745.428991908589,True,13,36.08402103754595,1363.0869488492256
13,2020-02-04,0,98.34693760954626,745.428991908589,True,14,37.64099549185627,1363.0869488492256
14,2020-02-05,0,98.34693760954626,745.428991908589,True,15,39.26333801588675,1363.0869488492256
15,2020-02-06,0,98.34693760954626,745.428991908589,True,16,40.95363363258096,1363.0869488492256
16,2020-02-07,0,98.34693760954626,745.428991908589,True,17,42.71455560310775,1363.0869488492256
17,2020-02-08,0,98.34693760954626,745.428991908589,True,18,44.54886719090305,1363.0869488492256
18,2020-02-09,0,98.34693760954626,745.428991908589,True,19,46.459423339416716,1363.0869488492256
19,2020-02-10,0,98.34693760954626,745.428991908589,True,20,48.44917224856149,1363.0869488492256
20,2020-02-11,0,98.34693760954626,745.428991908589,True,21,50.52115683362922,1363.0869488492256
21,2020-02-12,0,98.34693760954626,745.428991908589,True,22,52.67851604915021,1363.0869488492256
22,2020-02-13,0,98.34693760954626,745.428991908589,True,23,54.924486058829864,1363.0869488492256
23,2020-02-14,0,98.34693760954626,745.428991908589,True,24,57.26240123130383,1363.0869488492256
24,2020-02-15,0,98.34693760954626,745.428991908589,True,25,59.695694940013915,1363.0869488492256
25,2020-02-16,0,98.34693760954626,745.428991908589,True,26,62.22790014402768,1363.0869488492256
26,2020-02-17,0,98.34693760954626,745.428991908589,True,27,64.86264972511162,1363.0869488492256
27,2020-02-18,0,98.34693760954626,745.428991908589,True,28,67.60367655482936,1363.0869488492256
28,2020-02-19,0,98.34693760954626,745.428991908589,True,29,70.45481326388236,1363.0869488492256
29,2020-02-20,0,98.34693760954626,745.428991908589,True,30,73.41999168435409,1363.0869488492256
30,2020-02-21,1,98.34693760954626,745.428991908589,True,31,76.50324193397135,1363.0869488492256
31,2020-02-22,1,98.34693760954626,745.428991908589,True,32,79.70869110997569,1363.0869488492256
32,2020-02-23,1,98.34693760954626,745.428991908589,True,33,83.040561558723,1363.0869488492256
33,2020-02-24,1,98.34693760954626,745.428991908589,True,34,86.50316868571689,1363.0869488492256
34,2020-02-25,1,98.34693760954626,745.428991908589,True,35,90.10091826946106,1363.0869488492256
35,2020-02-26,2,98.34693760954626,745.428991908589,True,36,93.83830324130663,1363.0869488492256
36,2020-02-27,2,98.34693760954626,745.428991908589,True,37,97.71989989240753,1363.0869488492256
37,2020-02-28,2,98.34693760954626,745.428991908589,True,38,101.75036346800687,1363.0869488492256
38,2020-02-29,4,98.34693760954626,745.428991908589,True,39,105.93442310860019,1363.0869488492256
39,2020-03-01,10,98.34693760954626,745.428991908589,True,40,110.27687609708836,1363.0869488492256
40,2020-03-02,13,98.34693760954626,745.428991908589,True,41,114.78258137089261,1363.0869488492256
41,2020-03-03,13,98.34693760954626,745.428991908589,True,42,119.45645225819246,1363.0869488492256
42,2020-03-04,13,98.34693760954626,745.428991908589,True,43,124.30344839801579,1363.0869488492256
43,2020-03-05,16,98.34693760954626,745.428991908589,True,44,129.3285668049043,1363.0869488492256
44,2020-03-06,22,98.34693760954626,745.428991908589,True,45,134.53683204034905,1363.0869488492256
45,2020-03-07,22,98.34693760954626,745.428991908589,True,46,139.93328545519057,1363.0869488492256
46,2020-03-08,32,98.34693760954626,745.428991908589,True,47,145.5229734697594,1363.0869488492256
47,2020-03-09,32,98.34693760954626,745.428991908589,True,48,151.31093486174794,1363.0869488492256
48,2020-03-10,41,98.34693760954626,745.428991908589,True,49,157.3021870357069,1363.0869488492256
49,2020-03-11,61,98.34693760954626,745.428991908589,True,50,163.50171125269574,1363.0869488492256
50,2020-03-12,61,98.34693760954626,745.428991908589,True,51,169.9144368040387,1363.0869488492256
51,2020-03-13,77,98.34693760954626,745.428991908589,True,52,176.5452241193839,1363.0869488492256
52,2020-03-14,93,98.34693760954626,745.428991908589,True,53,183.3988468063731,1363.0869488492256
53,2020-03-15,110,98.34693760954626,745.428991908589,True,54,190.47997262723072,1363.0869488492256
54,2020-03-16,110,98.34693760954626,745.428991908589,True,55,197.79314342649477,1363.0869488492256
55,2020-03-17,120,98.34693760954626,745.428991908589,True,56,205.34275403394616,1363.0869488492256
56,2020-03-18,133,98.34693760954626,745.428991908589,True,57,213.13303017754296,1363.0869488492256
57,2020-03-19,157,98.34693760954626,745.428991908589,True,58,221.16800545281396,1363.0869488492256
58,2020-03-20,163,98.34693760954626,745.428991908589,True,59,229.4514974076689,1363.0869488492256
59,2020-03-21,187,98.34693760954626,745.428991908589,True,60,237.9870828148932,1363.0869488492256
60,2020-03-22,248,98.34693760954626,745.428991908589,True,61,246.7780722186253,1363.0869488492256
61,2020-03-23,267,98.34693760954626,745.428991908589,True,62,255.8274838557728,1363.0869488492256
62,2020-03-24,318,98.34693760954626,745.428991908589,True,63,265.1380170684759,1363.0869488492256
63,2020-03-25,333,98.34693760954626,745.428991908589,True,64,274.71202533923014,1363.0869488492256
