,Report_Date,Sri Lanka_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,117.50583390110766,1106.4573307819167,True,1,1.6185172133127939,2165.000785827176
1,2020-01-23,0,117.50583390110766,1106.4573307819167,True,2,1.7219085622463062,2165.000785827176
2,2020-01-24,0,117.50583390110766,1106.4573307819167,True,3,1.8318991090402905,2165.000785827176
3,2020-01-25,0,117.50583390110766,1106.4573307819167,True,4,1.9489093418610046,2165.000785827176
4,2020-01-26,0,117.50583390110766,1106.4573307819167,True,5,2.0733864464986813,2165.000785827176
5,2020-01-27,1,117.50583390110766,1106.4573307819167,True,6,2.2058059889177253,2165.000785827176
6,2020-01-28,1,117.50583390110766,1106.4573307819167,True,7,2.346673702190586,2165.000785827176
7,2020-01-29,1,117.50583390110766,1106.4573307819167,True,8,2.49652738407181,2165.000785827176
8,2020-01-30,1,117.50583390110766,1106.4573307819167,True,9,2.6559389118144328,2165.000785827176
9,2020-01-31,1,117.50583390110766,1106.4573307819167,True,10,2.825516381191526,2165.000785827176
10,2020-02-01,1,117.50583390110766,1106.4573307819167,True,11,3.005906377061508,2165.000785827176
11,2020-02-02,1,117.50583390110766,1106.4573307819167,True,12,3.1977963832066703,2165.000785827176
12,2020-02-03,1,117.50583390110766,1106.4573307819167,True,13,3.401917339580105,2165.000785827176
13,2020-02-04,1,117.50583390110766,1106.4573307819167,True,14,3.619046355516462,2165.000785827176
14,2020-02-05,1,117.50583390110766,1106.4573307819167,True,15,3.850009587896265,2165.000785827176
15,2020-02-06,1,117.50583390110766,1106.4573307819167,True,16,4.095685293701063,2165.000785827176
16,2020-02-07,1,117.50583390110766,1106.4573307819167,True,17,4.35700706685657,2165.000785827176
17,2020-02-08,1,117.50583390110766,1106.4573307819167,True,18,4.634967269731843,2165.000785827176
18,2020-02-09,1,117.50583390110766,1106.4573307819167,True,19,4.930620670142839,2165.000785827176
19,2020-02-10,1,117.50583390110766,1106.4573307819167,True,20,5.2450882951965045,2165.000785827176
20,2020-02-11,1,117.50583390110766,1106.4573307819167,True,21,5.5795615138042045,2165.000785827176
21,2020-02-12,1,117.50583390110766,1106.4573307819167,True,22,5.935306360188207,2165.000785827176
22,2020-02-13,1,117.50583390110766,1106.4573307819167,True,23,6.313668111198209,2165.000785827176
23,2020-02-14,1,117.50583390110766,1106.4573307819167,True,24,6.7160761307426124,2165.000785827176
24,2020-02-15,1,117.50583390110766,1106.4573307819167,True,25,7.1440489951164174,2165.000785827176
25,2020-02-16,1,117.50583390110766,1106.4573307819167,True,26,7.599199913468346,2165.000785827176
26,2020-02-17,1,117.50583390110766,1106.4573307819167,True,27,8.08324245808747,2165.000785827176
27,2020-02-18,1,117.50583390110766,1106.4573307819167,True,28,8.597996619596419,2165.000785827176
28,2020-02-19,1,117.50583390110766,1106.4573307819167,True,29,9.145395202504952,2165.000785827176
29,2020-02-20,1,117.50583390110766,1106.4573307819167,True,30,9.727490576894008,2165.000785827176
30,2020-02-21,1,117.50583390110766,1106.4573307819167,True,31,10.346461802254257,2165.000785827176
31,2020-02-22,1,117.50583390110766,1106.4573307819167,True,32,11.004622139681073,2165.000785827176
32,2020-02-23,1,117.50583390110766,1106.4573307819167,True,33,11.704426968713761,2165.000785827176
33,2020-02-24,1,117.50583390110766,1106.4573307819167,True,34,12.448482125083581,2165.000785827176
34,2020-02-25,1,117.50583390110766,1106.4573307819167,True,35,13.23955267548185,2165.000785827176
35,2020-02-26,1,117.50583390110766,1106.4573307819167,True,36,14.080572145153994,2165.000785827176
36,2020-02-27,1,117.50583390110766,1106.4573307819167,True,37,14.974652213641534,2165.000785827176
37,2020-02-28,1,117.50583390110766,1106.4573307819167,True,38,15.925092893303363,2165.000785827176
38,2020-02-29,1,117.50583390110766,1106.4573307819167,True,39,16.935393204317613,2165.000785827176
39,2020-03-01,1,117.50583390110766,1106.4573307819167,True,40,18.009262358659445,2165.000785827176
40,2020-03-02,1,117.50583390110766,1106.4573307819167,True,41,19.150631464028983,2165.000785827176
41,2020-03-03,1,117.50583390110766,1106.4573307819167,True,42,20.36366575682072,2165.000785827176
42,2020-03-04,1,117.50583390110766,1106.4573307819167,True,43,21.65277737093366,2165.000785827176
43,2020-03-05,1,117.50583390110766,1106.4573307819167,True,44,23.022638646463264,2165.000785827176
44,2020-03-06,1,117.50583390110766,1106.4573307819167,True,45,24.47819597903361,2165.000785827176
45,2020-03-07,1,117.50583390110766,1106.4573307819167,True,46,26.024684206653376,2165.000785827176
46,2020-03-08,1,117.50583390110766,1106.4573307819167,True,47,27.667641526442132,2165.000785827176
47,2020-03-09,1,117.50583390110766,1106.4573307819167,True,48,29.412924928293787,2165.000785827176
48,2020-03-10,1,117.50583390110766,1106.4573307819167,True,49,31.2667261264395,2165.000785827176
49,2020-03-11,2,117.50583390110766,1106.4573307819167,True,50,33.23558796285055,2165.000785827176
50,2020-03-12,2,117.50583390110766,1106.4573307819167,True,51,35.32642124838683,2165.000785827176
51,2020-03-13,6,117.50583390110766,1106.4573307819167,True,52,37.5465219984454,2165.000785827176
52,2020-03-14,10,117.50583390110766,1106.4573307819167,True,53,39.90358900948914,2165.000785827176
53,2020-03-15,18,117.50583390110766,1106.4573307819167,True,54,42.405741711123724,2165.000785827176
54,2020-03-16,28,117.50583390110766,1106.4573307819167,True,55,45.06153821522917,2165.000785827176
55,2020-03-17,44,117.50583390110766,1106.4573307819167,True,56,47.87999346892038,2165.000785827176
56,2020-03-18,51,117.50583390110766,1106.4573307819167,True,57,50.87059740169413,2165.000785827176
57,2020-03-19,60,117.50583390110766,1106.4573307819167,True,58,54.043332938903546,2165.000785827176
58,2020-03-20,73,117.50583390110766,1106.4573307819167,True,59,57.408693733578794,2165.000785827176
59,2020-03-21,77,117.50583390110766,1106.4573307819167,True,60,60.97770144648496,2165.000785827176
60,2020-03-22,82,117.50583390110766,1106.4573307819167,True,61,64.76192238009692,2165.000785827176
61,2020-03-23,97,117.50583390110766,1106.4573307819167,True,62,68.77348324581155,2165.000785827176
62,2020-03-24,102,117.50583390110766,1106.4573307819167,True,63,73.02508581518141,2165.000785827176
63,2020-03-25,102,117.50583390110766,1106.4573307819167,True,64,77.53002017524095,2165.000785827176
64,2020-03-26,106,117.50583390110766,1106.4573307819167,True,65,82.30217627516032,2165.000785827176
65,2020-03-27,106,117.50583390110766,1106.4573307819167,True,66,87.35605341660465,2165.000785827176
66,2020-03-28,113,117.50583390110766,1106.4573307819167,True,67,92.70676730347834,2165.000785827176
67,2020-03-29,117,117.50583390110766,1106.4573307819167,True,68,98.37005422844695,2165.000785827176
68,2020-03-30,122,117.50583390110766,1106.4573307819167,True,69,104.36227193411683,2165.000785827176
69,2020-03-31,143,117.50583390110766,1106.4573307819167,True,70,110.70039664647297,2165.000785827176
70,2020-04-01,146,117.50583390110766,1106.4573307819167,True,71,117.40201573774337,2165.000785827176
71,2020-04-02,151,117.50583390110766,1106.4573307819167,True,72,124.48531543600878,2165.000785827176
72,2020-04-03,159,117.50583390110766,1106.4573307819167,True,73,131.9690629605375,2165.000785827176
73,2020-04-04,166,117.50583390110766,1106.4573307819167,True,74,139.87258242609266,2165.000785827176
74,2020-04-05,176,117.50583390110766,1106.4573307819167,True,75,148.21572382762866,2165.000785827176
75,2020-04-06,178,117.50583390110766,1106.4573307819167,True,76,157.0188243903961,2165.000785827176
76,2020-04-07,185,117.50583390110766,1106.4573307819167,True,77,166.30266155121956,2165.000785827176
77,2020-04-08,189,117.50583390110766,1106.4573307819167,True,78,176.08839682659095,2165.000785827176
78,2020-04-09,190,117.50583390110766,1106.4573307819167,True,79,186.39750982439475,2165.000785827176
79,2020-04-10,190,117.50583390110766,1106.4573307819167,True,80,197.25172167094402,2165.000785827176
80,2020-04-11,198,117.50583390110766,1106.4573307819167,True,81,208.67290715613964,2165.000785827176
81,2020-04-12,210,117.50583390110766,1106.4573307819167,True,82,220.68299494965214,2165.000785827176
82,2020-04-13,217,117.50583390110766,1106.4573307819167,True,83,233.3038553128832,2165.000785827176
83,2020-04-14,233,117.50583390110766,1106.4573307819167,True,84,246.55717482784297,2165.000785827176
84,2020-04-15,238,117.50583390110766,1106.4573307819167,True,85,260.46431778769517,2165.000785827176
85,2020-04-16,238,117.50583390110766,1106.4573307819167,True,86,275.0461740470096,2165.000785827176
86,2020-04-17,244,117.50583390110766,1106.4573307819167,True,87,290.32299331480056,2165.000785827176
87,2020-04-18,254,117.50583390110766,1106.4573307819167,True,88,306.31420609176575,2165.000785827176
