,Report_Date,China_hubei_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,444,19.696922466066436,33878.346735768726,True,1,833.1629766691118,67756.68881084445
1,2020-01-23,444,19.696922466066436,33878.346735768726,True,2,1050.0275576621304,67756.68881084445
2,2020-01-24,549,19.696922466066436,33878.346735768726,True,3,1322.2247201371101,67756.68881084445
3,2020-01-25,761,19.696922466066436,33878.346735768726,True,4,1663.223836422578,67756.68881084445
4,2020-01-26,1058,19.696922466066436,33878.346735768726,True,5,2089.400089395552,67756.68881084445
5,2020-01-27,1423,19.696922466066436,33878.346735768726,True,6,2620.448068109355,67756.68881084445
6,2020-01-28,3554,19.696922466066436,33878.346735768726,True,7,3279.7275803419084,67756.68881084445
7,2020-01-29,3554,19.696922466066436,33878.346735768726,True,8,4094.4490250803005,67756.68881084445
8,2020-01-30,4903,19.696922466066436,33878.346735768726,True,9,5095.562093369685,67756.68881084445
9,2020-01-31,5806,19.696922466066436,33878.346735768726,True,10,6317.16319266256,67756.68881084445
10,2020-02-01,7153,19.696922466066436,33878.346735768726,True,11,7795.195742607189,67756.68881084445
11,2020-02-02,11177,19.696922466066436,33878.346735768726,True,12,9565.206516208362,67756.68881084445
12,2020-02-03,13522,19.696922466066436,33878.346735768726,True,13,11658.976492935968,67756.68881084445
13,2020-02-04,16678,19.696922466066436,33878.346735768726,True,14,14100.009683488044,67756.68881084445
14,2020-02-05,19665,19.696922466066436,33878.346735768726,True,15,16898.169971164734,67756.68881084445
15,2020-02-06,22112,19.696922466066436,33878.346735768726,True,16,20044.188814012603,67756.68881084445
16,2020-02-07,24953,19.696922466066436,33878.346735768726,True,17,23505.221025516057,67756.68881084445
17,2020-02-08,27100,19.696922466066436,33878.346735768726,True,18,27222.893212310544,67756.68881084445
18,2020-02-09,29631,19.696922466066436,33878.346735768726,True,19,31115.11746567067,67756.68881084445
19,2020-02-10,31728,19.696922466066436,33878.346735768726,True,20,35082.187802843146,67756.68881084445
20,2020-02-11,33366,19.696922466066436,33878.346735768726,True,21,39016.47583343785,67756.68881084445
21,2020-02-12,33366,19.696922466066436,33878.346735768726,True,22,42813.850294670025,67756.68881084445
22,2020-02-13,48206,19.696922466066436,33878.346735768726,True,23,46384.32787728176,67756.68881084445
23,2020-02-14,54406,19.696922466066436,33878.346735768726,True,24,49659.74137678168,67756.68881084445
24,2020-02-15,56249,19.696922466066436,33878.346735768726,True,25,52597.23861793495,67756.68881084445
25,2020-02-16,58182,19.696922466066436,33878.346735768726,True,26,55178.69066148827,67756.68881084445
26,2020-02-17,59989,19.696922466066436,33878.346735768726,True,27,57407.05415843474,67756.68881084445
27,2020-02-18,61682,19.696922466066436,33878.346735768726,True,28,59301.12957486838,67756.68881084445
28,2020-02-19,62031,19.696922466066436,33878.346735768726,True,29,60890.03439189232,67756.68881084445
29,2020-02-20,62442,19.696922466066436,33878.346735768726,True,30,62208.2999492815,67756.68881084445
30,2020-02-21,62662,19.696922466066436,33878.346735768726,True,31,63292.04079471409,67756.68881084445
31,2020-02-22,64084,19.696922466066436,33878.346735768726,True,32,64176.283175964876,67756.68881084445
32,2020-02-23,64084,19.696922466066436,33878.346735768726,True,33,64893.32069730578,67756.68881084445
33,2020-02-24,64287,19.696922466066436,33878.346735768726,True,34,65471.87181271552,67756.68881084445
34,2020-02-25,64786,19.696922466066436,33878.346735768726,True,35,65936.80364731635,67756.68881084445
35,2020-02-26,65187,19.696922466066436,33878.346735768726,True,36,66309.21944817175,67756.68881084445
36,2020-02-27,65596,19.696922466066436,33878.346735768726,True,37,66606.75450106809,67756.68881084445
37,2020-02-28,65914,19.696922466066436,33878.346735768726,True,38,66843.97167363763,67756.68881084445
38,2020-02-29,66337,19.696922466066436,33878.346735768726,True,39,67032.78592828485,67756.68881084445
39,2020-03-01,66907,19.696922466066436,33878.346735768726,True,40,67182.87558953726,67756.68881084445
40,2020-03-02,67103,19.696922466066436,33878.346735768726,True,41,67302.05781978004,67756.68881084445
41,2020-03-03,67217,19.696922466066436,33878.346735768726,True,42,67396.61852081543,67756.68881084445
42,2020-03-04,67332,19.696922466066436,33878.346735768726,True,43,67471.59464236989,67756.68881084445
43,2020-03-05,67466,19.696922466066436,33878.346735768726,True,44,67531.0112392116,67756.68881084445
44,2020-03-06,67592,19.696922466066436,33878.346735768726,True,45,67578.07778102114,67756.68881084445
45,2020-03-07,67666,19.696922466066436,33878.346735768726,True,46,67615.34903353987,67756.68881084445
46,2020-03-08,67707,19.696922466066436,33878.346735768726,True,47,67644.85586565528,67756.68881084445
47,2020-03-09,67743,19.696922466066436,33878.346735768726,True,48,67668.21096089736,67756.68881084445
48,2020-03-10,67760,19.696922466066436,33878.346735768726,True,49,67686.69384861035,67756.68881084445
49,2020-03-11,67773,19.696922466066436,33878.346735768726,True,50,67701.31905210132,67756.68881084445
50,2020-03-12,67781,19.696922466066436,33878.346735768726,True,51,67712.89055120504,67756.68881084445
51,2020-03-13,67786,19.696922466066436,33878.346735768726,True,52,67722.04521116933,67756.68881084445
52,2020-03-14,67790,19.696922466066436,33878.346735768726,True,53,67729.28735301716,67756.68881084445
53,2020-03-15,67794,19.696922466066436,33878.346735768726,True,54,67735.01623475782,67756.68881084445
54,2020-03-16,67798,19.696922466066436,33878.346735768726,True,55,67739.54787371475,67756.68881084445
55,2020-03-17,67799,19.696922466066436,33878.346735768726,True,56,67743.13236057764,67756.68881084445
56,2020-03-18,67800,19.696922466066436,33878.346735768726,True,57,67745.96758738188,67756.68881084445
57,2020-03-19,67800,19.696922466066436,33878.346735768726,True,58,67748.21012643304,67756.68881084445
58,2020-03-20,67800,19.696922466066436,33878.346735768726,True,59,67749.98384787924,67756.68881084445
59,2020-03-21,67800,19.696922466066436,33878.346735768726,True,60,67751.38674374938,67756.68881084445
60,2020-03-22,67800,19.696922466066436,33878.346735768726,True,61,67752.49633033766,67756.68881084445
61,2020-03-23,67800,19.696922466066436,33878.346735768726,True,62,67753.37392423232,67756.68881084445
62,2020-03-24,67801,19.696922466066436,33878.346735768726,True,63,67754.06802627794,67756.68881084445
63,2020-03-25,67801,19.696922466066436,33878.346735768726,True,64,67754.61699923211,67756.68881084445
64,2020-03-26,67801,19.696922466066436,33878.346735768726,True,65,67755.05118632341,67756.68881084445
