,Report_Date,China_hubei_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
65,2020-03-27,67801,19.696922466066436,33878.346735768726,True,66,67755.39458731764,67756.68881084445
66,2020-03-28,67801,19.696922466066436,33878.346735768726,True,67,67755.66618442917,67756.68881084445
67,2020-03-29,67801,19.696922466066436,33878.346735768726,True,68,67755.8809911776,67756.68881084445
68,2020-03-30,67801,19.696922466066436,33878.346735768726,True,69,67756.05088204888,67756.68881084445
69,2020-03-31,67801,19.696922466066436,33878.346735768726,True,70,67756.18524874863,67756.68881084445
70,2020-04-01,67802,19.696922466066436,33878.346735768726,True,71,67756.29151927936,67756.68881084445
71,2020-04-02,67802,19.696922466066436,33878.346735768726,True,72,67756.37556850682,67756.68881084445
72,2020-04-03,67802,19.696922466066436,33878.346735768726,True,73,67756.44204289478,67756.68881084445
73,2020-04-04,67803,19.696922466066436,33878.346735768726,True,74,67756.49461734829,67756.68881084445
74,2020-04-05,67803,19.696922466066436,33878.346735768726,True,75,67756.53619835763,67756.68881084445
75,2020-04-06,67803,19.696922466066436,33878.346735768726,True,76,67756.56908466875,67756.68881084445
76,2020-04-07,67803,19.696922466066436,33878.346735768726,True,77,67756.5950943599,67756.68881084445
77,2020-04-08,67803,19.696922466066436,33878.346735768726,True,78,67756.61566534788,67756.68881084445
78,2020-04-09,67803,19.696922466066436,33878.346735768726,True,79,67756.63193487925,67756.68881084445
79,2020-04-10,67803,19.696922466066436,33878.346735768726,True,80,67756.64480240027,67756.68881084445
