,Report_Date,Tunisia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,297.11732718360156,74119.31129902533,True,1,1.5409382138036103,127509.38883334276
1,2020-01-23,0,297.11732718360156,74119.31129902533,True,2,1.6018189085846801,127509.38883334276
2,2020-01-24,0,297.11732718360156,74119.31129902533,True,3,1.6651049025076792,127509.38883334276
3,2020-01-25,0,297.11732718360156,74119.31129902533,True,4,1.7308912229279891,127509.38883334276
4,2020-01-26,0,297.11732718360156,74119.31129902533,True,5,1.7992766513187894,127509.38883334276
5,2020-01-27,0,297.11732718360156,74119.31129902533,True,6,1.870363871565797,127509.38883334276
6,2020-01-28,0,297.11732718360156,74119.31129902533,True,7,1.9442596241187944,127509.38883334276
7,2020-01-29,0,297.11732718360156,74119.31129902533,True,8,2.021074866231153,127509.38883334276
8,2020-01-30,0,297.11732718360156,74119.31129902533,True,9,2.1009249385277,127509.38883334276
9,2020-01-31,0,297.11732718360156,74119.31129902533,True,10,2.183929738150736,127509.38883334276
10,2020-02-01,0,297.11732718360156,74119.31129902533,True,11,2.2702138987438842,127509.38883334276
11,2020-02-02,0,297.11732718360156,74119.31129902533,True,12,2.3599069775436794,127509.38883334276
12,2020-02-03,0,297.11732718360156,74119.31129902533,True,13,2.4531436498594488,127509.38883334276
13,2020-02-04,0,297.11732718360156,74119.31129902533,True,14,2.550063911233109,127509.38883334276
14,2020-02-05,0,297.11732718360156,74119.31129902533,True,15,2.650813287582006,127509.38883334276
15,2020-02-06,0,297.11732718360156,74119.31129902533,True,16,2.7555430536398404,127509.38883334276
16,2020-02-07,0,297.11732718360156,74119.31129902533,True,17,2.8644104600232025,127509.38883334276
17,2020-02-08,0,297.11732718360156,74119.31129902533,True,18,2.9775789692640933,127509.38883334276
18,2020-02-09,0,297.11732718360156,74119.31129902533,True,19,3.0952185011622557,127509.38883334276
19,2020-02-10,0,297.11732718360156,74119.31129902533,True,20,3.217505687825085,127509.38883334276
20,2020-02-11,0,297.11732718360156,74119.31129902533,True,21,3.344624138777363,127509.38883334276
21,2020-02-12,0,297.11732718360156,74119.31129902533,True,22,3.4767647165381463,127509.38883334276
22,2020-02-13,0,297.11732718360156,74119.31129902533,True,23,3.614125823077775,127509.38883334276
23,2020-02-14,0,297.11732718360156,74119.31129902533,True,24,3.7569136975842494,127509.38883334276
24,2020-02-15,0,297.11732718360156,74119.31129902533,True,25,3.9053427259851237,127509.38883334276
25,2020-02-16,0,297.11732718360156,74119.31129902533,True,26,4.059635762688648,127509.38883334276
26,2020-02-17,0,297.11732718360156,74119.31129902533,True,27,4.2200244650261425,127509.38883334276
27,2020-02-18,0,297.11732718360156,74119.31129902533,True,28,4.386749640896573,127509.38883334276
28,2020-02-19,0,297.11732718360156,74119.31129902533,True,29,4.5600616101340306,127509.38883334276
29,2020-02-20,0,297.11732718360156,74119.31129902533,True,30,4.740220580139282,127509.38883334276
30,2020-02-21,0,297.11732718360156,74119.31129902533,True,31,4.927497036337921,127509.38883334276
31,2020-02-22,0,297.11732718360156,74119.31129902533,True,32,5.122172148049717,127509.38883334276
32,2020-02-23,0,297.11732718360156,74119.31129902533,True,33,5.324538190376826,127509.38883334276
33,2020-02-24,0,297.11732718360156,74119.31129902533,True,34,5.534898982742382,127509.38883334276
34,2020-02-25,0,297.11732718360156,74119.31129902533,True,35,5.753570344735877,127509.38883334276
35,2020-02-26,0,297.11732718360156,74119.31129902533,True,36,5.980880569947519,127509.38883334276
36,2020-02-27,0,297.11732718360156,74119.31129902533,True,37,6.217170918500608,127509.38883334276
37,2020-02-28,0,297.11732718360156,74119.31129902533,True,38,6.462796129018814,127509.38883334276
