,Report_Date,Botswana_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,308.6514184264405,9983.006656704447,True,1,2.5768826763005883,14709.098360894977
1,2020-01-23,0,308.6514184264405,9983.006656704447,True,2,2.6529824521543444,14709.098360894977
2,2020-01-24,0,308.6514184264405,9983.006656704447,True,3,2.731329277751309,14709.098360894977
3,2020-01-25,0,308.6514184264405,9983.006656704447,True,4,2.8119894848261495,14709.098360894977
4,2020-01-26,0,308.6514184264405,9983.006656704447,True,5,2.895031362087184,14709.098360894977
5,2020-01-27,0,308.6514184264405,9983.006656704447,True,6,2.980525212886439,14709.098360894977
6,2020-01-28,0,308.6514184264405,9983.006656704447,True,7,3.0685434145852057,14709.098360894977
7,2020-01-29,0,308.6514184264405,9983.006656704447,True,8,3.159160479664728,14709.098360894977
8,2020-01-30,0,308.6514184264405,9983.006656704447,True,9,3.2524531186330465,14709.098360894977
9,2020-01-31,0,308.6514184264405,9983.006656704447,True,10,3.3485003047805457,14709.098360894977
10,2020-02-01,0,308.6514184264405,9983.006656704447,True,11,3.4473833408382273,14709.098360894977
11,2020-02-02,0,308.6514184264405,9983.006656704447,True,12,3.549185927594349,14709.098360894977
12,2020-02-03,0,308.6514184264405,9983.006656704447,True,13,3.6539942345266017,14709.098360894977
13,2020-02-04,0,308.6514184264405,9983.006656704447,True,14,3.7618969725087394,14709.098360894977
14,2020-02-05,0,308.6514184264405,9983.006656704447,True,15,3.872985468652191,14709.098360894977
15,2020-02-06,0,308.6514184264405,9983.006656704447,True,16,3.987353743344992,14709.098360894977
16,2020-02-07,0,308.6514184264405,9983.006656704447,True,17,4.105098589552134,14709.098360894977
17,2020-02-08,0,308.6514184264405,9983.006656704447,True,18,4.226319654443289,14709.098360894977
18,2020-02-09,0,308.6514184264405,9983.006656704447,True,19,4.3511195234157745,14709.098360894977
19,2020-02-10,0,308.6514184264405,9983.006656704447,True,20,4.47960380658254,14709.098360894977
20,2020-02-11,0,308.6514184264405,9983.006656704447,True,21,4.61188122779702,14709.098360894977
21,2020-02-12,0,308.6514184264405,9983.006656704447,True,22,4.748063716288692,14709.098360894977
22,2020-02-13,0,308.6514184264405,9983.006656704447,True,23,4.888266500985349,14709.098360894977
23,2020-02-14,0,308.6514184264405,9983.006656704447,True,24,5.032608207600261,14709.098360894977
24,2020-02-15,0,308.6514184264405,9983.006656704447,True,25,5.181210958564612,14709.098360894977
25,2020-02-16,0,308.6514184264405,9983.006656704447,True,26,5.334200475887934,14709.098360894977
26,2020-02-17,0,308.6514184264405,9983.006656704447,True,27,5.491706187031603,14709.098360894977
27,2020-02-18,0,308.6514184264405,9983.006656704447,True,28,5.6538613338829045,14709.098360894977
28,2020-02-19,0,308.6514184264405,9983.006656704447,True,29,5.820803084919634,14709.098360894977
29,2020-02-20,0,308.6514184264405,9983.006656704447,True,30,5.992672650657827,14709.098360894977
30,2020-02-21,0,308.6514184264405,9983.006656704447,True,31,6.169615402477772,14709.098360894977
31,2020-02-22,0,308.6514184264405,9983.006656704447,True,32,6.351780994926239,14709.098360894977
32,2020-02-23,0,308.6514184264405,9983.006656704447,True,33,6.539323491595548,14709.098360894977
33,2020-02-24,0,308.6514184264405,9983.006656704447,True,34,6.732401494683057,14709.098360894977
34,2020-02-25,0,308.6514184264405,9983.006656704447,True,35,6.931178278337502,14709.098360894977
35,2020-02-26,0,308.6514184264405,9983.006656704447,True,36,7.135821925901643,14709.098360894977
36,2020-02-27,0,308.6514184264405,9983.006656704447,True,37,7.346505471163822,14709.098360894977
37,2020-02-28,0,308.6514184264405,9983.006656704447,True,38,7.563407043734116,14709.098360894977
38,2020-02-29,0,308.6514184264405,9983.006656704447,True,39,7.786710018664126,14709.098360894977
39,2020-03-01,0,308.6514184264405,9983.006656704447,True,40,8.016603170432695,14709.098360894977
40,2020-03-02,0,308.6514184264405,9983.006656704447,True,41,8.253280831423385,14709.098360894977
41,2020-03-03,0,308.6514184264405,9983.006656704447,True,42,8.49694305502294,14709.098360894977
42,2020-03-04,0,308.6514184264405,9983.006656704447,True,43,8.747795783473725,14709.098360894977
43,2020-03-05,0,308.6514184264405,9983.006656704447,True,44,9.006051020616717,14709.098360894977
