,Report_Date,Cabo Verde_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,183.596159779976,2153.792686223462,False,1,2.4113605538573033,4307.585372446924
1,2020-01-23,0,183.596159779976,2153.792686223462,False,2,2.512235126209103,4307.585372446924
2,2020-01-24,0,183.596159779976,2153.792686223462,False,3,2.617327024350255,4307.585372446924
3,2020-01-25,0,183.596159779976,2153.792686223462,False,4,2.7268123455151905,4307.585372446924
4,2020-01-26,0,183.596159779976,2153.792686223462,False,5,2.840874521280902,4307.585372446924
5,2020-01-27,0,183.596159779976,2153.792686223462,False,6,2.959704621439158,4307.585372446924
6,2020-01-28,0,183.596159779976,2153.792686223462,False,7,3.083501670321869,4307.585372446924
7,2020-01-29,0,183.596159779976,2153.792686223462,False,8,3.212472976078224,4307.585372446924
8,2020-01-30,0,183.596159779976,2153.792686223462,False,9,3.3468344734211826,4307.585372446924
9,2020-01-31,0,183.596159779976,2153.792686223462,False,10,3.486811080380478,4307.585372446924
10,2020-02-01,0,183.596159779976,2153.792686223462,False,11,3.6326370696195225,4307.585372446924
11,2020-02-02,0,183.596159779976,2153.792686223462,False,12,3.7845564548944868,4307.585372446924
12,2020-02-03,0,183.596159779976,2153.792686223462,False,13,3.9428233932553725,4307.585372446924
13,2020-02-04,0,183.596159779976,2153.792686223462,False,14,4.107702603611142,4307.585372446924
14,2020-02-05,0,183.596159779976,2153.792686223462,False,15,4.279469802303863,4307.585372446924
15,2020-02-06,0,183.596159779976,2153.792686223462,False,16,4.458412156360475,4307.585372446924
16,2020-02-07,0,183.596159779976,2153.792686223462,False,17,4.6448287551150615,4307.585372446924
17,2020-02-08,0,183.596159779976,2153.792686223462,False,18,4.839031100919589,4307.585372446924
18,2020-02-09,0,183.596159779976,2153.792686223462,False,19,5.0413436196867805,4307.585372446924
19,2020-02-10,0,183.596159779976,2153.792686223462,False,20,5.252104192035255,4307.585372446924
20,2020-02-11,0,183.596159779976,2153.792686223462,False,21,5.471664705834272,4307.585372446924
21,2020-02-12,0,183.596159779976,2153.792686223462,False,22,5.700391630973267,4307.585372446924
22,2020-02-13,0,183.596159779976,2153.792686223462,False,23,5.938666617209987,4307.585372446924
23,2020-02-14,0,183.596159779976,2153.792686223462,False,24,6.186887115980329,4307.585372446924
24,2020-02-15,0,183.596159779976,2153.792686223462,False,25,6.445467027082968,4307.585372446924
25,2020-02-16,0,183.596159779976,2153.792686223462,False,26,6.714837371182512,4307.585372446924
26,2020-02-17,0,183.596159779976,2153.792686223462,False,27,6.995446989106259,4307.585372446924
27,2020-02-18,0,183.596159779976,2153.792686223462,False,28,7.28776326894154,4307.585372446924
