,Report_Date,Philippines_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,76.45843565909072,3483.0338495361952,True,1,0.0809799771658691,6264.6872140738005
1,2020-01-23,0,76.45843565909072,3483.0338495361952,True,2,0.09413948917656917,6264.6872140738005
2,2020-01-24,0,76.45843565909072,3483.0338495361952,True,3,0.10943743147376837,6264.6872140738005
3,2020-01-25,0,76.45843565909072,3483.0338495361952,True,4,0.12722128873058805,6264.6872140738005
4,2020-01-26,0,76.45843565909072,3483.0338495361952,True,5,0.14789500606547762,6264.6872140738005
5,2020-01-27,0,76.45843565909072,3483.0338495361952,True,6,0.17192816146198914,6264.6872140738005
6,2020-01-28,0,76.45843565909072,3483.0338495361952,True,7,0.1998666278041157,6264.6872140738005
7,2020-01-29,0,76.45843565909072,3483.0338495361952,True,8,0.23234496626307752,6264.6872140738005
8,2020-01-30,1,76.45843565909072,3483.0338495361952,True,9,0.27010083193722256,6264.6872140738005
9,2020-01-31,1,76.45843565909072,3483.0338495361952,True,10,0.31399171813583016,6264.6872140738005
10,2020-02-01,1,76.45843565909072,3483.0338495361952,True,11,0.36501441852313515,6264.6872140738005
11,2020-02-02,2,76.45843565909072,3483.0338495361952,True,12,0.4243276476734346,6264.6872140738005
12,2020-02-03,2,76.45843565909072,3483.0338495361952,True,13,0.4932783317879835,6264.6872140738005
13,2020-02-04,2,76.45843565909072,3483.0338495361952,True,14,0.5734321639569212,6264.6872140738005
14,2020-02-05,2,76.45843565909072,3483.0338495361952,True,15,0.6666091142242736,6264.6872140738005
15,2020-02-06,2,76.45843565909072,3483.0338495361952,True,16,0.7749246959178269,6264.6872140738005
16,2020-02-07,3,76.45843565909072,3483.0338495361952,True,17,0.9008379186412789,6264.6872140738005
17,2020-02-08,3,76.45843565909072,3483.0338495361952,True,18,1.047207007756101,6264.6872140738005
18,2020-02-09,3,76.45843565909072,3483.0338495361952,True,19,1.217354143274747,6264.6872140738005
19,2020-02-10,3,76.45843565909072,3483.0338495361952,True,20,1.4151406714739285,6264.6872140738005
20,2020-02-11,3,76.45843565909072,3483.0338495361952,True,21,1.6450544743591384,6264.6872140738005
21,2020-02-12,3,76.45843565909072,3483.0338495361952,True,22,1.912311450082819,6264.6872140738005
22,2020-02-13,3,76.45843565909072,3483.0338495361952,True,23,2.222973366880007,6264.6872140738005
23,2020-02-14,3,76.45843565909072,3483.0338495361952,True,24,2.5840847100605,6264.6872140738005
24,2020-02-15,3,76.45843565909072,3483.0338495361952,True,25,3.0038315528376347,6264.6872140738005
25,2020-02-16,3,76.45843565909072,3483.0338495361952,True,26,3.4917259547929413,6264.6872140738005
26,2020-02-17,3,76.45843565909072,3483.0338495361952,True,27,4.058819934852682,6264.6872140738005
27,2020-02-18,3,76.45843565909072,3483.0338495361952,True,28,4.717953687801679,6264.6872140738005
28,2020-02-19,3,76.45843565909072,3483.0338495361952,True,29,5.484043424242966,6264.6872140738005
