,Report_Date,Canada_recovered_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,30.98959449612595,6.29399158532796e-06,True,1,4.341073797121011e-10,1.258798314979086e-05
1,2020-01-23,0,30.98959449612595,6.29399158532796e-06,True,2,6.11487324668889e-10,1.258798314979086e-05
2,2020-01-24,0,30.98959449612595,6.29399158532796e-06,True,3,8.613412549754028e-10,1.258798314979086e-05
3,2020-01-25,0,30.98959449612595,6.29399158532796e-06,True,4,1.2132757464617972e-09,1.258798314979086e-05
4,2020-01-26,0,30.98959449612595,6.29399158532796e-06,True,5,1.7089872474266563e-09,1.258798314979086e-05
5,2020-01-27,0,30.98959449612595,6.29399158532796e-06,True,6,2.4071942631669894e-09,1.258798314979086e-05
6,2020-01-28,0,30.98959449612595,6.29399158532796e-06,True,7,3.390577024565383e-09,1.258798314979086e-05
7,2020-01-29,0,30.98959449612595,6.29399158532796e-06,True,8,4.775537145479254e-09,1.258798314979086e-05
8,2020-01-30,0,30.98959449612595,6.29399158532796e-06,True,9,6.7259141185504286e-09,1.258798314979086e-05
9,2020-01-31,0,30.98959449612595,6.29399158532796e-06,True,10,9.47224486843897e-09,1.258798314979086e-05
10,2020-02-01,0,30.98959449612595,6.29399158532796e-06,True,11,1.3338770732473024e-08,1.258798314979086e-05
11,2020-02-02,0,30.98959449612595,6.29399158532796e-06,True,12,1.878123770378535e-08,1.258798314979086e-05
12,2020-02-03,0,30.98959449612595,6.29399158532796e-06,True,13,2.6439663466667947e-08,1.258798314979086e-05
13,2020-02-04,0,30.98959449612595,6.29399158532796e-06,True,14,3.72117202679235e-08,1.258798314979086e-05
14,2020-02-05,0,30.98959449612595,6.29399158532796e-06,True,15,5.235424062623237e-08,1.258798314979086e-05
15,2020-02-06,0,30.98959449612595,6.29399158532796e-06,True,16,7.362254276618567e-08,1.258798314979086e-05
16,2020-02-07,0,30.98959449612595,6.29399158532796e-06,True,17,1.0345953762300756e-07,1.258798314979086e-05
17,2020-02-08,0,30.98959449612595,6.29399158532796e-06,True,18,1.4524821962538659e-07,1.258798314979086e-05
18,2020-02-09,0,30.98959449612595,6.29399158532796e-06,True,19,2.0364058467500785e-07,1.258798314979086e-05
19,2020-02-10,0,30.98959449612595,6.29399158532796e-06,True,20,2.849700864470637e-07,1.258798314979086e-05
20,2020-02-11,0,30.98959449612595,6.29399158532796e-06,True,21,3.9773760376916706e-07,1.258798314979086e-05
21,2020-02-12,0,30.98959449612595,6.29399158532796e-06,True,22,5.531229267826274e-07,1.258798314979086e-05
22,2020-02-13,0,30.98959449612595,6.29399158532796e-06,True,23,7.654015546088514e-07,1.258798314979086e-05
23,2020-02-14,0,30.98959449612595,6.29399158532796e-06,True,24,1.0520273125707816e-06,1.258798314979086e-05
24,2020-02-15,0,30.98959449612595,6.29399158532796e-06,True,25,1.4329782714495836e-06,1.258798314979086e-05
25,2020-02-16,0,30.98959449612595,6.29399158532796e-06,True,26,1.928811199622225e-06,1.258798314979086e-05
26,2020-02-17,0,30.98959449612595,6.29399158532796e-06,True,27,2.5568847454249828e-06,1.258798314979086e-05
27,2020-02-18,0,30.98959449612595,6.29399158532796e-06,True,28,3.325666500225947e-06,1.258798314979086e-05
28,2020-02-19,0,30.98959449612595,6.29399158532796e-06,True,29,4.228167493098678e-06,1.258798314979086e-05
29,2020-02-20,0,30.98959449612595,6.29399158532796e-06,True,30,5.237103838849347e-06,1.258798314979086e-05
30,2020-02-21,0,30.98959449612595,6.29399158532796e-06,True,31,6.305210916308241e-06,1.258798314979086e-05
31,2020-02-22,0,30.98959449612595,6.29399158532796e-06,True,32,7.372672171620883e-06,1.258798314979086e-05
32,2020-02-23,0,30.98959449612595,6.29399158532796e-06,True,33,8.379813571379108e-06,1.258798314979086e-05
33,2020-02-24,0,30.98959449612595,6.29399158532796e-06,True,34,9.279735220400307e-06,1.258798314979086e-05
34,2020-02-25,0,30.98959449612595,6.29399158532796e-06,True,35,1.0045595639680865e-05,1.258798314979086e-05
35,2020-02-26,0,30.98959449612595,6.29399158532796e-06,True,36,1.067078870270149e-05,1.258798314979086e-05
36,2020-02-27,0,30.98959449612595,6.29399158532796e-06,True,37,1.1164034290738607e-05,1.258798314979086e-05
37,2020-02-28,0,30.98959449612595,6.29399158532796e-06,True,38,1.1542809734519787e-05,1.258798314979086e-05
38,2020-02-29,0,30.98959449612595,6.29399158532796e-06,True,39,1.1827691217614298e-05,1.258798314979086e-05
39,2020-03-01,0,30.98959449612595,6.29399158532796e-06,True,40,1.2038618583591497e-05,1.258798314979086e-05
40,2020-03-02,0,30.98959449612595,6.29399158532796e-06,True,41,1.2192982753017734e-05,1.258798314979086e-05
41,2020-03-03,0,30.98959449612595,6.29399158532796e-06,True,42,1.2304992232503246e-05,1.258798314979086e-05
42,2020-03-04,0,30.98959449612595,6.29399158532796e-06,True,43,1.238576617598733e-05,1.258798314979086e-05
43,2020-03-05,0,30.98959449612595,6.29399158532796e-06,True,44,1.2443755091534334e-05,1.258798314979086e-05
44,2020-03-06,0,30.98959449612595,6.29399158532796e-06,True,45,1.2485252696922547e-05,1.258798314979086e-05
45,2020-03-07,0,30.98959449612595,6.29399158532796e-06,True,46,1.2514880666087055e-05,1.258798314979086e-05
46,2020-03-08,0,30.98959449612595,6.29399158532796e-06,True,47,1.2535999362070668e-05,1.258798314979086e-05
47,2020-03-09,0,30.98959449612595,6.29399158532796e-06,True,48,1.2551035057430467e-05,1.258798314979086e-05
48,2020-03-10,0,30.98959449612595,6.29399158532796e-06,True,49,1.2561730964822376e-05,1.258798314979086e-05
49,2020-03-11,0,30.98959449612595,6.29399158532796e-06,True,50,1.2569335172832776e-05,1.258798314979086e-05
50,2020-03-12,0,30.98959449612595,6.29399158532796e-06,True,51,1.2574739069952062e-05,1.258798314979086e-05
51,2020-03-13,0,30.98959449612595,6.29399158532796e-06,True,52,1.2578578174223439e-05,1.258798314979086e-05
52,2020-03-14,0,30.98959449612595,6.29399158532796e-06,True,53,1.2581305017682105e-05,1.258798314979086e-05
53,2020-03-15,0,30.98959449612595,6.29399158532796e-06,True,54,1.2583241550123702e-05,1.258798314979086e-05
54,2020-03-16,0,30.98959449612595,6.29399158532796e-06,True,55,1.2584616676672341e-05,1.258798314979086e-05
55,2020-03-17,0,30.98959449612595,6.29399158532796e-06,True,56,1.2585593075858591e-05,1.258798314979086e-05
56,2020-03-18,0,30.98959449612595,6.29399158532796e-06,True,57,1.2586286323840684e-05,1.258798314979086e-05
57,2020-03-19,0,30.98959449612595,6.29399158532796e-06,True,58,1.258677851420604e-05,1.258798314979086e-05
58,2020-03-20,0,30.98959449612595,6.29399158532796e-06,True,59,1.2587127948670916e-05,1.258798314979086e-05
59,2020-03-21,0,30.98959449612595,6.29399158532796e-06,True,60,1.2587376027637008e-05,1.258798314979086e-05
60,2020-03-22,0,30.98959449612595,6.29399158532796e-06,True,61,1.2587552147431021e-05,1.258798314979086e-05
61,2020-03-23,0,30.98959449612595,6.29399158532796e-06,True,62,1.2587677179710486e-05,1.258798314979086e-05
62,2020-03-24,0,30.98959449612595,6.29399158532796e-06,True,63,1.2587765942944063e-05,1.258798314979086e-05
63,2020-03-25,0,30.98959449612595,6.29399158532796e-06,True,64,1.2587828957653942e-05,1.258798314979086e-05
