,Report_Date,Burundi_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,172.56678121228566,249.9957922909691,True,1,0.049512940998676806,461.8989477522646
1,2020-01-23,0,172.56678121228566,249.9957922909691,True,2,0.05224627976411161,461.8989477522646
2,2020-01-24,0,172.56678121228566,249.9957922909691,True,3,0.055130494579022075,461.8989477522646
3,2020-01-25,0,172.56678121228566,249.9957922909691,True,4,0.05817391167889132,461.8989477522646
4,2020-01-26,0,172.56678121228566,249.9957922909691,True,5,0.06138531657609052,461.8989477522646
5,2020-01-27,0,172.56678121228566,249.9957922909691,True,6,0.06477397936938738,461.8989477522646
6,2020-01-28,0,172.56678121228566,249.9957922909691,True,7,0.06834968144543577,461.8989477522646
7,2020-01-29,0,172.56678121228566,249.9957922909691,True,8,0.07212274364848995,461.8989477522646
8,2020-01-30,0,172.56678121228566,249.9957922909691,True,9,0.07610405599872758,461.8989477522646
9,2020-01-31,0,172.56678121228566,249.9957922909691,True,10,0.08030510904392683,461.8989477522646
10,2020-02-01,0,172.56678121228566,249.9957922909691,True,11,0.08473802693383677,461.8989477522646
11,2020-02-02,0,172.56678121228566,249.9957922909691,True,12,0.08941560231141665,461.8989477522646
12,2020-02-03,0,172.56678121228566,249.9957922909691,True,13,0.09435133312021494,461.8989477522646
13,2020-02-04,0,172.56678121228566,249.9957922909691,True,14,0.09955946143252017,461.8989477522646
14,2020-02-05,0,172.56678121228566,249.9957922909691,True,15,0.10505501440856255,461.8989477522646
15,2020-02-06,0,172.56678121228566,249.9957922909691,True,16,0.11085384750298781,461.8989477522646
16,2020-02-07,0,172.56678121228566,249.9957922909691,True,17,0.11697269004107816,461.8989477522646
17,2020-02-08,0,172.56678121228566,249.9957922909691,True,18,0.1234291932937772,461.8989477522646
18,2020-02-09,0,172.56678121228566,249.9957922909691,True,19,0.13024198118749913,461.8989477522646
19,2020-02-10,0,172.56678121228566,249.9957922909691,True,20,0.13743070379198646,461.8989477522646
20,2020-02-11,0,172.56678121228566,249.9957922909691,True,21,0.14501609373714056,461.8989477522646
21,2020-02-12,0,172.56678121228566,249.9957922909691,True,22,0.15302002571780432,461.8989477522646
22,2020-02-13,0,172.56678121228566,249.9957922909691,True,23,0.16146557925394586,461.8989477522646
23,2020-02-14,0,172.56678121228566,249.9957922909691,True,24,0.17037710488259136,461.8989477522646
24,2020-02-15,0,172.56678121228566,249.9957922909691,True,25,0.17978029396721146,461.8989477522646
25,2020-02-16,0,172.56678121228566,249.9957922909691,True,26,0.18970225232009,461.8989477522646
26,2020-02-17,0,172.56678121228566,249.9957922909691,True,27,0.20017157784352865,461.8989477522646
27,2020-02-18,0,172.56678121228566,249.9957922909691,True,28,0.21121844240657628,461.8989477522646
28,2020-02-19,0,172.56678121228566,249.9957922909691,True,29,0.22287467818535023,461.8989477522646
29,2020-02-20,0,172.56678121228566,249.9957922909691,True,30,0.2351738687069564,461.8989477522646
30,2020-02-21,0,172.56678121228566,249.9957922909691,True,31,0.2481514448495385,461.8989477522646
31,2020-02-22,0,172.56678121228566,249.9957922909691,True,32,0.2618447860641216,461.8989477522646
