,Report_Date,Mauritania_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,66.08064867236399,3.7481601474659185,True,1,8.922942239114395e-05,7.428083142726608
1,2020-01-23,0,66.08064867236399,3.7481601474659185,True,2,0.0001062116644153005,7.428083142726608
2,2020-01-24,0,66.08064867236399,3.7481601474659185,True,3,0.00012642593095059206,7.428083142726608
3,2020-01-25,0,66.08064867236399,3.7481601474659185,True,4,0.00015048731136727496,7.428083142726608
4,2020-01-26,0,66.08064867236399,3.7481601474659185,True,5,0.00017912794375148392,7.428083142726608
5,2020-01-27,0,66.08064867236399,3.7481601474659185,True,6,0.00021321928479610034,7.428083142726608
6,2020-01-28,0,66.08064867236399,3.7481601474659185,True,7,0.00025379861515349814,7.428083142726608
7,2020-01-29,0,66.08064867236399,3.7481601474659185,True,8,0.00030210058509718774,7.428083142726608
8,2020-01-30,0,66.08064867236399,3.7481601474659185,True,9,0.00035959475799493475,7.428083142726608
9,2020-01-31,0,66.08064867236399,3.7481601474659185,True,10,0.00042803029058632544,7.428083142726608
10,2020-02-01,0,66.08064867236399,3.7481601474659185,True,11,0.0005094891047796668,7.428083142726608
11,2020-02-02,0,66.08064867236399,3.7481601474659185,True,12,0.0006064491620223594,7.428083142726608
12,2020-02-03,0,66.08064867236399,3.7481601474659185,True,13,0.0007218597558028493,7.428083142726608
13,2020-02-04,0,66.08064867236399,3.7481601474659185,True,14,0.0008592310994186528,7.428083142726608
14,2020-02-05,0,66.08064867236399,3.7481601474659185,True,15,0.0010227409152890035,7.428083142726608
15,2020-02-06,0,66.08064867236399,3.7481601474659185,True,16,0.0012173612411426427,7.428083142726608
16,2020-02-07,0,66.08064867236399,3.7481601474659185,True,17,0.0014490092718442299,7.428083142726608
17,2020-02-08,0,66.08064867236399,3.7481601474659185,True,18,0.0017247267703592855,7.428083142726608
18,2020-02-09,0,66.08064867236399,3.7481601474659185,True,19,0.0020528934271091225,7.428083142726608
19,2020-02-10,0,66.08064867236399,3.7481601474659185,True,20,0.002443480546587269,7.428083142726608
20,2020-02-11,0,66.08064867236399,3.7481601474659185,True,21,0.0029083526199386836,7.428083142726608
21,2020-02-12,0,66.08064867236399,3.7481601474659185,True,22,0.0034616257323808073,7.428083142726608
22,2020-02-13,0,66.08064867236399,3.7481601474659185,True,23,0.004120093389028953,7.428083142726608
23,2020-02-14,0,66.08064867236399,3.7481601474659185,True,24,0.004903732260116938,7.428083142726608
24,2020-02-15,0,66.08064867236399,3.7481601474659185,True,25,0.005836302588886208,7.428083142726608
25,2020-02-16,0,66.08064867236399,3.7481601474659185,True,26,0.006946060617882673,7.428083142726608
26,2020-02-17,0,66.08064867236399,3.7481601474659185,True,27,0.008266603419271934,7.428083142726608
27,2020-02-18,0,66.08064867236399,3.7481601474659185,True,28,0.009837870008825732,7.428083142726608
28,2020-02-19,0,66.08064867236399,3.7481601474659185,True,29,0.011707326623891836,7.428083142726608
