,Report_Date,Chile_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,141.77248064085023,152574.52478139775,True,1,17.931610280218454,209036.06086477241
1,2020-01-23,0,141.77248064085023,152574.52478139775,True,2,19.216403520439496,209036.06086477241
2,2020-01-24,0,141.77248064085023,152574.52478139775,True,3,20.5932455080568,209036.06086477241
3,2020-01-25,0,141.77248064085023,152574.52478139775,True,4,22.06873013447257,209036.06086477241
4,2020-01-26,0,141.77248064085023,152574.52478139775,True,5,23.64992350614533,209036.06086477241
5,2020-01-27,0,141.77248064085023,152574.52478139775,True,6,25.344397741490365,209036.06086477241
6,2020-01-28,0,141.77248064085023,152574.52478139775,True,7,27.16026718364178,209036.06086477241
7,2020-01-29,0,141.77248064085023,152574.52478139775,True,8,29.106227201318475,209036.06086477241
8,2020-01-30,0,141.77248064085023,152574.52478139775,True,9,31.1915957622498,209036.06086477241
9,2020-01-31,0,141.77248064085023,152574.52478139775,True,10,33.42635797668666,209036.06086477241
10,2020-02-01,0,141.77248064085023,152574.52478139775,True,11,35.821213822508206,209036.06086477241
11,2020-02-02,0,141.77248064085023,152574.52478139775,True,12,38.38762927839607,209036.06086477241
12,2020-02-03,0,141.77248064085023,152574.52478139775,True,13,41.13789110755252,209036.06086477241
13,2020-02-04,0,141.77248064085023,152574.52478139775,True,14,44.08516555155816,209036.06086477241
14,2020-02-05,0,141.77248064085023,152574.52478139775,True,15,47.2435612122716,209036.06086477241
15,2020-02-06,0,141.77248064085023,152574.52478139775,True,16,50.62819641924961,209036.06086477241
16,2020-02-07,0,141.77248064085023,152574.52478139775,True,17,54.255271401094596,209036.06086477241
17,2020-02-08,0,141.77248064085023,152574.52478139775,True,18,58.14214560150693,209036.06086477241
18,2020-02-09,0,141.77248064085023,152574.52478139775,True,19,62.307420504727695,209036.06086477241
19,2020-02-10,0,141.77248064085023,152574.52478139775,True,20,66.77102836060254,209036.06086477241
20,2020-02-11,0,141.77248064085023,152574.52478139775,True,21,71.55432722678744,209036.06086477241
21,2020-02-12,0,141.77248064085023,152574.52478139775,True,22,76.680202774761,209036.06086477241
22,2020-02-13,0,141.77248064085023,152574.52478139775,True,23,82.17317733742867,209036.06086477241
23,2020-02-14,0,141.77248064085023,152574.52478139775,True,24,88.05952670932164,209036.06086477241
24,2020-02-15,0,141.77248064085023,152574.52478139775,True,25,94.36740524584145,209036.06086477241
25,2020-02-16,0,141.77248064085023,152574.52478139775,True,26,101.12697984581675,209036.06086477241
26,2020-02-17,0,141.77248064085023,152574.52478139775,True,27,108.37057344196661,209036.06086477241
27,2020-02-18,0,141.77248064085023,152574.52478139775,True,28,116.13281866685352,209036.06086477241
28,2020-02-19,0,141.77248064085023,152574.52478139775,True,29,124.45082240771966,209036.06086477241
29,2020-02-20,0,141.77248064085023,152574.52478139775,True,30,133.3643420123924,209036.06086477241
30,2020-02-21,0,141.77248064085023,152574.52478139775,True,31,142.9159739603933,209036.06086477241
31,2020-02-22,0,141.77248064085023,152574.52478139775,True,32,153.15135586865716,209036.06086477241
32,2020-02-23,0,141.77248064085023,152574.52478139775,True,33,164.11938276005702,209036.06086477241
33,2020-02-24,0,141.77248064085023,152574.52478139775,True,34,175.8724385854074,209036.06086477241
34,2020-02-25,0,141.77248064085023,152574.52478139775,True,35,188.46664405598523,209036.06086477241
35,2020-02-26,0,141.77248064085023,152574.52478139775,True,36,201.96212191404564,209036.06086477241
36,2020-02-27,0,141.77248064085023,152574.52478139775,True,37,216.4232808435184,209036.06086477241
37,2020-02-28,0,141.77248064085023,152574.52478139775,True,38,231.9191193022375,209036.06086477241
38,2020-02-29,0,141.77248064085023,152574.52478139775,True,39,248.52355064087251,209036.06086477241
39,2020-03-01,0,141.77248064085023,152574.52478139775,True,40,266.31575096237975,209036.06086477241
40,2020-03-02,0,141.77248064085023,152574.52478139775,True,41,285.3805312694468,209036.06086477241
41,2020-03-03,1,141.77248064085023,152574.52478139775,True,42,305.8087355462332,209036.06086477241
42,2020-03-04,1,141.77248064085023,152574.52478139775,True,43,327.69766652485526,209036.06086477241
43,2020-03-05,4,141.77248064085023,152574.52478139775,True,44,351.15154099665307,209036.06086477241
44,2020-03-06,4,141.77248064085023,152574.52478139775,True,45,376.281976643409,209036.06086477241
45,2020-03-07,4,141.77248064085023,152574.52478139775,True,46,403.2085124844212,209036.06086477241
46,2020-03-08,8,141.77248064085023,152574.52478139775,True,47,432.0591651616952,209036.06086477241
47,2020-03-09,8,141.77248064085023,152574.52478139775,True,48,462.971023417469,209036.06086477241
48,2020-03-10,13,141.77248064085023,152574.52478139775,True,49,496.0908832557293,209036.06086477241
49,2020-03-11,23,141.77248064085023,152574.52478139775,True,50,531.5759264221485,209036.06086477241
50,2020-03-12,23,141.77248064085023,152574.52478139775,True,51,569.5944449846929,209036.06086477241
51,2020-03-13,43,141.77248064085023,152574.52478139775,True,52,610.3266149496565,209036.06086477241
52,2020-03-14,61,141.77248064085023,152574.52478139775,True,53,653.9653220045603,209036.06086477241
53,2020-03-15,74,141.77248064085023,152574.52478139775,True,54,700.7170426395589,209036.06086477241
54,2020-03-16,155,141.77248064085023,152574.52478139775,True,55,750.8027840618875,209036.06086477241
55,2020-03-17,201,141.77248064085023,152574.52478139775,True,56,804.4590864824196,209036.06086477241
56,2020-03-18,238,141.77248064085023,152574.52478139775,True,57,861.9390915183033,209036.06086477241
57,2020-03-19,238,141.77248064085023,152574.52478139775,True,58,923.5136806193331,209036.06086477241
58,2020-03-20,434,141.77248064085023,152574.52478139775,True,59,989.4726875863142,209036.06086477241
59,2020-03-21,537,141.77248064085023,152574.52478139775,True,60,1060.1261894049153,209036.06086477241
60,2020-03-22,632,141.77248064085023,152574.52478139775,True,61,1135.8058797656872,209036.06086477241
61,2020-03-23,746,141.77248064085023,152574.52478139775,True,62,1216.8665297768737,209036.06086477241
62,2020-03-24,922,141.77248064085023,152574.52478139775,True,63,1303.6875404975951,209036.06086477241
63,2020-03-25,1142,141.77248064085023,152574.52478139775,True,64,1396.6745920205644,209036.06086477241
64,2020-03-26,1306,141.77248064085023,152574.52478139775,True,65,1496.2613939105613,209036.06086477241
65,2020-03-27,1610,141.77248064085023,152574.52478139775,True,66,1602.9115418515325,209036.06086477241
66,2020-03-28,1909,141.77248064085023,152574.52478139775,True,67,1717.1204853644904,209036.06086477241
67,2020-03-29,2139,141.77248064085023,152574.52478139775,True,68,1839.417611422445,209036.06086477241
68,2020-03-30,2449,141.77248064085023,152574.52478139775,True,69,1970.3684486983389,209036.06086477241
69,2020-03-31,2738,141.77248064085023,152574.52478139775,True,70,2110.576997026928,209036.06086477241
70,2020-04-01,3031,141.77248064085023,152574.52478139775,True,71,2260.6881864298844,209036.06086477241
71,2020-04-02,3404,141.77248064085023,152574.52478139775,True,72,2421.390469731673,209036.06086477241
72,2020-04-03,3737,141.77248064085023,152574.52478139775,True,73,2593.4185523665874,209036.06086477241
73,2020-04-04,4161,141.77248064085023,152574.52478139775,True,74,2777.556262427639,209036.06086477241
74,2020-04-05,4471,141.77248064085023,152574.52478139775,True,75,2974.6395633162897,209036.06086477241
75,2020-04-06,4815,141.77248064085023,152574.52478139775,True,76,3185.5597104967746,209036.06086477241
76,2020-04-07,5116,141.77248064085023,152574.52478139775,True,77,3411.266552815834,209036.06086477241
77,2020-04-08,5546,141.77248064085023,152574.52478139775,True,78,3652.771977591173,209036.06086477241
78,2020-04-09,5972,141.77248064085023,152574.52478139775,True,79,3911.1534971707197,209036.06086477241
79,2020-04-10,6501,141.77248064085023,152574.52478139775,True,80,4187.55797288705,209036.06086477241
80,2020-04-11,6927,141.77248064085023,152574.52478139775,True,81,4483.205470242136,209036.06086477241
81,2020-04-12,7213,141.77248064085023,152574.52478139775,True,82,4799.393236718694,209036.06086477241
82,2020-04-13,7525,141.77248064085023,152574.52478139775,True,83,5137.499790784701,209036.06086477241
83,2020-04-14,7917,141.77248064085023,152574.52478139775,True,84,5498.98910739379,209036.06086477241
84,2020-04-15,8273,141.77248064085023,152574.52478139775,True,85,5885.414881540205,209036.06086477241
85,2020-04-16,8807,141.77248064085023,152574.52478139775,True,86,6298.424847155316,209036.06086477241
86,2020-04-17,9252,141.77248064085023,152574.52478139775,True,87,6739.765123784818,209036.06086477241
87,2020-04-18,9730,141.77248064085023,152574.52478139775,True,88,7211.284558013154,209036.06086477241
88,2020-04-19,10088,141.77248064085023,152574.52478139775,True,89,7714.939020457121,209036.06086477241
89,2020-04-20,10507,141.77248064085023,152574.52478139775,True,90,8252.795612290092,209036.06086477241
90,2020-04-21,10832,141.77248064085023,152574.52478139775,True,91,8827.036727642715,209036.06086477241
91,2020-04-22,11296,141.77248064085023,152574.52478139775,True,92,9439.963909824313,209036.06086477241
92,2020-04-23,11812,141.77248064085023,152574.52478139775,True,93,10094.00143010164,209036.06086477241
93,2020-04-24,12306,141.77248064085023,152574.52478139775,True,94,10791.699507753145,209036.06086477241
94,2020-04-25,12858,141.77248064085023,152574.52478139775,True,95,11535.737079302184,209036.06086477241
95,2020-04-26,13331,141.77248064085023,152574.52478139775,True,96,12328.924013261587,209036.06086477241
96,2020-04-27,13813,141.77248064085023,152574.52478139775,True,97,13174.20265446572,209036.06086477241
97,2020-04-28,14365,141.77248064085023,152574.52478139775,True,98,14074.64856923394,209036.06086477241
98,2020-04-29,14885,141.77248064085023,152574.52478139775,True,99,15033.470349357125,209036.06086477241
99,2020-04-30,16023,141.77248064085023,152574.52478139775,True,100,16054.008319436165,209036.06086477241
100,2020-05-01,17008,141.77248064085023,152574.52478139775,True,101,17139.731978702897,209036.06086477241
101,2020-05-02,18435,141.77248064085023,152574.52478139775,True,102,18294.23599546579,209036.06086477241
102,2020-05-03,19663,141.77248064085023,152574.52478139775,True,103,19521.234560174133,209036.06086477241
103,2020-05-04,20643,141.77248064085023,152574.52478139775,True,104,20824.553892305023,209036.06086477241
104,2020-05-05,22016,141.77248064085023,152574.52478139775,True,105,22208.12268746413,209036.06086477241
105,2020-05-06,23048,141.77248064085023,152574.52478139775,True,106,23675.96028497395,209036.06086477241
106,2020-05-07,24581,141.77248064085023,152574.52478139775,True,107,25232.16233362638,209036.06086477241
107,2020-05-08,25972,141.77248064085023,152574.52478139775,True,108,26880.88373512544,209036.06086477241
108,2020-05-09,27219,141.77248064085023,152574.52478139775,True,109,28626.318652059213,209036.06086477241
109,2020-05-10,28866,141.77248064085023,152574.52478139775,True,110,30472.67738111167,209036.06086477241
110,2020-05-11,30063,141.77248064085023,152574.52478139775,True,111,32424.1599138006,209036.06086477241
111,2020-05-12,31721,141.77248064085023,152574.52478139775,True,112,34484.926037464706,209036.06086477241
112,2020-05-13,34381,141.77248064085023,152574.52478139775,True,113,36659.061869646706,209036.06086477241
113,2020-05-14,37040,141.77248064085023,152574.52478139775,True,114,38950.54277045409,209036.06086477241
114,2020-05-15,39542,141.77248064085023,152574.52478139775,True,115,41363.192640779125,209036.06086477241
115,2020-05-16,41428,141.77248064085023,152574.52478139775,True,116,43900.639690012744,209036.06086477241
116,2020-05-17,43781,141.77248064085023,152574.52478139775,True,117,46566.26884531569,209036.06086477241
117,2020-05-18,46059,141.77248064085023,152574.52478139775,True,118,49363.171075362894,209036.06086477241
118,2020-05-19,49579,141.77248064085023,152574.52478139775,True,119,52294.090013906614,209036.06086477241
119,2020-05-20,53617,141.77248064085023,152574.52478139775,True,120,55361.366390967814,209036.06086477241
120,2020-05-21,57581,141.77248064085023,152574.52478139775,True,121,58566.88090961145,209036.06086477241
121,2020-05-22,61857,141.77248064085023,152574.52478139775,True,122,61911.99634086787,209036.06086477241
122,2020-05-23,65393,141.77248064085023,152574.52478139775,True,123,65397.4997442853,209036.06086477241
123,2020-05-24,69102,141.77248064085023,152574.52478139775,True,124,69023.54585178947,209036.06086477241
124,2020-05-25,73997,141.77248064085023,152574.52478139775,True,125,72789.60277210189,209036.06086477241
125,2020-05-26,77961,141.77248064085023,152574.52478139775,True,126,76694.40127535937,209036.06086477241
126,2020-05-27,82289,141.77248064085023,152574.52478139775,True,127,80735.88899575612,209036.06086477241
127,2020-05-28,86943,141.77248064085023,152574.52478139775,True,128,84911.19093683381,209036.06086477241
128,2020-05-29,90638,141.77248064085023,152574.52478139775,True,129,89216.57767255942,209036.06086477241
129,2020-05-30,94858,141.77248064085023,152574.52478139775,True,130,93647.4426013723,209036.06086477241
130,2020-05-31,99688,141.77248064085023,152574.52478139775,True,131,98198.28952498817,209036.06086477241
131,2020-06-01,105158,141.77248064085023,152574.52478139775,True,132,102862.73168570964,209036.06086477241
132,2020-06-02,108686,141.77248064085023,152574.52478139775,True,133,107633.50320434048,209036.06086477241
133,2020-06-03,113628,141.77248064085023,152574.52478139775,True,134,112502.48361720306,209036.06086477241
134,2020-06-04,118292,141.77248064085023,152574.52478139775,True,135,117460.73591982189,209036.06086477241
135,2020-06-05,122499,141.77248064085023,152574.52478139775,True,136,122498.55819418898,209036.06086477241
136,2020-06-06,127745,141.77248064085023,152574.52478139775,True,137,127605.54853672696,209036.06086477241
137,2020-06-07,134150,141.77248064085023,152574.52478139775,True,138,132770.68262825353,209036.06086477241
138,2020-06-08,138846,141.77248064085023,152574.52478139775,True,139,137982.40291057338,209036.06086477241
139,2020-06-09,142759,141.77248064085023,152574.52478139775,True,140,143228.71797314714,209036.06086477241
140,2020-06-10,148456,141.77248064085023,152574.52478139775,True,141,148497.3104242507,209036.06086477241
141,2020-06-11,154092,141.77248064085023,152574.52478139775,True,142,153775.65123999715,209036.06086477241
142,2020-06-12,154092,141.77248064085023,152574.52478139775,True,143,159051.11836556785,209036.06086477241
