,Report_Date,USA_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,1,79.21244714673949,459547.7675137178,True,1,10.628623590342091,854674.784734067
1,2020-01-23,1,79.21244714673949,459547.7675137178,True,2,12.291294773080796,854674.784734067
2,2020-01-24,2,79.21244714673949,459547.7675137178,True,3,14.214059154582527,854674.784734067
3,2020-01-25,2,79.21244714673949,459547.7675137178,True,4,16.437601998775293,854674.784734067
4,2020-01-26,5,79.21244714673949,459547.7675137178,True,5,19.00897233324142,854674.784734067
5,2020-01-27,5,79.21244714673949,459547.7675137178,True,6,21.982578179471133,854674.784734067
6,2020-01-28,5,79.21244714673949,459547.7675137178,True,7,25.4213373752823,854674.784734067
7,2020-01-29,5,79.21244714673949,459547.7675137178,True,8,29.398008296779206,854674.784734067
8,2020-01-30,5,79.21244714673949,459547.7675137178,True,9,33.99672857871104,854674.784734067
9,2020-01-31,7,79.21244714673949,459547.7675137178,True,10,39.31479431297614,854674.784734067
10,2020-02-01,8,79.21244714673949,459547.7675137178,True,11,45.464717266249195,854674.784734067
11,2020-02-02,8,79.21244714673949,459547.7675137178,True,12,52.57660350403617,854674.784734067
12,2020-02-03,11,79.21244714673949,459547.7675137178,True,13,60.80090356045811,854674.784734067
13,2020-02-04,11,79.21244714673949,459547.7675137178,True,14,70.31159208940954,854674.784734067
14,2020-02-05,11,79.21244714673949,459547.7675137178,True,15,81.30984393279266,854674.784734067
15,2020-02-06,11,79.21244714673949,459547.7675137178,True,16,94.02828392823555,854674.784734067
16,2020-02-07,11,79.21244714673949,459547.7675137178,True,17,108.7358997618227,854674.784734067
17,2020-02-08,11,79.21244714673949,459547.7675137178,True,18,125.74372099105481,854674.784734067
18,2020-02-09,11,79.21244714673949,459547.7675137178,True,19,145.41138329402992,854674.784734067
19,2020-02-10,11,79.21244714673949,459547.7675137178,True,20,168.15471535585118,854674.784734067
20,2020-02-11,12,79.21244714673949,459547.7675137178,True,21,194.4545069389209,854674.784734067
21,2020-02-12,12,79.21244714673949,459547.7675137178,True,22,224.86664100457884,854674.784734067
22,2020-02-13,13,79.21244714673949,459547.7675137178,True,23,260.0338007170171,854674.784734067
23,2020-02-14,13,79.21244714673949,459547.7675137178,True,24,300.6989942820487,854674.784734067
24,2020-02-15,13,79.21244714673949,459547.7675137178,True,25,347.72117743102984,854674.784734067
25,2020-02-16,13,79.21244714673949,459547.7675137178,True,26,402.09329559811727,854674.784734067
26,2020-02-17,13,79.21244714673949,459547.7675137178,True,27,464.96311616961424,854674.784734067
27,2020-02-18,13,79.21244714673949,459547.7675137178,True,28,537.6572763883405,854674.784734067
28,2020-02-19,13,79.21244714673949,459547.7675137178,True,29,621.7090354196764,854674.784734067
29,2020-02-20,13,79.21244714673949,459547.7675137178,True,30,718.8902906312138,854674.784734067
30,2020-02-21,15,79.21244714673949,459547.7675137178,True,31,831.248499246938,854674.784734067
31,2020-02-22,15,79.21244714673949,459547.7675137178,True,32,961.1492381648918,854674.784734067
32,2020-02-23,15,79.21244714673949,459547.7675137178,True,33,1111.3252378013678,854674.784734067
