,Report_Date,Gabon_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,88.72996701902433,85.5849311733501,False,1,0.0019488973120653735,121.32103156380802
1,2020-01-23,0,88.72996701902433,85.5849311733501,False,2,0.002218905663893588,121.32103156380802
2,2020-01-24,0,88.72996701902433,85.5849311733501,False,3,0.0025263215453976136,121.32103156380802
3,2020-01-25,0,88.72996701902433,85.5849311733501,False,4,0.002876327311487612,121.32103156380802
4,2020-01-26,0,88.72996701902433,85.5849311733501,False,5,0.003274823220384883,121.32103156380802
5,2020-01-27,0,88.72996701902433,85.5849311733501,False,6,0.0037285268692561816,121.32103156380802
6,2020-01-28,0,88.72996701902433,85.5849311733501,False,7,0.00424508639826347,121.32103156380802
7,2020-01-29,0,88.72996701902433,85.5849311733501,False,8,0.004833209368220452,121.32103156380802
8,2020-01-30,0,88.72996701902433,85.5849311733501,False,9,0.005502809480302691,121.32103156380802
9,2020-01-31,0,88.72996701902433,85.5849311733501,False,10,0.0062651736057788435,121.32103156380802
10,2020-02-01,0,88.72996701902433,85.5849311733501,False,11,0.0071331519344796064,121.32103156380802
11,2020-02-02,0,88.72996701902433,85.5849311733501,False,12,0.008121374438330508,121.32103156380802
12,2020-02-03,0,88.72996701902433,85.5849311733501,False,13,0.00924649728713399,121.32103156380802
13,2020-02-04,0,88.72996701902433,85.5849311733501,False,14,0.010527483355138817,121.32103156380802
14,2020-02-05,0,88.72996701902433,85.5849311733501,False,15,0.011985921526988621,121.32103156380802
15,2020-02-06,0,88.72996701902433,85.5849311733501,False,16,0.013646390159689669,121.32103156380802
16,2020-02-07,0,88.72996701902433,85.5849311733501,False,17,0.015536870793795753,121.32103156380802
17,2020-02-08,0,88.72996701902433,85.5849311733501,False,18,0.01768921904396057,121.32103156380802
18,2020-02-09,0,88.72996701902433,85.5849311733501,False,19,0.020139700549775968,121.32103156380802
19,2020-02-10,0,88.72996701902433,85.5849311733501,False,20,0.02292960094753341,121.32103156380802
20,2020-02-11,0,88.72996701902433,85.5849311733501,False,21,0.026105920049261974,121.32103156380802
21,2020-02-12,0,88.72996701902433,85.5849311733501,False,22,0.029722161806274284,121.32103156380802
22,2020-02-13,0,88.72996701902433,85.5849311733501,False,23,0.03383923321199941,121.32103156380802
23,2020-02-14,0,88.72996701902433,85.5849311733501,False,24,0.03852646708718076,121.32103156380802
24,2020-02-15,0,88.72996701902433,85.5849311733501,False,25,0.04386278571646088,121.32103156380802
25,2020-02-16,0,88.72996701902433,85.5849311733501,False,26,0.04993802459890533,121.32103156380802
26,2020-02-17,0,88.72996701902433,85.5849311733501,False,27,0.05685443816934524,121.32103156380802
27,2020-02-18,0,88.72996701902433,85.5849311733501,False,28,0.06472841227922257,121.32103156380802
28,2020-02-19,0,88.72996701902433,85.5849311733501,False,29,0.07369241153519808,121.32103156380802
29,2020-02-20,0,88.72996701902433,85.5849311733501,False,30,0.08389719332511204,121.32103156380802
30,2020-02-21,0,88.72996701902433,85.5849311733501,False,31,0.09551432456160609,121.32103156380802
31,2020-02-22,0,88.72996701902433,85.5849311733501,False,32,0.10873904189489882,121.32103156380802
32,2020-02-23,0,88.72996701902433,85.5849311733501,False,33,0.12379350144194373,121.32103156380802
33,2020-02-24,0,88.72996701902433,85.5849311733501,False,34,0.1409304700058292,121.32103156380802
34,2020-02-25,0,88.72996701902433,85.5849311733501,False,35,0.16043751637419992,121.32103156380802
35,2020-02-26,0,88.72996701902433,85.5849311733501,False,36,0.1826417686453667,121.32103156380802
36,2020-02-27,0,88.72996701902433,85.5849311733501,False,37,0.20791531168899965,121.32103156380802
37,2020-02-28,0,88.72996701902433,85.5849311733501,False,38,0.23668130785134478,121.32103156380802
38,2020-02-29,0,88.72996701902433,85.5849311733501,False,39,0.2694209338973455,121.32103156380802
39,2020-03-01,0,88.72996701902433,85.5849311733501,False,40,0.3066812379598379,121.32103156380802
40,2020-03-02,0,88.72996701902433,85.5849311733501,False,41,0.3490840319273771,121.32103156380802
