,Report_Date,China_shandong_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,2,18.33525127076502,386.43249612157655,True,1,51.09290913403943,772.8513847379464
1,2020-01-23,6,18.33525127076502,386.43249612157655,True,2,58.88287097353409,772.8513847379464
2,2020-01-24,15,18.33525127076502,386.43249612157655,True,3,67.74905759242962,772.8513847379464
3,2020-01-25,27,18.33525127076502,386.43249612157655,True,4,77.8047748239975,772.8513847379464
4,2020-01-26,46,18.33525127076502,386.43249612157655,True,5,89.16428593871844,772.8513847379464
5,2020-01-27,75,18.33525127076502,386.43249612157655,True,6,101.9390498548169,772.8513847379464
6,2020-01-28,95,18.33525127076502,386.43249612157655,True,7,116.23292652198877,772.8513847379464
7,2020-01-29,130,18.33525127076502,386.43249612157655,True,8,132.13635177723827,772.8513847379464
8,2020-01-30,158,18.33525127076502,386.43249612157655,True,9,149.7195982297907,772.8513847379464
9,2020-01-31,184,18.33525127076502,386.43249612157655,True,10,169.02538956522775,772.8513847379464
10,2020-02-01,206,18.33525127076502,386.43249612157655,True,11,190.06131351676922,772.8513847379464
11,2020-02-02,230,18.33525127076502,386.43249612157655,True,12,212.792662294074,772.8513847379464
12,2020-02-03,259,18.33525127076502,386.43249612157655,True,13,237.13648449306345,772.8513847379464
13,2020-02-04,275,18.33525127076502,386.43249612157655,True,14,262.9577158385419,772.8513847379464
14,2020-02-05,307,18.33525127076502,386.43249612157655,True,15,290.0682226390242,772.8513847379464
15,2020-02-06,347,18.33525127076502,386.43249612157655,True,16,318.22940859005905,772.8513847379464
16,2020-02-07,386,18.33525127076502,386.43249612157655,True,17,347.15869669331516,772.8513847379464
17,2020-02-08,416,18.33525127076502,386.43249612157655,True,18,376.5397363951946,772.8513847379464
18,2020-02-09,444,18.33525127076502,386.43249612157655,True,19,406.03567457307065,772.8513847379464
19,2020-02-10,466,18.33525127076502,386.43249612157655,True,20,435.3043680269762,772.8513847379464
20,2020-02-11,487,18.33525127076502,386.43249612157655,True,21,464.0141066198852,772.8513847379464
21,2020-02-12,497,18.33525127076502,386.43249612157655,True,22,491.8583331054926,772.8513847379464
22,2020-02-13,509,18.33525127076502,386.43249612157655,True,23,518.568008204771,772.8513847379464
23,2020-02-14,523,18.33525127076502,386.43249612157655,True,24,543.9206383223947,772.8513847379464
