,Report_Date,Guatemala_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,140.98012490297756,8127.495970967823,True,1,0.1763794720066364,11824.247391069444
1,2020-01-23,0,140.98012490297756,8127.495970967823,True,2,0.19138752637470188,11824.247391069444
2,2020-01-24,0,140.98012490297756,8127.495970967823,True,3,0.20767259339990704,11824.247391069444
3,2020-01-25,0,140.98012490297756,8127.495970967823,True,4,0.22534332926401,11824.247391069444
4,2020-01-26,0,140.98012490297756,8127.495970967823,True,5,0.24451763477914681,11824.247391069444
5,2020-01-27,0,140.98012490297756,8127.495970967823,True,6,0.26532344184368784,11824.247391069444
6,2020-01-28,0,140.98012490297756,8127.495970967823,True,7,0.2878995667870157,11824.247391069444
7,2020-01-29,0,140.98012490297756,8127.495970967823,True,8,0.3123966362893341,11824.247391069444
8,2020-01-30,0,140.98012490297756,8127.495970967823,True,9,0.3389780920454676,11824.247391069444
9,2020-01-31,0,140.98012490297756,8127.495970967823,True,10,0.3678212808653893,11824.247391069444
10,2020-02-01,0,140.98012490297756,8127.495970967823,True,11,0.3991186374723416,11824.247391069444
11,2020-02-02,0,140.98012490297756,8127.495970967823,True,12,0.4330789678756529,11824.247391069444
12,2020-02-03,0,140.98012490297756,8127.495970967823,True,13,0.4699288418637451,11824.247391069444
13,2020-02-04,0,140.98012490297756,8127.495970967823,True,14,0.5099141038877504,11824.247391069444
14,2020-02-05,0,140.98012490297756,8127.495970967823,True,15,0.5533015123923856,11824.247391069444
15,2020-02-06,0,140.98012490297756,8127.495970967823,True,16,0.6003805185033848,11824.247391069444
16,2020-02-07,0,140.98012490297756,8127.495970967823,True,17,0.6514651959054701,11824.247391069444
17,2020-02-08,0,140.98012490297756,8127.495970967823,True,18,0.7068963347475429,11824.247391069444
18,2020-02-09,0,140.98012490297756,8127.495970967823,True,19,0.7670437134990651,11824.247391069444
19,2020-02-10,0,140.98012490297756,8127.495970967823,True,20,0.8323085638605053,11824.247391069444
20,2020-02-11,0,140.98012490297756,8127.495970967823,True,21,0.9031262451089037,11824.247391069444
21,2020-02-12,0,140.98012490297756,8127.495970967823,True,22,0.9799691456453274,11824.247391069444
22,2020-02-13,0,140.98012490297756,8127.495970967823,True,23,1.0633498310131557,11824.247391069444
23,2020-02-14,0,140.98012490297756,8127.495970967823,True,24,1.1538244592844353,11824.247391069444
24,2020-02-15,0,140.98012490297756,8127.495970967823,True,25,1.2519964864763866,11824.247391069444
25,2020-02-16,0,140.98012490297756,8127.495970967823,True,26,1.3585206865727872,11824.247391069444
26,2020-02-17,0,140.98012490297756,8127.495970967823,True,27,1.474107512797597,11824.247391069444
27,2020-02-18,0,140.98012490297756,8127.495970967823,True,28,1.5995278290338872,11824.247391069444
28,2020-02-19,0,140.98012490297756,8127.495970967823,True,29,1.7356180427141004,11824.247391069444
29,2020-02-20,0,140.98012490297756,8127.495970967823,True,30,1.8832856731431122,11824.247391069444
30,2020-02-21,0,140.98012490297756,8127.495970967823,True,31,2.0435153920699265,11824.247391069444
31,2020-02-22,0,140.98012490297756,8127.495970967823,True,32,2.217375576414806,11824.247391069444
32,2020-02-23,0,140.98012490297756,8127.495970967823,True,33,2.406025416405232,11824.247391069444
33,2020-02-24,0,140.98012490297756,8127.495970967823,True,34,2.610722625996756,11824.247391069444
34,2020-02-25,0,140.98012490297756,8127.495970967823,True,35,2.8328318063754794,11824.247391069444
35,2020-02-26,0,140.98012490297756,8127.495970967823,True,36,3.073833517581187,11824.247391069444
36,2020-02-27,0,140.98012490297756,8127.495970967823,True,37,3.3353341178791958,11824.247391069444
37,2020-02-28,0,140.98012490297756,8127.495970967823,True,38,3.6190764354719,11824.247391069444
38,2020-02-29,0,140.98012490297756,8127.495970967823,True,39,3.926951342506567,11824.247391069444
39,2020-03-01,0,140.98012490297756,8127.495970967823,True,40,4.261010307134928,11824.247391069444
40,2020-03-02,0,140.98012490297756,8127.495970967823,True,41,4.623479005645567,11824.247391069444
41,2020-03-03,0,140.98012490297756,8127.495970967823,True,42,5.016772083456534,11824.247391069444
42,2020-03-04,0,140.98012490297756,8127.495970967823,True,43,5.4435091610604,11824.247391069444
43,2020-03-05,0,140.98012490297756,8127.495970967823,True,44,5.9065321888960565,11824.247391069444
44,2020-03-06,0,140.98012490297756,8127.495970967823,True,45,6.4089242636224,11824.247391069444
