,Report_Date,New Zealand_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,73.10453442509635,828.6789916150938,True,1,0.019400210897284286,1619.7641685480623
1,2020-01-23,0,73.10453442509635,828.6789916150938,True,2,0.02270914557124457,1619.7641685480623
2,2020-01-24,0,73.10453442509635,828.6789916150938,True,3,0.02658244901006528,1619.7641685480623
3,2020-01-25,0,73.10453442509635,828.6789916150938,True,4,0.031116376064662703,1619.7641685480623
4,2020-01-26,0,73.10453442509635,828.6789916150938,True,5,0.03642359690995937,1619.7641685480623
5,2020-01-27,0,73.10453442509635,828.6789916150938,True,6,0.04263599605864062,1619.7641685480623
6,2020-01-28,0,73.10453442509635,828.6789916150938,True,7,0.04990794847098989,1619.7641685480623
7,2020-01-29,0,73.10453442509635,828.6789916150938,True,8,0.05842015401958505,1619.7641685480623
8,2020-01-30,0,73.10453442509635,828.6789916150938,True,9,0.06838412538428362,1619.7641685480623
9,2020-01-31,0,73.10453442509635,828.6789916150938,True,10,0.08004744061021032,1619.7641685480623
10,2020-02-01,0,73.10453442509635,828.6789916150938,True,11,0.09369989045270774,1619.7641685480623
11,2020-02-02,0,73.10453442509635,828.6789916150938,True,12,0.10968067271663498,1619.7641685480623
12,2020-02-03,0,73.10453442509635,828.6789916150938,True,13,0.12838681160638124,1619.7641685480623
13,2020-02-04,0,73.10453442509635,828.6789916150938,True,14,0.15028301025775684,1619.7641685480623
14,2020-02-05,0,73.10453442509635,828.6789916150938,True,15,0.17591317984397434,1619.7641685480623
15,2020-02-06,0,73.10453442509635,828.6789916150938,True,16,0.20591392977086895,1619.7641685480623
16,2020-02-07,0,73.10453442509635,828.6789916150938,True,17,0.24103035146898744,1619.7641685480623
17,2020-02-08,0,73.10453442509635,828.6789916150938,True,18,0.28213448427050697,1619.7641685480623
18,2020-02-09,0,73.10453442509635,828.6789916150938,True,19,0.33024691711649146,1619.7641685480623
19,2020-02-10,0,73.10453442509635,828.6789916150938,True,20,0.38656205585711234,1619.7641685480623
20,2020-02-11,0,73.10453442509635,828.6789916150938,True,21,0.45247767438253267,1619.7641685480623
21,2020-02-12,0,73.10453442509635,828.6789916150938,True,22,0.5296294706928818,1619.7641685480623
22,2020-02-13,0,73.10453442509635,828.6789916150938,True,23,0.619931468481597,1619.7641685480623
23,2020-02-14,0,73.10453442509635,828.6789916150938,True,24,0.7256232433480595,1619.7641685480623
24,2020-02-15,0,73.10453442509635,828.6789916150938,True,25,0.8493251131484804,1619.7641685480623
25,2020-02-16,0,73.10453442509635,828.6789916150938,True,26,0.9941026173125466,1619.7641685480623
26,2020-02-17,0,73.10453442509635,828.6789916150938,True,27,1.1635418235576176,1619.7641685480623
27,2020-02-18,0,73.10453442509635,828.6789916150938,True,28,1.3618372459309618,1619.7641685480623
28,2020-02-19,0,73.10453442509635,828.6789916150938,True,29,1.593894439286608,1619.7641685480623
29,2020-02-20,0,73.10453442509635,828.6789916150938,True,30,1.865449655985375,1619.7641685480623
30,2020-02-21,0,73.10453442509635,828.6789916150938,True,31,2.183209314462747,1619.7641685480623
31,2020-02-22,0,73.10453442509635,828.6789916150938,True,32,2.555012439532509,1619.7641685480623
32,2020-02-23,0,73.10453442509635,828.6789916150938,True,33,2.990019693134405,1619.7641685480623
33,2020-02-24,0,73.10453442509635,828.6789916150938,True,34,3.4989331223207434,1619.7641685480623
34,2020-02-25,0,73.10453442509635,828.6789916150938,True,35,4.094251306653913,1619.7641685480623
35,2020-02-26,0,73.10453442509635,828.6789916150938,True,36,4.79056518395948,1619.7641685480623
36,2020-02-27,0,73.10453442509635,828.6789916150938,True,37,5.604900459844338,1619.7641685480623
