,Report_Date,Nicaragua_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,71.19724449197521,4.585568120187248,True,1,0.00010780663162604993,8.864427268767361
1,2020-01-23,0,71.19724449197521,4.585568120187248,True,2,0.00012672783568428767,8.864427268767361
2,2020-01-24,0,71.19724449197521,4.585568120187248,True,3,0.00014896985723061786,8.864427268767361
3,2020-01-25,0,71.19724449197521,4.585568120187248,True,4,0.00017511550479266564,8.864427268767361
4,2020-01-26,0,71.19724449197521,4.585568120187248,True,5,0.00020584986281825098,8.864427268767361
5,2020-01-27,0,71.19724449197521,4.585568120187248,True,6,0.00024197823687241153,8.864427268767361
6,2020-01-28,0,71.19724449197521,4.585568120187248,True,7,0.0002844472463283369,8.864427268767361
7,2020-01-29,0,71.19724449197521,4.585568120187248,True,8,0.00033436961616842357,8.864427268767361
8,2020-01-30,0,71.19724449197521,4.585568120187248,True,9,0.0003930533160183307,8.864427268767361
9,2020-01-31,0,71.19724449197521,4.585568120187248,True,10,0.00046203580786378137,8.864427268767361
10,2020-02-01,0,71.19724449197521,4.585568120187248,True,11,0.0005431242969540604,8.864427268767361
11,2020-02-02,0,71.19724449197521,4.585568120187248,True,12,0.0006384430365779471,8.864427268767361
12,2020-02-03,0,71.19724449197521,4.585568120187248,True,13,0.0007504889206804876,8.864427268767361
13,2020-02-04,0,71.19724449197521,4.585568120187248,True,14,0.0008821968133105263,8.864427268767361
14,2020-02-05,0,71.19724449197521,4.585568120187248,True,15,0.0010370163160560463,8.864427268767361
15,2020-02-06,0,71.19724449197521,4.585568120187248,True,16,0.0012190019702304955,8.864427268767361
16,2020-02-07,0,71.19724449197521,4.585568120187248,True,17,0.0014329192369302202,8.864427268767361
17,2020-02-08,0,71.19724449197521,4.585568120187248,True,18,0.0016843690036672685,8.864427268767361
18,2020-02-09,0,71.19724449197521,4.585568120187248,True,19,0.001979933840893289,8.864427268767361
19,2020-02-10,0,71.19724449197521,4.585568120187248,True,20,0.0023273497866632326,8.864427268767361
20,2020-02-11,0,71.19724449197521,4.585568120187248,True,21,0.002735708085906827,8.864427268767361
21,2020-02-12,0,71.19724449197521,4.585568120187248,True,22,0.0032156920670920346,8.864427268767361
22,2020-02-13,0,71.19724449197521,4.585568120187248,True,23,0.0037798552202965097,8.864427268767361
23,2020-02-14,0,71.19724449197521,4.585568120187248,True,24,0.004442947565806161,8.864427268767361
24,2020-02-15,0,71.19724449197521,4.585568120187248,True,25,0.005222298592496331,8.864427268767361
25,2020-02-16,0,71.19724449197521,4.585568120187248,True,26,0.006138266423756159,8.864427268767361
26,2020-02-17,0,71.19724449197521,4.585568120187248,True,27,0.007214764460904955,8.864427268767361
27,2020-02-18,0,71.19724449197521,4.585568120187248,True,28,0.008479878586774736,8.864427268767361
28,2020-02-19,0,71.19724449197521,4.585568120187248,True,29,0.009966590112983197,8.864427268767361
29,2020-02-20,0,71.19724449197521,4.585568120187248,True,30,0.011713622050381895,8.864427268767361
30,2020-02-21,0,71.19724449197521,4.585568120187248,True,31,0.013766428997521533,8.864427268767361
31,2020-02-22,0,71.19724449197521,4.585568120187248,True,32,0.016178353995145216,8.864427268767361
32,2020-02-23,0,71.19724449197521,4.585568120187248,True,33,0.019011979093574456,8.864427268767361
33,2020-02-24,0,71.19724449197521,4.585568120187248,True,34,0.02234070011497936,8.864427268767361
34,2020-02-25,0,71.19724449197521,4.585568120187248,True,35,0.02625056012765661,8.864427268767361
35,2020-02-26,0,71.19724449197521,4.585568120187248,True,36,0.030842380408067315,8.864427268767361
36,2020-02-27,0,71.19724449197521,4.585568120187248,True,37,0.03623423201328267,8.864427268767361
37,2020-02-28,0,71.19724449197521,4.585568120187248,True,38,0.04256429530253556,8.864427268767361
38,2020-02-29,0,71.19724449197521,4.585568120187248,True,39,0.049994158494972636,8.864427268767361
39,2020-03-01,0,71.19724449197521,4.585568120187248,True,40,0.05871260913219375,8.864427268767361
40,2020-03-02,0,71.19724449197521,4.585568120187248,True,41,0.06893997340885528,8.864427268767361
41,2020-03-03,0,71.19724449197521,4.585568120187248,True,42,0.08093305672780414,8.864427268767361
42,2020-03-04,0,71.19724449197521,4.585568120187248,True,43,0.09499073312640863,8.864427268767361
43,2020-03-05,0,71.19724449197521,4.585568120187248,True,44,0.1114602195095262,8.864427268767361
44,2020-03-06,0,71.19724449197521,4.585568120187248,True,45,0.13074405039117157,8.864427268767361
45,2020-03-07,0,71.19724449197521,4.585568120187248,True,46,0.15330773681686463,8.864427268767361
46,2020-03-08,0,71.19724449197521,4.585568120187248,True,47,0.17968804516495157,8.864427268767361
47,2020-03-09,0,71.19724449197521,4.585568120187248,True,48,0.21050176251875952,8.864427268767361
48,2020-03-10,0,71.19724449197521,4.585568120187248,True,49,0.2464547192698566,8.864427268767361
49,2020-03-11,0,71.19724449197521,4.585568120187248,True,50,0.28835070990351735,8.864427268767361
50,2020-03-12,0,71.19724449197521,4.585568120187248,True,51,0.3370997828074979,8.864427268767361
51,2020-03-13,0,71.19724449197521,4.585568120187248,True,52,0.39372515377196166,8.864427268767361
52,2020-03-14,0,71.19724449197521,4.585568120187248,True,53,0.4593677329335641,8.864427268767361
53,2020-03-15,0,71.19724449197521,4.585568120187248,True,54,0.5352869445583248,8.864427268767361
54,2020-03-16,0,71.19724449197521,4.585568120187248,True,55,0.622856176824778,8.864427268767361
55,2020-03-17,0,71.19724449197521,4.585568120187248,True,56,0.723550854143831,8.864427268767361
