,Report_Date,Indonesia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,81.03875949072004,3826.6190600133723,True,1,0.19546432282992202,6197.071706118686
1,2020-01-23,0,81.03875949072004,3826.6190600133723,True,2,0.2230733628388875,6197.071706118686
2,2020-01-24,0,81.03875949072004,3826.6190600133723,True,3,0.2545820082708756,6197.071706118686
3,2020-01-25,0,81.03875949072004,3826.6190600133723,True,4,0.29054101493654977,6197.071706118686
4,2020-01-26,0,81.03875949072004,3826.6190600133723,True,5,0.33157891207646334,6197.071706118686
5,2020-01-27,0,81.03875949072004,3826.6190600133723,True,6,0.3784129813279326,6197.071706118686
6,2020-01-28,0,81.03875949072004,3826.6190600133723,True,7,0.4318617844636801,6197.071706118686
7,2020-01-29,0,81.03875949072004,3826.6190600133723,True,8,0.49285945805474146,6197.071706118686
8,2020-01-30,0,81.03875949072004,3826.6190600133723,True,9,0.5624720238386673,6197.071706118686
9,2020-01-31,0,81.03875949072004,3826.6190600133723,True,10,0.6419159984727213,6197.071706118686
10,2020-02-01,0,81.03875949072004,3826.6190600133723,True,11,0.732579626106766,6197.071706118686
11,2020-02-02,0,81.03875949072004,3826.6190600133723,True,12,0.8360471024857082,6197.071706118686
12,2020-02-03,0,81.03875949072004,3826.6190600133723,True,13,0.9541262108376964,6197.071706118686
13,2020-02-04,0,81.03875949072004,3826.6190600133723,True,14,1.0888798484701223,6197.071706118686
14,2020-02-05,0,81.03875949072004,3826.6190600133723,True,15,1.2426619897377658,6197.071706118686
15,2020-02-06,0,81.03875949072004,3826.6190600133723,True,16,1.4181587069435642,6197.071706118686
16,2020-02-07,0,81.03875949072004,3826.6190600133723,True,17,1.6184349569929783,6197.071706118686
17,2020-02-08,0,81.03875949072004,3826.6190600133723,True,18,1.846987939604437,6197.071706118686
18,2020-02-09,0,81.03875949072004,3826.6190600133723,True,19,2.1078079440968995,6197.071706118686
19,2020-02-10,0,81.03875949072004,3826.6190600133723,True,20,2.4054477279194693,6197.071706118686
20,2020-02-11,0,81.03875949072004,3826.6190600133723,True,21,2.745101613029419,6197.071706118686
