,Report_Date,China_heilongjiang_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,17.016295368728294,246.45348509187508,True,1,7.694915041032669,492.9069670813878
1,2020-01-23,2,17.016295368728294,246.45348509187508,True,2,9.921444431320854,492.9069670813878
2,2020-01-24,4,17.016295368728294,246.45348509187508,True,3,12.775259205418923,492.9069670813878
3,2020-01-25,9,17.016295368728294,246.45348509187508,True,4,16.422037654112728,492.9069670813878
4,2020-01-26,15,17.016295368728294,246.45348509187508,True,5,21.064141901644902,492.9069670813878
5,2020-01-27,21,17.016295368728294,246.45348509187508,True,6,26.944251614484727,492.9069670813878
6,2020-01-28,33,17.016295368728294,246.45348509187508,True,7,34.34632509852846,492.9069670813878
7,2020-01-29,38,17.016295368728294,246.45348509187508,True,8,43.5916460889672,492.9069670813878
8,2020-01-30,44,17.016295368728294,246.45348509187508,True,9,55.02698013572715,492.9069670813878
9,2020-01-31,59,17.016295368728294,246.45348509187508,True,10,69.00144679975918,492.9069670813878
10,2020-02-01,80,17.016295368728294,246.45348509187508,True,11,85.82919766128333,492.9069670813878
11,2020-02-02,95,17.016295368728294,246.45348509187508,True,12,105.73716937103168,492.9069670813878
12,2020-02-03,121,17.016295368728294,246.45348509187508,True,13,128.8017255331545,492.9069670813878
13,2020-02-04,155,17.016295368728294,246.45348509187508,True,14,154.88472042433997,492.9069670813878
14,2020-02-05,190,17.016295368728294,246.45348509187508,True,15,183.58643348497134,492.9069670813878
15,2020-02-06,227,17.016295368728294,246.45348509187508,True,16,214.23590241037343,492.9069670813878
16,2020-02-07,277,17.016295368728294,246.45348509187508,True,17,245.9339331766405,492.9069670813878
17,2020-02-08,295,17.016295368728294,246.45348509187508,True,18,277.6491624633195,492.9069670813878
18,2020-02-09,307,17.016295368728294,246.45348509187508,True,19,308.34800500653694,492.9069670813878
19,2020-02-10,331,17.016295368728294,246.45348509187508,True,20,337.12518909377104,492.9069670813878
20,2020-02-11,360,17.016295368728294,246.45348509187508,True,21,363.301328595275,492.9069670813878
21,2020-02-12,378,17.016295368728294,246.45348509187508,True,22,386.4677589922827,492.9069670813878
22,2020-02-13,395,17.016295368728294,246.45348509187508,True,23,406.47840312725964,492.9069670813878
23,2020-02-14,419,17.016295368728294,246.45348509187508,True,24,423.40360306043107,492.9069670813878
24,2020-02-15,425,17.016295368728294,246.45348509187508,True,25,437.46642631882276,492.9069670813878
25,2020-02-16,445,17.016295368728294,246.45348509187508,True,26,448.979082519232,492.9069670813878
26,2020-02-17,457,17.016295368728294,246.45348509187508,True,27,458.2902225356424,492.9069670813878
27,2020-02-18,464,17.016295368728294,246.45348509187508,True,28,465.74712373941486,492.9069670813878
28,2020-02-19,470,17.016295368728294,246.45348509187508,True,29,471.67213908693435,492.9069670813878
29,2020-02-20,476,17.016295368728294,246.45348509187508,True,30,476.35053981075066,492.9069670813878
30,2020-02-21,479,17.016295368728294,246.45348509187508,True,31,480.0263555691417,492.9069670813878
31,2020-02-22,479,17.016295368728294,246.45348509187508,True,32,482.90321491202485,492.9069670813878
32,2020-02-23,480,17.016295368728294,246.45348509187508,True,33,485.14791941345334,492.9069670813878
33,2020-02-24,480,17.016295368728294,246.45348509187508,True,34,486.8952136501012,492.9069670813878
34,2020-02-25,480,17.016295368728294,246.45348509187508,True,35,488.2528019103874,492.9069670813878
35,2020-02-26,480,17.016295368728294,246.45348509187508,True,36,489.30608386208615,492.9069670813878
36,2020-02-27,480,17.016295368728294,246.45348509187508,True,37,490.12235768734337,492.9069670813878
37,2020-02-28,480,17.016295368728294,246.45348509187508,True,38,490.75440693904176,492.9069670813878
38,2020-02-29,480,17.016295368728294,246.45348509187508,True,39,491.2434810409002,492.9069670813878
39,2020-03-01,480,17.016295368728294,246.45348509187508,True,40,491.6217258557734,492.9069670813878
40,2020-03-02,480,17.016295368728294,246.45348509187508,True,41,491.9141390379696,492.9069670813878
41,2020-03-03,480,17.016295368728294,246.45348509187508,True,42,492.14012742148276,492.9069670813878
42,2020-03-04,480,17.016295368728294,246.45348509187508,True,43,492.3147382229082,492.9069670813878
43,2020-03-05,481,17.016295368728294,246.45348509187508,True,44,492.4496269323118,492.9069670813878
44,2020-03-06,481,17.016295368728294,246.45348509187508,True,45,492.5538149818054,492.9069670813878
45,2020-03-07,481,17.016295368728294,246.45348509187508,True,46,492.63428093921954,492.9069670813878
46,2020-03-08,481,17.016295368728294,246.45348509187508,True,47,492.69642066915833,492.9069670813878
47,2020-03-09,481,17.016295368728294,246.45348509187508,True,48,492.7444048286039,492.9069670813878
48,2020-03-10,481,17.016295368728294,246.45348509187508,True,49,492.781456201016,492.9069670813878
49,2020-03-11,482,17.016295368728294,246.45348509187508,True,50,492.81006460466733,492.9069670813878
50,2020-03-12,482,17.016295368728294,246.45348509187508,True,51,492.8321532845294,492.9069670813878
51,2020-03-13,482,17.016295368728294,246.45348509187508,True,52,492.84920765579426,492.9069670813878
52,2020-03-14,482,17.016295368728294,246.45348509187508,True,53,492.86237486702265,492.9069670813878
53,2020-03-15,482,17.016295368728294,246.45348509187508,True,54,492.872540766743,492.9069670813878
54,2020-03-16,482,17.016295368728294,246.45348509187508,True,55,492.88038938404156,492.9069670813878
55,2020-03-17,482,17.016295368728294,246.45348509187508,True,56,492.8864488851123,492.9069670813878
56,2020-03-18,482,17.016295368728294,246.45348509187508,True,57,492.8911270743571,492.9069670813878
57,2020-03-19,483,17.016295368728294,246.45348509187508,True,58,492.8947388149384,492.9069670813878
