,Report_Date,Mozambique_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,285.31579500364774,14523.069609936827,False,1,7.797541630547637,29046.139219873654
1,2020-01-23,0,285.31579500364774,14523.069609936827,False,2,8.026280038235658,29046.139219873654
2,2020-01-24,0,285.31579500364774,14523.069609936827,False,3,8.261726505419633,29046.139219873654
3,2020-01-25,0,285.31579500364774,14523.069609936827,False,4,8.504077641265301,29046.139219873654
4,2020-01-26,0,285.31579500364774,14523.069609936827,False,5,8.753535810669153,29046.139219873654
5,2020-01-27,0,285.31579500364774,14523.069609936827,False,6,9.010309302354633,29046.139219873654
6,2020-01-28,0,285.31579500364774,14523.069609936827,False,7,9.274612501853598,29046.139219873654
7,2020-01-29,0,285.31579500364774,14523.069609936827,False,8,9.546666069513575,29046.139219873654
8,2020-01-30,0,285.31579500364774,14523.069609936827,False,9,9.826697123675348,29046.139219873654
9,2020-01-31,0,285.31579500364774,14523.069609936827,False,10,10.114939429169407,29046.139219873654
10,2020-02-01,0,285.31579500364774,14523.069609936827,False,11,10.411633591284025,29046.139219873654
11,2020-02-02,0,285.31579500364774,14523.069609936827,False,12,10.717027255361998,29046.139219873654
12,2020-02-03,0,285.31579500364774,14523.069609936827,False,13,11.031375312187444,29046.139219873654
13,2020-02-04,0,285.31579500364774,14523.069609936827,False,14,11.354940109328595,29046.139219873654
14,2020-02-05,0,285.31579500364774,14523.069609936827,False,15,11.687991668607204,29046.139219873654
15,2020-02-06,0,285.31579500364774,14523.069609936827,False,16,12.03080790986985,29046.139219873654
16,2020-02-07,0,285.31579500364774,14523.069609936827,False,17,12.383674881241355,29046.139219873654
17,2020-02-08,0,285.31579500364774,14523.069609936827,False,18,12.746886996045577,29046.139219873654
18,2020-02-09,0,285.31579500364774,14523.069609936827,False,19,13.120747276583861,29046.139219873654
19,2020-02-10,0,285.31579500364774,14523.069609936827,False,20,13.505567604966886,29046.139219873654
20,2020-02-11,0,285.31579500364774,14523.069609936827,False,21,13.901668981200825,29046.139219873654
21,2020-02-12,0,285.31579500364774,14523.069609936827,False,22,14.309381788734525,29046.139219873654
22,2020-02-13,0,285.31579500364774,14523.069609936827,False,23,14.729046067679914,29046.139219873654
23,2020-02-14,0,285.31579500364774,14523.069609936827,False,24,15.161011795923773,29046.139219873654
24,2020-02-15,0,285.31579500364774,14523.069609936827,False,25,15.60563917835497,29046.139219873654
25,2020-02-16,0,285.31579500364774,14523.069609936827,False,26,16.063298944437403,29046.139219873654
26,2020-02-17,0,285.31579500364774,14523.069609936827,False,27,16.534372654365132,29046.139219873654
27,2020-02-18,0,285.31579500364774,14523.069609936827,False,28,17.019253014042746,29046.139219873654
28,2020-02-19,0,285.31579500364774,14523.069609936827,False,29,17.518344199140426,29046.139219873654
29,2020-02-20,0,285.31579500364774,14523.069609936827,False,30,18.032062188480165,29046.139219873654
30,2020-02-21,0,285.31579500364774,14523.069609936827,False,31,18.5608351070163,29046.139219873654
31,2020-02-22,0,285.31579500364774,14523.069609936827,False,32,19.105103578680843,29046.139219873654
32,2020-02-23,0,285.31579500364774,14523.069609936827,False,33,19.665321089371176,29046.139219873654
33,2020-02-24,0,285.31579500364774,14523.069609936827,False,34,20.24195436036526,29046.139219873654
34,2020-02-25,0,285.31579500364774,14523.069609936827,False,35,20.835483732457064,29046.139219873654
35,2020-02-26,0,285.31579500364774,14523.069609936827,False,36,21.446403561112735,29046.139219873654
36,2020-02-27,0,285.31579500364774,14523.069609936827,False,37,22.0752226229561,29046.139219873654
37,2020-02-28,0,285.31579500364774,14523.069609936827,False,38,22.722464533900073,29046.139219873654
38,2020-02-29,0,285.31579500364774,14523.069609936827,False,39,23.388668179249162,29046.139219873654
39,2020-03-01,0,285.31579500364774,14523.069609936827,False,40,24.07438815610661,29046.139219873654
40,2020-03-02,0,285.31579500364774,14523.069609936827,False,41,24.78019522842859,29046.139219873654
41,2020-03-03,0,285.31579500364774,14523.069609936827,False,42,25.506676795076658,29046.139219873654
42,2020-03-04,0,285.31579500364774,14523.069609936827,False,43,26.254437371229074,29046.139219873654
43,2020-03-05,0,285.31579500364774,14523.069609936827,False,44,27.024099083520678,29046.139219873654
