,Report_Date,Lao People's Democratic Republic_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,154.44155887511442,17.270026499018517,True,1,4.398351055129713,31.60800352863686
1,2020-01-23,0,154.44155887511442,17.270026499018517,True,2,4.446721412251385,31.60800352863686
2,2020-01-24,0,154.44155887511442,17.270026499018517,True,3,4.495544378422657,31.60800352863686
3,2020-01-25,0,154.44155887511442,17.270026499018517,True,4,4.5448224412997895,31.60800352863686
4,2020-01-26,0,154.44155887511442,17.270026499018517,True,5,4.594558062861671,31.60800352863686
5,2020-01-27,0,154.44155887511442,17.270026499018517,True,6,4.644753678361032,31.60800352863686
6,2020-01-28,0,154.44155887511442,17.270026499018517,True,7,4.695411695262568,31.60800352863686
7,2020-01-29,0,154.44155887511442,17.270026499018517,True,8,4.746534492168186,31.60800352863686
8,2020-01-30,0,154.44155887511442,17.270026499018517,True,9,4.798124417729578,31.60800352863686
9,2020-01-31,0,154.44155887511442,17.270026499018517,True,10,4.850183789548375,31.60800352863686
10,2020-02-01,0,154.44155887511442,17.270026499018517,True,11,4.902714893064111,31.60800352863686
11,2020-02-02,0,154.44155887511442,17.270026499018517,True,12,4.955719980430274,31.60800352863686
12,2020-02-03,0,154.44155887511442,17.270026499018517,True,13,5.009201269378704,31.60800352863686
13,2020-02-04,0,154.44155887511442,17.270026499018517,True,14,5.063160942072658,31.60800352863686
14,2020-02-05,0,154.44155887511442,17.270026499018517,True,15,5.117601143948821,31.60800352863686
15,2020-02-06,0,154.44155887511442,17.270026499018517,True,16,5.172523982548624,31.60800352863686
16,2020-02-07,0,154.44155887511442,17.270026499018517,True,17,5.227931526339176,31.60800352863686
17,2020-02-08,0,154.44155887511442,17.270026499018517,True,18,5.283825803524196,31.60800352863686
18,2020-02-09,0,154.44155887511442,17.270026499018517,True,19,5.340208800845316,31.60800352863686
19,2020-02-10,0,154.44155887511442,17.270026499018517,True,20,5.397082462374127,31.60800352863686
20,2020-02-11,0,154.44155887511442,17.270026499018517,True,21,5.454448688295413,31.60800352863686
21,2020-02-12,0,154.44155887511442,17.270026499018517,True,22,5.512309333681973,31.60800352863686
22,2020-02-13,0,154.44155887511442,17.270026499018517,True,23,5.5706662072614845,31.60800352863686
23,2020-02-14,0,154.44155887511442,17.270026499018517,True,24,5.629521070175881,31.60800352863686
24,2020-02-15,0,154.44155887511442,17.270026499018517,True,25,5.688875634733703,31.60800352863686
25,2020-02-16,0,154.44155887511442,17.270026499018517,True,26,5.7487315631559435,31.60800352863686
26,2020-02-17,0,154.44155887511442,17.270026499018517,True,27,5.809090466315886,31.60800352863686
27,2020-02-18,0,154.44155887511442,17.270026499018517,True,28,5.869953902473479,31.60800352863686
