,Report_Date,China_tianjin_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,4,16.717909330332137,75.66575128545854,True,1,12.629856166559897,151.32937485330905
1,2020-01-23,4,16.717909330332137,75.66575128545854,True,2,14.51041563001846,151.32937485330905
2,2020-01-24,8,16.717909330332137,75.66575128545854,True,3,16.637398863869393,151.32937485330905
3,2020-01-25,10,16.717909330332137,75.66575128545854,True,4,19.032791288215996,151.32937485330905
4,2020-01-26,14,16.717909330332137,75.66575128545854,True,5,21.71745678692276,151.32937485330905
5,2020-01-27,23,16.717909330332137,75.66575128545854,True,6,24.71007827413726,151.32937485330905
6,2020-01-28,24,16.717909330332137,75.66575128545854,True,7,28.025910317267012,151.32937485330905
7,2020-01-29,27,16.717909330332137,75.66575128545854,True,8,31.67538426279619,151.32937485330905
8,2020-01-30,31,16.717909330332137,75.66575128545854,True,9,35.662639067829744,151.32937485330905
9,2020-01-31,32,16.717909330332137,75.66575128545854,True,10,39.984086658129776,151.32937485330905
10,2020-02-01,41,16.717909330332137,75.66575128545854,True,11,44.62715344363248,151.32937485330905
11,2020-02-02,48,16.717909330332137,75.66575128545854,True,12,49.56936179542044,151.32937485330905
12,2020-02-03,60,16.717909330332137,75.66575128545854,True,13,54.777918041617795,151.32937485330905
13,2020-02-04,67,16.717909330332137,75.66575128545854,True,14,60.20994936070533,151.32937485330905
14,2020-02-05,69,16.717909330332137,75.66575128545854,True,15,65.8134774648089,151.32937485330905
15,2020-02-06,79,16.717909330332137,75.66575128545854,True,16,71.52913555370232,151.32937485330905
16,2020-02-07,81,16.717909330332137,75.66575128545854,True,17,77.29253795129408,151.32937485330905
17,2020-02-08,88,16.717909330332137,75.66575128545854,True,18,83.03711687230224,151.32937485330905
18,2020-02-09,91,16.717909330332137,75.66575128545854,True,19,88.69716805657107,151.32937485330905
19,2020-02-10,95,16.717909330332137,75.66575128545854,True,20,94.2108133370165,151.32937485330905
20,2020-02-11,106,16.717909330332137,75.66575128545854,True,21,99.52260168080346,151.32937485330905
21,2020-02-12,112,16.717909330332137,75.66575128545854,True,22,104.585527594757,151.32937485330905
22,2020-02-13,119,16.717909330332137,75.66575128545854,True,23,109.36233346948664,151.32937485330905
23,2020-02-14,120,16.717909330332137,75.66575128545854,True,24,113.82606103349967,151.32937485330905
24,2020-02-15,122,16.717909330332137,75.66575128545854,True,25,117.9599071559108,151.32937485330905
25,2020-02-16,124,16.717909330332137,75.66575128545854,True,26,121.75650633550262,151.32937485330905
26,2020-02-17,125,16.717909330332137,75.66575128545854,True,27,125.21679953411916,151.32937485330905
27,2020-02-18,128,16.717909330332137,75.66575128545854,True,28,128.3486572477362,151.32937485330905
28,2020-02-19,130,16.717909330332137,75.66575128545854,True,29,131.16540993252133,151.32937485330905
29,2020-02-20,131,16.717909330332137,75.66575128545854,True,30,133.68440967062247,151.32937485330905
30,2020-02-21,132,16.717909330332137,75.66575128545854,True,31,135.9257117265193,151.32937485330905
31,2020-02-22,135,16.717909330332137,75.66575128545854,True,32,137.91093010309626,151.32937485330905
32,2020-02-23,135,16.717909330332137,75.66575128545854,True,33,139.66229163832395,151.32937485330905
33,2020-02-24,135,16.717909330332137,75.66575128545854,True,34,141.20189057913603,151.32937485330905
34,2020-02-25,135,16.717909330332137,75.66575128545854,True,35,142.55113017220387,151.32937485330905
35,2020-02-26,135,16.717909330332137,75.66575128545854,True,36,143.73032877708434,151.32937485330905
36,2020-02-27,136,16.717909330332137,75.66575128545854,True,37,144.75846398224698,151.32937485330905
37,2020-02-28,136,16.717909330332137,75.66575128545854,True,38,145.6530277428807,151.32937485330905
38,2020-02-29,136,16.717909330332137,75.66575128545854,True,39,146.42996736919252,151.32937485330905
39,2020-03-01,136,16.717909330332137,75.66575128545854,True,40,147.10369024750995,151.32937485330905
40,2020-03-02,136,16.717909330332137,75.66575128545854,True,41,147.68711372996404,151.32937485330905
41,2020-03-03,136,16.717909330332137,75.66575128545854,True,42,148.19174519055537,151.32937485330905
42,2020-03-04,136,16.717909330332137,75.66575128545854,True,43,148.6277805251973,151.32937485330905
43,2020-03-05,136,16.717909330332137,75.66575128545854,True,44,149.0042122258431,151.32937485330905
44,2020-03-06,136,16.717909330332137,75.66575128545854,True,45,149.32894053672484,151.32937485330905
45,2020-03-07,136,16.717909330332137,75.66575128545854,True,46,149.60888311677178,151.32937485330905
46,2020-03-08,136,16.717909330332137,75.66575128545854,True,47,149.85008013183602,151.32937485330905
47,2020-03-09,136,16.717909330332137,75.66575128545854,True,48,150.0577928431433,151.32937485330905
48,2020-03-10,136,16.717909330332137,75.66575128545854,True,49,150.23659460687654,151.32937485330905
49,2020-03-11,136,16.717909330332137,75.66575128545854,True,50,150.39045381268963,151.32937485330905
50,2020-03-12,136,16.717909330332137,75.66575128545854,True,51,150.52280871789557,151.32937485330905
51,2020-03-13,136,16.717909330332137,75.66575128545854,True,52,150.63663442260818,151.32937485330905
52,2020-03-14,136,16.717909330332137,75.66575128545854,True,53,150.7345024146996,151.32937485330905
53,2020-03-15,136,16.717909330332137,75.66575128545854,True,54,150.81863322025256,151.32937485330905
54,2020-03-16,136,16.717909330332137,75.66575128545854,True,55,150.8909427471326,151.32937485330905
55,2020-03-17,136,16.717909330332137,75.66575128545854,True,56,150.9530829230864,151.32937485330905
56,2020-03-18,136,16.717909330332137,75.66575128545854,True,57,151.00647721791233,151.32937485330905
57,2020-03-19,137,16.717909330332137,75.66575128545854,True,58,151.05235161096434,151.32937485330905
58,2020-03-20,137,16.717909330332137,75.66575128545854,True,59,151.0917615272184,151.32937485330905
59,2020-03-21,137,16.717909330332137,75.66575128545854,True,60,151.12561522207608,151.32937485330905
60,2020-03-22,137,16.717909330332137,75.66575128545854,True,61,151.15469405028395,151.32937485330905
61,2020-03-23,141,16.717909330332137,75.66575128545854,True,62,151.1796700100011,151.32937485330905
62,2020-03-24,145,16.717909330332137,75.66575128545854,True,63,151.20112091056959,151.32937485330905
63,2020-03-25,145,16.717909330332137,75.66575128545854,True,64,151.21954347277773,151.32937485330905
64,2020-03-26,151,16.717909330332137,75.66575128545854,True,65,151.2353646338136,151.32937485330905
65,2020-03-27,155,16.717909330332137,75.66575128545854,True,66,151.24895129585786,151.32937485330905
66,2020-03-28,161,16.717909330332137,75.66575128545854,True,67,151.26061872736236,151.32937485330905
67,2020-03-29,166,16.717909330332137,75.66575128545854,True,68,151.27063779937694,151.32937485330905
68,2020-03-30,174,16.717909330332137,75.66575128545854,True,69,151.27924121562927,151.32937485330905
69,2020-03-31,174,16.717909330332137,75.66575128545854,True,70,151.28662887419398,151.32937485330905
70,2020-04-01,176,16.717909330332137,75.66575128545854,True,71,151.2929724802625,151.32937485330905
71,2020-04-02,176,16.717909330332137,75.66575128545854,True,72,151.29841951348334,151.32937485330905
72,2020-04-03,180,16.717909330332137,75.66575128545854,True,73,151.3030966393487,151.32937485330905
73,2020-04-04,180,16.717909330332137,75.66575128545854,True,74,151.30711264191905,151.32937485330905
74,2020-04-05,180,16.717909330332137,75.66575128545854,True,75,151.31056094459493,151.32937485330905
75,2020-04-06,180,16.717909330332137,75.66575128545854,True,76,151.31352177646727,151.32937485330905
76,2020-04-07,180,16.717909330332137,75.66575128545854,True,77,151.31606403383284,151.32937485330905
77,2020-04-08,180,16.717909330332137,75.66575128545854,True,78,151.31824687958627,151.32937485330905
78,2020-04-09,182,16.717909330332137,75.66575128545854,True,79,151.32012111726598,151.32937485330905
79,2020-04-10,183,16.717909330332137,75.66575128545854,True,80,151.32173037140493,151.32937485330905
