,Report_Date,Seychelles_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,60.23072227095856,5.516566992049925,True,1,0.00013356963762999066,11.023362846767972
1,2020-01-23,0,60.23072227095856,5.516566992049925,True,2,0.00016170399648242893,11.023362846767972
2,2020-01-24,0,60.23072227095856,5.516566992049925,True,3,0.00019576431363897597,11.023362846767972
3,2020-01-25,0,60.23072227095856,5.516566992049925,True,4,0.00023699872859074008,11.023362846767972
4,2020-01-26,0,60.23072227095856,5.516566992049925,True,5,0.00028691824415188647,11.023362846767972
5,2020-01-27,0,60.23072227095856,5.516566992049925,True,6,0.0003473520759441733,11.023362846767972
6,2020-01-28,0,60.23072227095856,5.516566992049925,True,7,0.0004205146515332394,11.023362846767972
7,2020-01-29,0,60.23072227095856,5.516566992049925,True,8,0.0005090867088688959,11.023362846767972
8,2020-01-30,0,60.23072227095856,5.516566992049925,True,9,0.0006163134577148243,11.023362846767972
9,2020-01-31,0,60.23072227095856,5.516566992049925,True,10,0.0007461233891509074,11.023362846767972
10,2020-02-01,0,60.23072227095856,5.516566992049925,True,11,0.0009032720691856872,11.023362846767972
11,2020-02-02,0,60.23072227095856,5.516566992049925,True,12,0.0010935161596965436,11.023362846767972
12,2020-02-03,0,60.23072227095856,5.516566992049925,True,13,0.0013238240053200208,11.023362846767972
13,2020-02-04,0,60.23072227095856,5.516566992049925,True,14,0.0016026304468614934,11.023362846767972
14,2020-02-05,0,60.23072227095856,5.516566992049925,True,15,0.00194014511605304,11.023362846767972
15,2020-02-06,0,60.23072227095856,5.516566992049925,True,16,0.0023487253875694855,11.023362846767972
16,2020-02-07,0,60.23072227095856,5.516566992049925,True,17,0.00284332747678389,11.023362846767972
17,2020-02-08,0,60.23072227095856,5.516566992049925,True,18,0.0034420519521634594,11.023362846767972
18,2020-02-09,0,60.23072227095856,5.516566992049925,True,19,0.0041668032690935055,11.023362846767972
19,2020-02-10,0,60.23072227095856,5.516566992049925,True,20,0.005044086931642247,11.023362846767972
20,2020-02-11,0,60.23072227095856,5.516566992049925,True,21,0.006105972670680526,11.023362846767972
21,2020-02-12,0,60.23072227095856,5.516566992049925,True,22,0.0073912577277575895,11.023362846767972
22,2020-02-13,0,60.23072227095856,5.516566992049925,True,23,0.008946871107173434,11.023362846767972
23,2020-02-14,0,60.23072227095856,5.516566992049925,True,24,0.01082956767037632,11.023362846767972
24,2020-02-15,0,60.23072227095856,5.516566992049925,True,25,0.013107970371842354,11.023362846767972
25,2020-02-16,0,60.23072227095856,5.516566992049925,True,26,0.015865029946329125,11.023362846767972
26,2020-02-17,0,60.23072227095856,5.516566992049925,True,27,0.019200984105954114,11.023362846767972
27,2020-02-18,0,60.23072227095856,5.516566992049925,True,28,0.023236912894577445,11.023362846767972
28,2020-02-19,0,60.23072227095856,5.516566992049925,True,29,0.028119003283700324,11.023362846767972
29,2020-02-20,0,60.23072227095856,5.516566992049925,True,30,0.03402365422000348,11.023362846767972
30,2020-02-21,0,60.23072227095856,5.516566992049925,True,31,0.041163572720145765,11.023362846767972
31,2020-02-22,0,60.23072227095856,5.516566992049925,True,32,0.04979503139810658,11.023362846767972
