,Report_Date,Sierra Leone_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,97.90293829003846,23.333856515062198,False,1,0.014828119652277738,0.2169292709796776
1,2020-01-23,0,97.90293829003846,23.333856515062198,False,2,0.016112760706201153,0.2169292709796776
2,2020-01-24,0,97.90293829003846,23.333856515062198,False,3,0.017508655467514574,0.2169292709796776
3,2020-01-25,0,97.90293829003846,23.333856515062198,False,4,0.019025431285456095,0.2169292709796776
4,2020-01-26,0,97.90293829003846,23.333856515062198,False,5,0.02067354724806047,0.2169292709796776
5,2020-01-27,0,97.90293829003846,23.333856515062198,False,6,0.022464365792153263,0.2169292709796776
6,2020-01-28,0,97.90293829003846,23.333856515062198,False,7,0.02441023043411304,0.2169292709796776
7,2020-01-29,0,97.90293829003846,23.333856515062198,False,8,0.02652455013648181,0.2169292709796776
8,2020-01-30,0,97.90293829003846,23.333856515062198,False,9,0.02882189086737806,0.2169292709796776
9,2020-01-31,0,97.90293829003846,23.333856515062198,False,10,0.03131807495467388,0.2169292709796776
10,2020-02-01,0,97.90293829003846,23.333856515062198,False,11,0.03403028888522126,0.2169292709796776
11,2020-02-02,0,97.90293829003846,23.333856515062198,False,12,0.03697720025123595,0.2169292709796776
12,2020-02-03,0,97.90293829003846,23.333856515062198,False,13,0.04017908460145093,0.2169292709796776
13,2020-02-04,0,97.90293829003846,23.333856515062198,False,14,0.043657963014011085,0.2169292709796776
14,2020-02-05,0,97.90293829003846,23.333856515062198,False,15,0.04743775127145981,0.2169292709796776
15,2020-02-06,0,97.90293829003846,23.333856515062198,False,16,0.0515444215857177,0.2169292709796776
16,2020-02-07,0,97.90293829003846,23.333856515062198,False,17,0.056006177892799464,0.2169292709796776
17,2020-02-08,0,97.90293829003846,23.333856515062198,False,18,0.06085364581325675,0.2169292709796776
18,2020-02-09,0,97.90293829003846,23.333856515062198,False,19,0.06612007845502843,0.2169292709796776
19,2020-02-10,0,97.90293829003846,23.333856515062198,False,20,0.07184157932053657,0.2169292709796776
20,2020-02-11,0,97.90293829003846,23.333856515062198,False,21,0.07805734366942586,0.2169292709796776
21,2020-02-12,0,97.90293829003846,23.333856515062198,False,22,0.08480991978217207,0.2169292709796776
22,2020-02-13,0,97.90293829003846,23.333856515062198,False,23,0.09214549166764044,0.2169292709796776
23,2020-02-14,0,97.90293829003846,23.333856515062198,False,24,0.10011418485919645,0.2169292709796776
24,2020-02-15,0,97.90293829003846,23.333856515062198,False,25,0.10877039704864538,0.2169292709796776
