,Report_Date,Comoros_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,143.96168989144778,181.80313274400655,True,1,0.003938747276949055,342.8038419104276
1,2020-01-23,0,143.96168989144778,181.80313274400655,True,2,0.004266671299735371,342.8038419104276
2,2020-01-24,0,143.96168989144778,181.80313274400655,True,3,0.004621896591237074,342.8038419104276
3,2020-01-25,0,143.96168989144778,181.80313274400655,True,4,0.005006696054575886,342.8038419104276
4,2020-01-26,0,143.96168989144778,181.80313274400655,True,5,0.005423531807654468,342.8038419104276
5,2020-01-27,0,143.96168989144778,181.80313274400655,True,6,0.005875070933109607,342.8038419104276
6,2020-01-28,0,143.96168989144778,181.80313274400655,True,7,0.0063642025389536875,342.8038419104276
7,2020-01-29,0,143.96168989144778,181.80313274400655,True,8,0.006894056238923576,342.8038419104276
8,2020-01-30,0,143.96168989144778,181.80313274400655,True,9,0.007468022170614444,342.8038419104276
9,2020-01-31,0,143.96168989144778,181.80313274400655,True,10,0.008089772679285538,342.8038419104276
10,2020-02-01,0,143.96168989144778,181.80313274400655,True,11,0.00876328580584734,342.8038419104276
11,2020-02-02,0,143.96168989144778,181.80313274400655,True,12,0.009492870729042136,342.8038419104276
12,2020-02-03,0,143.96168989144778,181.80313274400655,True,13,0.010283195324285049,342.8038419104276
13,2020-02-04,0,143.96168989144778,181.80313274400655,True,14,0.011139316015118755,342.8038419104276
14,2020-02-05,0,143.96168989144778,181.80313274400655,True,15,0.012066710107837005,342.8038419104276
15,2020-02-06,0,143.96168989144778,181.80313274400655,True,16,0.01307131081564143,342.8038419104276
16,2020-02-07,0,143.96168989144778,181.80313274400655,True,17,0.014159545195812225,342.8038419104276
17,2020-02-08,0,143.96168989144778,181.80313274400655,True,18,0.01533837524190288,342.8038419104276
18,2020-02-09,0,143.96168989144778,181.80313274400655,True,19,0.0166153423930284,342.8038419104276
19,2020-02-10,0,143.96168989144778,181.80313274400655,True,20,0.017998615744030135,342.8038419104276
20,2020-02-11,0,143.96168989144778,181.80313274400655,True,21,0.01949704426380345,342.8038419104276
21,2020-02-12,0,143.96168989144778,181.80313274400655,True,22,0.02112021335451305,342.8038419104276
22,2020-02-13,0,143.96168989144778,181.80313274400655,True,23,0.02287850611195226,342.8038419104276
23,2020-02-14,0,143.96168989144778,181.80313274400655,True,24,0.02478316967709634,342.8038419104276
24,2020-02-15,0,143.96168989144778,181.80313274400655,True,25,0.026846387101140134,342.8038419104276
25,2020-02-16,0,143.96168989144778,181.80313274400655,True,26,0.029081355181193626,342.8038419104276
26,2020-02-17,0,143.96168989144778,181.80313274400655,True,27,0.031502368761549326,342.8038419104276
27,2020-02-18,0,143.96168989144778,181.80313274400655,True,28,0.03412491203626181,342.8038419104276
28,2020-02-19,0,143.96168989144778,181.80313274400655,True,29,0.03696575743293965,342.8038419104276
29,2020-02-20,0,143.96168989144778,181.80313274400655,True,30,0.04004307270540928,342.8038419104276
30,2020-02-21,0,143.96168989144778,181.80313274400655,True,31,0.04337653691455664,342.8038419104276
31,2020-02-22,0,143.96168989144778,181.80313274400655,True,32,0.046987466032491675,342.8038419104276
32,2020-02-23,0,143.96168989144778,181.80313274400655,True,33,0.050898948965545136,342.8038419104276
33,2020-02-24,0,143.96168989144778,181.80313274400655,True,34,0.05513599485685253,342.8038419104276
34,2020-02-25,0,143.96168989144778,181.80313274400655,True,35,0.059725692599785475,342.8038419104276
35,2020-02-26,0,143.96168989144778,181.80313274400655,True,36,0.06469738356966621,342.8038419104276
36,2020-02-27,0,143.96168989144778,181.80313274400655,True,37,0.07008284866348473,342.8038419104276
37,2020-02-28,0,143.96168989144778,181.80313274400655,True,38,0.07591651082619513,342.8038419104276
38,2020-02-29,0,143.96168989144778,181.80313274400655,True,39,0.08223565433810084,342.8038419104276
39,2020-03-01,0,143.96168989144778,181.80313274400655,True,40,0.08908066224137938,342.8038419104276
40,2020-03-02,0,143.96168989144778,181.80313274400655,True,41,0.09649527339551454,342.8038419104276
41,2020-03-03,0,143.96168989144778,181.80313274400655,True,42,0.10452686077190089,342.8038419104276
42,2020-03-04,0,143.96168989144778,181.80313274400655,True,43,0.11322673272780392,342.8038419104276
43,2020-03-05,0,143.96168989144778,181.80313274400655,True,44,0.12265045913987924,342.8038419104276
44,2020-03-06,0,143.96168989144778,181.80313274400655,True,45,0.13285822442829115,342.8038419104276
45,2020-03-07,0,143.96168989144778,181.80313274400655,True,46,0.1439152096648817,342.8038419104276
46,2020-03-08,0,143.96168989144778,181.80313274400655,True,47,0.15589200613362317,342.8038419104276
47,2020-03-09,0,143.96168989144778,181.80313274400655,True,48,0.16886506289956665,342.8038419104276
