,Report_Date,Finland_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,75.55766563746354,2125.338518454657,True,1,0.2962135072940984,3995.912605239065
1,2020-01-23,0,75.55766563746354,2125.338518454657,True,2,0.3367858524616709,3995.912605239065
2,2020-01-24,0,75.55766563746354,2125.338518454657,True,3,0.38291488850961,3995.912605239065
3,2020-01-25,0,75.55766563746354,2125.338518454657,True,4,0.43536149993080875,3995.912605239065
4,2020-01-26,0,75.55766563746354,2125.338518454657,True,5,0.4949907171758983,3995.912605239065
5,2020-01-27,0,75.55766563746354,2125.338518454657,True,6,0.562785959063678,3995.912605239065
6,2020-01-28,0,75.55766563746354,2125.338518454657,True,7,0.6398652192283526,3995.912605239065
7,2020-01-29,1,75.55766563746354,2125.338518454657,True,8,0.7274994608814571,3995.912605239065
8,2020-01-30,1,75.55766563746354,2125.338518454657,True,9,0.8271335197775898,3995.912605239065
9,2020-01-31,1,75.55766563746354,2125.338518454657,True,10,0.9404098555901595,3995.912605239065
10,2020-02-01,1,75.55766563746354,2125.338518454657,True,11,1.069195537520686,3995.912605239065
11,2020-02-02,1,75.55766563746354,2125.338518454657,True,12,1.2156129015439812,3995.912605239065
12,2020-02-03,1,75.55766563746354,2125.338518454657,True,13,1.3820743749647744,3995.912605239065
13,2020-02-04,1,75.55766563746354,2125.338518454657,True,14,1.5713220297380617,3995.912605239065
14,2020-02-05,1,75.55766563746354,2125.338518454657,True,15,1.7864725001742925,3995.912605239065
15,2020-02-06,1,75.55766563746354,2125.338518454657,True,16,2.0310679841814645,3995.912605239065
16,2020-02-07,1,75.55766563746354,2125.338518454657,True,17,2.309134141140251,3995.912605239065
17,2020-02-08,1,75.55766563746354,2125.338518454657,True,18,2.6252458049935328,3995.912605239065
18,2020-02-09,1,75.55766563746354,2125.338518454657,True,19,2.9846015493548883,3995.912605239065
19,2020-02-10,1,75.55766563746354,2125.338518454657,True,20,3.3931082736519134,3995.912605239065
20,2020-02-11,1,75.55766563746354,2125.338518454657,True,21,3.8574771267992842,3995.912605239065
21,2020-02-12,1,75.55766563746354,2125.338518454657,True,22,4.385332248916249,3995.912605239065
22,2020-02-13,1,75.55766563746354,2125.338518454657,True,23,4.985333993377873,3995.912605239065
