,Report_Date,Netherlands_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,73.68438744423806,16450.186706193443,True,1,0.6599206810453809,31753.538761266416
1,2020-01-23,0,73.68438744423806,16450.186706193443,True,2,0.765811409768298,31753.538761266416
2,2020-01-24,0,73.68438744423806,16450.186706193443,True,3,0.8886928827853878,31753.538761266416
3,2020-01-25,0,73.68438744423806,16450.186706193443,True,4,1.0312911984727828,31753.538761266416
4,2020-01-26,0,73.68438744423806,16450.186706193443,True,5,1.196769791857672,31753.538761266416
5,2020-01-27,0,73.68438744423806,16450.186706193443,True,6,1.388799575602084,31753.538761266416
6,2020-01-28,0,73.68438744423806,16450.186706193443,True,7,1.6116403237185553,31753.538761266416
7,2020-01-29,0,73.68438744423806,16450.186706193443,True,8,1.8702350977903435,31753.538761266416
8,2020-01-30,0,73.68438744423806,16450.186706193443,True,9,2.1703198027851296,31753.538761266416
9,2020-01-31,0,73.68438744423806,16450.186706193443,True,10,2.518550292458087,31753.538761266416
10,2020-02-01,0,73.68438744423806,16450.186706193443,True,11,2.9226498299756076,31753.538761266416
11,2020-02-02,0,73.68438744423806,16450.186706193443,True,12,3.3915801559768077,31753.538761266416
12,2020-02-03,0,73.68438744423806,16450.186706193443,True,13,3.9357399332846144,31753.538761266416
13,2020-02-04,0,73.68438744423806,16450.186706193443,True,14,4.567194935746682,31753.538761266416
14,2020-02-05,0,73.68438744423806,16450.186706193443,True,15,5.2999450406873585,31753.538761266416
15,2020-02-06,0,73.68438744423806,16450.186706193443,True,16,6.1502338844420334,31753.538761266416
16,2020-02-07,0,73.68438744423806,16450.186706193443,True,17,7.136907964698083,31753.538761266416
17,2020-02-08,0,73.68438744423806,16450.186706193443,True,18,8.281833040403813,31753.538761266416
18,2020-02-09,0,73.68438744423806,16450.186706193443,True,19,9.610376910832628,31753.538761266416
19,2020-02-10,0,73.68438744423806,16450.186706193443,True,20,11.151969073722919,31753.538761266416
20,2020-02-11,0,73.68438744423806,16450.186706193443,True,21,12.940749394897763,31753.538761266416
21,2020-02-12,0,73.68438744423806,16450.186706193443,True,22,15.016319798137523,31753.538761266416
22,2020-02-13,0,73.68438744423806,16450.186706193443,True,23,17.424615137253056,31753.538761266416
23,2020-02-14,0,73.68438744423806,16450.186706193443,True,24,20.21891187836143,31753.538761266416
24,2020-02-15,0,73.68438744423806,16450.186706193443,True,25,23.460996038315297,31753.538761266416
25,2020-02-16,0,73.68438744423806,16450.186706193443,True,26,27.222515036542262,31753.538761266416
26,2020-02-17,0,73.68438744423806,16450.186706193443,True,27,31.58654176522852,31753.538761266416
27,2020-02-18,0,73.68438744423806,16450.186706193443,True,28,36.64938330994486,31753.538761266416
28,2020-02-19,0,73.68438744423806,16450.186706193443,True,29,42.522671400416044,31753.538761266416
29,2020-02-20,0,73.68438744423806,16450.186706193443,True,30,49.33577687461929,31753.538761266416
30,2020-02-21,0,73.68438744423806,16450.186706193443,True,31,57.23859622384112,31753.538761266416
31,2020-02-22,0,73.68438744423806,16450.186706193443,True,32,66.40476465954384,31753.538761266416
32,2020-02-23,0,73.68438744423806,16450.186706193443,True,33,77.03535708583692,31753.538761266416
33,2020-02-24,0,73.68438744423806,16450.186706193443,True,34,89.36314581482891,31753.538761266416
34,2020-02-25,0,73.68438744423806,16450.186706193443,True,35,103.65749170880395,31753.538761266416
35,2020-02-26,0,73.68438744423806,16450.186706193443,True,36,120.22995347325443,31753.538761266416
36,2020-02-27,1,73.68438744423806,16450.186706193443,True,37,139.4407077438342,31753.538761266416
37,2020-02-28,1,73.68438744423806,16450.186706193443,True,38,161.70587993664557,31753.538761266416
38,2020-02-29,6,73.68438744423806,16450.186706193443,True,39,187.50589188099482,31753.538761266416
39,2020-03-01,10,73.68438744423806,16450.186706193443,True,40,217.39493605992917,31753.538761266416
40,2020-03-02,18,73.68438744423806,16450.186706193443,True,41,252.01168650755628,31753.538761266416
41,2020-03-03,24,73.68438744423806,16450.186706193443,True,42,292.0913512323403,31753.538761266416
42,2020-03-04,38,73.68438744423806,16450.186706193443,True,43,338.4791580166929,31753.538761266416
43,2020-03-05,82,73.68438744423806,16450.186706193443,True,44,392.14534138078676,31753.538761266416
44,2020-03-06,128,73.68438744423806,16450.186706193443,True,45,454.2016592483644,31753.538761266416
45,2020-03-07,188,73.68438744423806,16450.186706193443,True,46,525.9194081547319,31753.538761266416
46,2020-03-08,265,73.68438744423806,16450.186706193443,True,47,608.7488191610189,31753.538761266416
47,2020-03-09,321,73.68438744423806,16450.186706193443,True,48,704.3395950866828,31753.538761266416
48,2020-03-10,382,73.68438744423806,16450.186706193443,True,49,814.5621840142745,31753.538761266416
49,2020-03-11,503,73.68438744423806,16450.186706193443,True,50,941.5291639615001,31753.538761266416
50,2020-03-12,503,73.68438744423806,16450.186706193443,True,51,1087.6158284457897,31753.538761266416
51,2020-03-13,804,73.68438744423806,16450.186706193443,True,52,1255.4787025036583,31753.538761266416
52,2020-03-14,959,73.68438744423806,16450.186706193443,True,53,1448.0702766153934,31753.538761266416
53,2020-03-15,1135,73.68438744423806,16450.186706193443,True,54,1668.6477211621493,31753.538761266416
54,2020-03-16,1413,73.68438744423806,16450.186706193443,True,55,1920.772746679005,31753.538761266416
55,2020-03-17,1705,73.68438744423806,16450.186706193443,True,56,2208.2991327938034,31753.538761266416
56,2020-03-18,2051,73.68438744423806,16450.186706193443,True,57,2535.3438142774353,31753.538761266416
57,2020-03-19,2460,73.68438744423806,16450.186706193443,True,58,2906.2368733899416,31753.538761266416
58,2020-03-20,2994,73.68438744423806,16450.186706193443,True,59,3325.4454737833094,31753.538761266416
59,2020-03-21,3631,73.68438744423806,16450.186706193443,True,60,3797.466860292996,31753.538761266416
60,2020-03-22,4204,73.68438744423806,16450.186706193443,True,61,4326.686262783086,31753.538761266416
61,2020-03-23,4749,73.68438744423806,16450.186706193443,True,62,4917.197128521782,31753.538761266416
62,2020-03-24,5560,73.68438744423806,16450.186706193443,True,63,5572.583800170945,31753.538761266416
63,2020-03-25,6412,73.68438744423806,16450.186706193443,True,64,6295.67070837482,31753.538761266416
64,2020-03-26,7431,73.68438744423806,16450.186706193443,True,65,7088.247337889576,31753.538761266416
65,2020-03-27,8603,73.68438744423806,16450.186706193443,True,66,7950.784350899559,31753.538761266416
66,2020-03-28,9762,73.68438744423806,16450.186706193443,True,67,8882.162631771207,31753.538761266416
