,Report_Date,Vanuatu_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,345.988165065861,1.4570119148122078,False,1,7.856981166489534e-05,0.00010808118934240516
1,2020-01-23,0,345.988165065861,1.4570119148122078,False,2,8.100278227863532e-05,0.00010808118934240516
2,2020-01-24,0,345.988165065861,1.4570119148122078,False,3,8.351108941461815e-05,0.00010808118934240516
3,2020-01-25,0,345.988165065861,1.4570119148122078,False,4,8.609706571968376e-05,0.00010808118934240516
4,2020-01-26,0,345.988165065861,1.4570119148122078,False,5,8.876311605794154e-05,0.00010808118934240516
5,2020-01-27,0,345.988165065861,1.4570119148122078,False,6,9.151171974603409e-05,0.00010808118934240516
6,2020-01-28,0,345.988165065861,1.4570119148122078,False,7,9.434543285755319e-05,0.00010808118934240516
7,2020-01-29,0,345.988165065861,1.4570119148122078,False,8,9.72668905987447e-05,0.00010808118934240516
8,2020-01-30,0,345.988165065861,1.4570119148122078,False,9,0.00010027880975770588,0.00010808118934240516
9,2020-01-31,0,345.988165065861,1.4570119148122078,False,10,0.00010338399122934608,0.00010808118934240516
10,2020-02-01,0,345.988165065861,1.4570119148122078,False,11,0.0001065853226184519,0.00010808118934240516
11,2020-02-02,0,345.988165065861,1.4570119148122078,False,12,0.00010988578092327022,0.00010808118934240516
12,2020-02-03,0,345.988165065861,1.4570119148122078,False,13,0.00011328843530209648,0.00010808118934240516
13,2020-02-04,0,345.988165065861,1.4570119148122078,False,14,0.00011679644992543316,0.00010808118934240516
14,2020-02-05,0,345.988165065861,1.4570119148122078,False,15,0.00012041308691636111,0.00010808118934240516
15,2020-02-06,0,345.988165065861,1.4570119148122078,False,16,0.0001241417093818493,0.00010808118934240516
16,2020-02-07,0,345.988165065861,1.4570119148122078,False,17,0.00012798578453781116,0.00010808118934240516
17,2020-02-08,0,345.988165065861,1.4570119148122078,False,18,0.00013194888693080338,0.00010808118934240516
18,2020-02-09,0,345.988165065861,1.4570119148122078,False,19,0.00013603470175935125,0.00010808118934240516
19,2020-02-10,0,345.988165065861,1.4570119148122078,False,20,0.00014024702829797716,0.00010808118934240516
20,2020-02-11,0,345.988165065861,1.4570119148122078,False,21,0.0001445897834271034,0.00010808118934240516
21,2020-02-12,0,345.988165065861,1.4570119148122078,False,22,0.00014906700527209793,0.00010808118934240516
22,2020-02-13,0,345.988165065861,1.4570119148122078,False,23,0.0001536828569548323,0.00010808118934240516
23,2020-02-14,0,345.988165065861,1.4570119148122078,False,24,0.00015844163046122516,0.00010808118934240516
24,2020-02-15,0,345.988165065861,1.4570119148122078,False,25,0.0001633477506283509,0.00010808118934240516
25,2020-02-16,0,345.988165065861,1.4570119148122078,False,26,0.00016840577925480348,0.00010808118934240516
26,2020-02-17,0,345.988165065861,1.4570119148122078,False,27,0.00017362041933811911,0.00010808118934240516
27,2020-02-18,0,345.988165065861,1.4570119148122078,False,28,0.00017899651944317774,0.00010808118934240516
28,2020-02-19,0,345.988165065861,1.4570119148122078,False,29,0.00018453907820562487,0.00010808118934240516
29,2020-02-20,0,345.988165065861,1.4570119148122078,False,30,0.0001902532489744786,0.00010808118934240516
30,2020-02-21,0,345.988165065861,1.4570119148122078,False,31,0.00019614434459821442,0.00010808118934240516
31,2020-02-22,0,345.988165065861,1.4570119148122078,False,32,0.0002022178423587538,0.00010808118934240516
32,2020-02-23,0,345.988165065861,1.4570119148122078,False,33,0.00020847938905791647,0.00010808118934240516
33,2020-02-24,0,345.988165065861,1.4570119148122078,False,34,0.00021493480626103785,0.00010808118934240516
34,2020-02-25,0,345.988165065861,1.4570119148122078,False,35,0.00022159009570259643,0.00010808118934240516
35,2020-02-26,0,345.988165065861,1.4570119148122078,False,36,0.00022845144485884517,0.00010808118934240516
36,2020-02-27,0,345.988165065861,1.4570119148122078,False,37,0.0002355252326925939,0.00010808118934240516
37,2020-02-28,0,345.988165065861,1.4570119148122078,False,38,0.0002428180355754479,0.00010808118934240516
38,2020-02-29,0,345.988165065861,1.4570119148122078,False,39,0.0002503366333929691,0.00010808118934240516
39,2020-03-01,0,345.988165065861,1.4570119148122078,False,40,0.00025808801583839663,0.00010808118934240516
40,2020-03-02,0,345.988165065861,1.4570119148122078,False,41,0.00026607938890073324,0.00010808118934240516
41,2020-03-03,0,345.988165065861,1.4570119148122078,False,42,0.0002743181815531834,0.00010808118934240516
