,Report_Date,India_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,170.88980288904082,784589.4149752933,False,1,272.87517947700235,1569178.8299505867
1,2020-01-23,0,170.88980288904082,784589.4149752933,False,2,287.13750264045575,1569178.8299505867
2,2020-01-24,0,170.88980288904082,784589.4149752933,False,3,302.14512879661896,1569178.8299505867
3,2020-01-25,0,170.88980288904082,784589.4149752933,False,4,317.93698967653364,1569178.8299505867
4,2020-01-26,0,170.88980288904082,784589.4149752933,False,5,334.5540490018509,1569178.8299505867
5,2020-01-27,0,170.88980288904082,784589.4149752933,False,6,352.0394083647421,1569178.8299505867
6,2020-01-28,0,170.88980288904082,784589.4149752933,False,7,370.4384186058312,1569178.8299505867
7,2020-01-29,0,170.88980288904082,784589.4149752933,False,8,389.7987969736009,1569178.8299505867
8,2020-01-30,1,170.88980288904082,784589.4149752933,False,9,410.17075036312,1569178.8299505867
9,2020-01-31,1,170.88980288904082,784589.4149752933,False,10,431.60710494704216,1569178.8299505867
10,2020-02-01,1,170.88980288904082,784589.4149752933,False,11,454.1634425276635,1569178.8299505867
11,2020-02-02,2,170.88980288904082,784589.4149752933,False,12,477.8982439554411,1569178.8299505867
12,2020-02-03,3,170.88980288904082,784589.4149752933,False,13,502.87303997679425,1569178.8299505867
13,2020-02-04,3,170.88980288904082,784589.4149752933,False,14,529.1525698922732,1569178.8299505867
14,2020-02-05,3,170.88980288904082,784589.4149752933,False,15,556.8049484253187,1569178.8299505867
15,2020-02-06,3,170.88980288904082,784589.4149752933,False,16,585.9018412219046,1569178.8299505867
16,2020-02-07,3,170.88980288904082,784589.4149752933,False,17,616.5186494223577,1569178.8299505867
17,2020-02-08,3,170.88980288904082,784589.4149752933,False,18,648.7347037686767,1569178.8299505867
18,2020-02-09,3,170.88980288904082,784589.4149752933,False,19,682.6334687337128,1569178.8299505867
19,2020-02-10,3,170.88980288904082,784589.4149752933,False,20,718.3027571827113,1569178.8299505867
20,2020-02-11,3,170.88980288904082,784589.4149752933,False,21,755.8349561029664,1569178.8299505867
21,2020-02-12,3,170.88980288904082,784589.4149752933,False,22,795.3272639637672,1569178.8299505867
22,2020-02-13,3,170.88980288904082,784589.4149752933,False,23,836.8819402964433,1569178.8299505867
23,2020-02-14,3,170.88980288904082,784589.4149752933,False,24,880.6065681132194,1569178.8299505867
24,2020-02-15,3,170.88980288904082,784589.4149752933,False,25,926.614329813777,1569178.8299505867
25,2020-02-16,3,170.88980288904082,784589.4149752933,False,26,975.0242972599823,1569178.8299505867
26,2020-02-17,3,170.88980288904082,784589.4149752933,False,27,1025.9617367321698,1569178.8299505867
27,2020-02-18,3,170.88980288904082,784589.4149752933,False,28,1079.558429514772,1569178.8299505867
28,2020-02-19,3,170.88980288904082,784589.4149752933,False,29,1135.953008894957,1569178.8299505867
29,2020-02-20,3,170.88980288904082,784589.4149752933,False,30,1195.2913143953522,1569178.8299505867
30,2020-02-21,3,170.88980288904082,784589.4149752933,False,31,1257.7267641009191,1569178.8299505867
31,2020-02-22,3,170.88980288904082,784589.4149752933,False,32,1323.4207459806605,1569178.8299505867
32,2020-02-23,3,170.88980288904082,784589.4149752933,False,33,1392.5430291471218,1569178.8299505867
33,2020-02-24,3,170.88980288904082,784589.4149752933,False,34,1465.272196040609,1569178.8299505867
34,2020-02-25,3,170.88980288904082,784589.4149752933,False,35,1541.7960965707805,1569178.8299505867
35,2020-02-26,3,170.88980288904082,784589.4149752933,False,36,1622.3123252957357,1569178.8299505867
36,2020-02-27,3,170.88980288904082,784589.4149752933,False,37,1707.0287227680083,1569178.8299505867
37,2020-02-28,3,170.88980288904082,784589.4149752933,False,38,1796.1639022279599,1569178.8299505867
38,2020-02-29,3,170.88980288904082,784589.4149752933,False,39,1889.947802878014,1569178.8299505867
39,2020-03-01,3,170.88980288904082,784589.4149752933,False,40,1988.6222710259194,1569178.8299505867
40,2020-03-02,5,170.88980288904082,784589.4149752933,False,41,2092.441670441857,1569178.8299505867
41,2020-03-03,5,170.88980288904082,784589.4149752933,False,42,2201.6735233326576,1569178.8299505867
42,2020-03-04,28,170.88980288904082,784589.4149752933,False,43,2316.5991833966204,1569178.8299505867
43,2020-03-05,30,170.88980288904082,784589.4149752933,False,44,2437.5145424844923,1569178.8299505867
44,2020-03-06,31,170.88980288904082,784589.4149752933,False,45,2564.7307724559,1569178.8299505867
45,2020-03-07,34,170.88980288904082,784589.4149752933,False,46,2698.5751038859357,1569178.8299505867
46,2020-03-08,39,170.88980288904082,784589.4149752933,False,47,2839.3916433436348,1569178.8299505867
47,2020-03-09,43,170.88980288904082,784589.4149752933,False,48,2987.542231032471,1569178.8299505867
48,2020-03-10,56,170.88980288904082,784589.4149752933,False,49,3143.4073406528664,1569178.8299505867
49,2020-03-11,62,170.88980288904082,784589.4149752933,False,50,3307.3870234176243,1569178.8299505867
50,2020-03-12,73,170.88980288904082,784589.4149752933,False,51,3479.9018982231596,1569178.8299505867
51,2020-03-13,82,170.88980288904082,784589.4149752933,False,52,3661.39419005215,1569178.8299505867
52,2020-03-14,102,170.88980288904082,784589.4149752933,False,53,3852.328818756373,1569178.8299505867
53,2020-03-15,113,170.88980288904082,784589.4149752933,False,54,4053.1945404419234,1569178.8299505867
54,2020-03-16,119,170.88980288904082,784589.4149752933,False,55,4264.505143752216,1569178.8299505867
55,2020-03-17,142,170.88980288904082,784589.4149752933,False,56,4486.800703416791,1569178.8299505867
