,Report_Date,China_qinghai_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,10.027209802959044,9.032528434118921,True,1,0.5335900032301022,18.06505686823718
1,2020-01-23,0,10.027209802959044,9.032528434118921,True,2,0.7748095941322388,18.06505686823718
2,2020-01-24,0,10.027209802959044,9.032528434118921,True,3,1.1181222638781088,18.06505686823718
3,2020-01-25,1,10.027209802959044,9.032528434118921,True,4,1.5994821297587098,18.06505686823718
4,2020-01-26,1,10.027209802959044,9.032528434118921,True,5,2.2604301746545667,18.06505686823718
5,2020-01-27,6,10.027209802959044,9.032528434118921,True,6,3.1423754753747404,18.06505686823718
6,2020-01-28,6,10.027209802959044,9.032528434118921,True,7,4.275341934015931,18.06505686823718
7,2020-01-29,6,10.027209802959044,9.032528434118921,True,8,5.66181016934186,18.06505686823718
8,2020-01-30,8,10.027209802959044,9.032528434118921,True,9,7.261147018312285,18.06505686823718
9,2020-01-31,8,10.027209802959044,9.032528434118921,True,10,8.984990866078329,18.06505686823718
10,2020-02-01,9,10.027209802959044,9.032528434118921,True,11,10.712304713952973,18.06505686823718
11,2020-02-02,11,10.027209802959044,9.032528434118921,True,12,12.321091291168552,18.06505686823718
12,2020-02-03,13,10.027209802959044,9.032528434118921,True,13,13.72063107075112,18.06505686823718
13,2020-02-04,15,10.027209802959044,9.032528434118921,True,14,14.86765989989944,18.06505686823718
14,2020-02-05,17,10.027209802959044,9.032528434118921,True,15,15.762665056904261,18.06505686823718
15,2020-02-06,18,10.027209802959044,9.032528434118921,True,16,16.43461689836648,18.06505686823718
16,2020-02-07,18,10.027209802959044,9.032528434118921,True,17,16.9246481684795,18.06505686823718
17,2020-02-08,18,10.027209802959044,9.032528434118921,True,18,17.274484532276002,18.06505686823718
18,2020-02-09,18,10.027209802959044,9.032528434118921,True,19,17.520456929157007,18.06505686823718
19,2020-02-10,18,10.027209802959044,9.032528434118921,True,20,17.691554130426667,18.06505686823718
20,2020-02-11,18,10.027209802959044,9.032528434118921,True,21,17.809681155181092,18.06505686823718
21,2020-02-12,18,10.027209802959044,9.032528434118921,True,22,17.890816312138398,18.06505686823718
22,2020-02-13,18,10.027209802959044,9.032528434118921,True,23,17.946345921043687,18.06505686823718
23,2020-02-14,18,10.027209802959044,9.032528434118921,True,24,17.984258439673898,18.06505686823718
24,2020-02-15,18,10.027209802959044,9.032528434118921,True,25,18.010099978377504,18.06505686823718
25,2020-02-16,18,10.027209802959044,9.032528434118921,True,26,18.027693859491844,18.06505686823718
26,2020-02-17,18,10.027209802959044,9.032528434118921,True,27,18.03966318279298,18.06505686823718
27,2020-02-18,18,10.027209802959044,9.032528434118921,True,28,18.04780177671225,18.06505686823718
28,2020-02-19,18,10.027209802959044,9.032528434118921,True,29,18.05333367272791,18.06505686823718
29,2020-02-20,18,10.027209802959044,9.032528434118921,True,30,18.05709285315469,18.06505686823718
30,2020-02-21,18,10.027209802959044,9.032528434118921,True,31,18.059646969414988,18.06505686823718
31,2020-02-22,18,10.027209802959044,9.032528434118921,True,32,18.061382129128226,18.06505686823718
32,2020-02-23,18,10.027209802959044,9.032528434118921,True,33,18.06256083423713,18.06505686823718
33,2020-02-24,18,10.027209802959044,9.032528434118921,True,34,18.063361494734387,18.06505686823718
34,2020-02-25,18,10.027209802959044,9.032528434118921,True,35,18.06390534127682,18.06505686823718
35,2020-02-26,18,10.027209802959044,9.032528434118921,True,36,18.064274738793983,18.06505686823718
36,2020-02-27,18,10.027209802959044,9.032528434118921,True,37,18.06452564102843,18.06505686823718
37,2020-02-28,18,10.027209802959044,9.032528434118921,True,38,18.064696057002756,18.06505686823718
38,2020-02-29,18,10.027209802959044,9.032528434118921,True,39,18.06481180482415,18.06505686823718
39,2020-03-01,18,10.027209802959044,9.032528434118921,True,40,18.064890421222213,18.06505686823718
40,2020-03-02,18,10.027209802959044,9.032528434118921,True,41,18.064943817619973,18.06505686823718
41,2020-03-03,18,10.027209802959044,9.032528434118921,True,42,18.064980084463542,18.06505686823718
42,2020-03-04,18,10.027209802959044,9.032528434118921,True,43,18.0650047168714,18.06505686823718
43,2020-03-05,18,10.027209802959044,9.032528434118921,True,44,18.06502144716279,18.06505686823718
44,2020-03-06,18,10.027209802959044,9.032528434118921,True,45,18.065032810341172,18.06505686823718
45,2020-03-07,18,10.027209802959044,9.032528434118921,True,46,18.065040528183946,18.06505686823718
46,2020-03-08,18,10.027209802959044,9.032528434118921,True,47,18.065045770121976,18.06505686823718
47,2020-03-09,18,10.027209802959044,9.032528434118921,True,48,18.065049330431354,18.06505686823718
48,2020-03-10,18,10.027209802959044,9.032528434118921,True,49,18.065051748582956,18.06505686823718
49,2020-03-11,18,10.027209802959044,9.032528434118921,True,50,18.065053390984207,18.06505686823718
50,2020-03-12,18,10.027209802959044,9.032528434118921,True,51,18.065054506498086,18.06505686823718
51,2020-03-13,18,10.027209802959044,9.032528434118921,True,52,18.065055264151642,18.06505686823718
52,2020-03-14,18,10.027209802959044,9.032528434118921,True,53,18.065055778747563,18.06505686823718
53,2020-03-15,18,10.027209802959044,9.032528434118921,True,54,18.065056128259492,18.06505686823718
54,2020-03-16,18,10.027209802959044,9.032528434118921,True,55,18.065056365646896,18.06505686823718
55,2020-03-17,18,10.027209802959044,9.032528434118921,True,56,18.065056526879662,18.06505686823718
56,2020-03-18,18,10.027209802959044,9.032528434118921,True,57,18.06505663638845,18.06505686823718
57,2020-03-19,18,10.027209802959044,9.032528434118921,True,58,18.065056710766473,18.06505686823718
