,Report_Date,Estonia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,69.48111533104952,754.2388676099778,True,1,0.04298509445729323,1468.1339070902104
1,2020-01-23,0,69.48111533104952,754.2388676099778,True,2,0.050082678862226566,1468.1339070902104
2,2020-01-24,0,69.48111533104952,754.2388676099778,True,3,0.058352152181026316,1468.1339070902104
3,2020-01-25,0,69.48111533104952,754.2388676099778,True,4,0.06798698990026741,1468.1339070902104
4,2020-01-26,0,69.48111533104952,754.2388676099778,True,5,0.07921260395867571,1468.1339070902104
5,2020-01-27,0,69.48111533104952,754.2388676099778,True,6,0.09229161233588008,1468.1339070902104
6,2020-01-28,0,69.48111533104952,754.2388676099778,True,7,0.10752997739507981,1468.1339070902104
7,2020-01-29,0,69.48111533104952,754.2388676099778,True,8,0.12528415593920553,1468.1339070902104
8,2020-01-30,0,69.48111533104952,754.2388676099778,True,9,0.14596942737044097,1468.1339070902104
9,2020-01-31,0,69.48111533104952,754.2388676099778,True,10,0.17006959357943646,1468.1339070902104
10,2020-02-01,0,69.48111533104952,754.2388676099778,True,11,0.198148275839287,1468.1339070902104
11,2020-02-02,0,69.48111533104952,754.2388676099778,True,12,0.23086207073859263,1468.1339070902104
12,2020-02-03,0,69.48111533104952,754.2388676099778,True,13,0.2689758698603606,1468.1339070902104
13,2020-02-04,0,69.48111533104952,754.2388676099778,True,14,0.3133806974197435,1468.1339070902104
14,2020-02-05,0,69.48111533104952,754.2388676099778,True,15,0.365114477466373,1468.1339070902104
15,2020-02-06,0,69.48111533104952,754.2388676099778,True,16,0.42538620873602495,1468.1339070902104
16,2020-02-07,0,69.48111533104952,754.2388676099778,True,17,0.49560410216289147,1468.1339070902104
17,2020-02-08,0,69.48111533104952,754.2388676099778,True,18,0.5774083249746508,1468.1339070902104
18,2020-02-09,0,69.48111533104952,754.2388676099778,True,19,0.6727090979117295,1468.1339070902104
19,2020-02-10,0,69.48111533104952,754.2388676099778,True,20,0.7837310103579529,1468.1339070902104
20,2020-02-11,0,69.48111533104952,754.2388676099778,True,21,0.9130645541553877,1468.1339070902104
21,2020-02-12,0,69.48111533104952,754.2388676099778,True,22,1.0637260328991514,1468.1339070902104
22,2020-02-13,0,69.48111533104952,754.2388676099778,True,23,1.2392271820231298,1468.1339070902104
23,2020-02-14,0,69.48111533104952,754.2388676099778,True,24,1.4436560385559254,1468.1339070902104
24,2020-02-15,0,69.48111533104952,754.2388676099778,True,25,1.6817708306290005,1468.1339070902104
25,2020-02-16,0,69.48111533104952,754.2388676099778,True,26,1.9591089181218433,1468.1339070902104
26,2020-02-17,0,69.48111533104952,754.2388676099778,True,27,2.2821131093788534,1468.1339070902104
27,2020-02-18,0,69.48111533104952,754.2388676099778,True,28,2.6582780062583184,1468.1339070902104
28,2020-02-19,0,69.48111533104952,754.2388676099778,True,29,3.0963193913574467,1468.1339070902104
29,2020-02-20,0,69.48111533104952,754.2388676099778,True,30,3.6063700659302937,1468.1339070902104
30,2020-02-21,0,69.48111533104952,754.2388676099778,True,31,4.200205971119221,1468.1339070902104
31,2020-02-22,0,69.48111533104952,754.2388676099778,True,32,4.891506871355444,1468.1339070902104
32,2020-02-23,0,69.48111533104952,754.2388676099778,True,33,5.696156334650455,1468.1339070902104
33,2020-02-24,0,69.48111533104952,754.2388676099778,True,34,6.6325861902067045,1468.1339070902104
34,2020-02-25,0,69.48111533104952,754.2388676099778,True,35,7.7221710494786056,1468.1339070902104
35,2020-02-26,0,69.48111533104952,754.2388676099778,True,36,8.989678799004656,1468.1339070902104
36,2020-02-27,1,69.48111533104952,754.2388676099778,True,37,10.463783150192386,1468.1339070902104
37,2020-02-28,1,69.48111533104952,754.2388676099778,True,38,12.177644276782651,1468.1339070902104
38,2020-02-29,1,69.48111533104952,754.2388676099778,True,39,14.169563167535454,1468.1339070902104
39,2020-03-01,1,69.48111533104952,754.2388676099778,True,40,16.483714412225783,1468.1339070902104
40,2020-03-02,1,69.48111533104952,754.2388676099778,True,41,19.17096051558638,1468.1339070902104
41,2020-03-03,2,69.48111533104952,754.2388676099778,True,42,22.289748227517347,1468.1339070902104
42,2020-03-04,2,69.48111533104952,754.2388676099778,True,43,25.907083447865325,1468.1339070902104
43,2020-03-05,3,69.48111533104952,754.2388676099778,True,44,30.09957558878649,1468.1339070902104
44,2020-03-06,10,69.48111533104952,754.2388676099778,True,45,34.95453435149755,1468.1339070902104
45,2020-03-07,10,69.48111533104952,754.2388676099778,True,46,40.57109111477411,1468.1339070902104
46,2020-03-08,10,69.48111533104952,754.2388676099778,True,47,47.061302907234065,1468.1339070902104
