,Report_Date,Poland_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,78.8467252819367,5468.076982774237,True,1,0.1265533846290042,9707.09920178696
1,2020-01-23,0,78.8467252819367,5468.076982774237,True,2,0.1464492490741723,9707.09920178696
2,2020-01-24,0,78.8467252819367,5468.076982774237,True,3,0.16947295785839667,9707.09920178696
3,2020-01-25,0,78.8467252819367,5468.076982774237,True,4,0.1961162253864731,9707.09920178696
4,2020-01-26,0,78.8467252819367,5468.076982774237,True,5,0.2269480607082467,9707.09920178696
5,2020-01-27,0,78.8467252819367,5468.076982774237,True,6,0.2626269158966159,9707.09920178696
6,2020-01-28,0,78.8467252819367,5468.076982774237,True,7,0.3039147431415238,9707.09920178696
7,2020-01-29,0,78.8467252819367,5468.076982774237,True,8,0.35169326023406833,9707.09920178696
8,2020-01-30,0,78.8467252819367,5468.076982774237,True,9,0.40698277109082687,9707.09920178696
9,2020-01-31,0,78.8467252819367,5468.076982774237,True,10,0.4709639422832079,9707.09920178696
10,2020-02-01,0,78.8467252819367,5468.076982774237,True,11,0.545002999328107,9707.09920178696
11,2020-02-02,0,78.8467252819367,5468.076982774237,True,12,0.6306808790758911,9707.09920178696
12,2020-02-03,0,78.8467252819367,5468.076982774237,True,13,0.7298269584103367,9707.09920178696
13,2020-02-04,0,78.8467252819367,5468.076982774237,True,14,0.8445580763911021,9707.09920178696
14,2020-02-05,0,78.8467252819367,5468.076982774237,True,15,0.9773236789215888,9707.09920178696
15,2020-02-06,0,78.8467252819367,5468.076982774237,True,16,1.1309580443097496,9707.09920178696
16,2020-02-07,0,78.8467252819367,5468.076982774237,True,17,1.3087406973406666,9707.09920178696
17,2020-02-08,0,78.8467252819367,5468.076982774237,True,18,1.514466291715071,9707.09920178696
18,2020-02-09,0,78.8467252819367,5468.076982774237,True,19,1.7525254393783567,9707.09920178696
19,2020-02-10,0,78.8467252819367,5468.076982774237,True,20,2.027998194308461,9707.09920178696
20,2020-02-11,0,78.8467252819367,5468.076982774237,True,21,2.3467621622326207,9707.09920178696
21,2020-02-12,0,78.8467252819367,5468.076982774237,True,22,2.7156175115934396,9707.09920178696
22,2020-02-13,0,78.8467252819367,5468.076982774237,True,23,3.142431510644382,9707.09920178696
23,2020-02-14,0,78.8467252819367,5468.076982774237,True,24,3.636305617314358,9707.09920178696
24,2020-02-15,0,78.8467252819367,5468.076982774237,True,25,4.207768609717822,9707.09920178696
25,2020-02-16,0,78.8467252819367,5468.076982774237,True,26,4.868999774009682,9707.09920178696
26,2020-02-17,0,78.8467252819367,5468.076982774237,True,27,5.634086771660716,9707.09920178696
27,2020-02-18,0,78.8467252819367,5468.076982774237,True,28,6.519323499980775,9707.09920178696
28,2020-02-19,0,78.8467252819367,5468.076982774237,True,29,7.543554048469822,9707.09920178696
29,2020-02-20,0,78.8467252819367,5468.076982774237,True,30,8.728569750642386,9707.09920178696
30,2020-02-21,0,78.8467252819367,5468.076982774237,True,31,10.099567348129582,9707.09920178696
31,2020-02-22,0,78.8467252819367,5468.076982774237,True,32,11.685677433006745,9707.09920178696
32,2020-02-23,0,78.8467252819367,5468.076982774237,True,33,13.520573626878177,9707.09920178696
33,2020-02-24,0,78.8467252819367,5468.076982774237,True,34,15.64317440147137,9707.09920178696
34,2020-02-25,0,78.8467252819367,5468.076982774237,True,35,18.098451053109883,9707.09920178696
35,2020-02-26,0,78.8467252819367,5468.076982774237,True,36,20.938357116093584,9707.09920178696
36,2020-02-27,0,78.8467252819367,5468.076982774237,True,37,24.22289643491778,9707.09920178696
37,2020-02-28,0,78.8467252819367,5468.076982774237,True,38,28.02134919996068,9707.09920178696
38,2020-02-29,0,78.8467252819367,5468.076982774237,True,39,32.41367745931287,9707.09920178696
39,2020-03-01,0,78.8467252819367,5468.076982774237,True,40,37.49213390452428,9707.09920178696
40,2020-03-02,0,78.8467252819367,5468.076982774237,True,41,43.36310001631745,9707.09920178696
41,2020-03-03,0,78.8467252819367,5468.076982774237,True,42,50.14918183608058,9707.09920178696
42,2020-03-04,1,78.8467252819367,5468.076982774237,True,43,57.99159353750175,9707.09920178696
43,2020-03-05,1,78.8467252819367,5468.076982774237,True,44,67.05286037932032,9707.09920178696
44,2020-03-06,5,78.8467252819367,5468.076982774237,True,45,77.51987320467309,9707.09920178696
45,2020-03-07,5,78.8467252819367,5468.076982774237,True,46,89.60732597862182,9707.09920178696
46,2020-03-08,11,78.8467252819367,5468.076982774237,True,47,103.56156533841548,9707.09920178696
47,2020-03-09,16,78.8467252819367,5468.076982774237,True,48,119.6648759994374,9707.09920178696
48,2020-03-10,22,78.8467252819367,5468.076982774237,True,49,138.24021711211262,9707.09920178696
49,2020-03-11,31,78.8467252819367,5468.076982774237,True,50,159.65641102324747,9707.09920178696
50,2020-03-12,49,78.8467252819367,5468.076982774237,True,51,184.33376575954222,9707.09920178696
51,2020-03-13,68,78.8467252819367,5468.076982774237,True,52,212.75008396392957,9707.09920178696
52,2020-03-14,103,78.8467252819367,5468.076982774237,True,53,245.4469716485803,9707.09920178696
53,2020-03-15,119,78.8467252819367,5468.076982774237,True,54,283.0363073128064,9707.09920178696
54,2020-03-16,177,78.8467252819367,5468.076982774237,True,55,326.2066628046811,9707.09920178696
55,2020-03-17,238,78.8467252819367,5468.076982774237,True,56,375.729378864437,9707.09920178696
56,2020-03-18,251,78.8467252819367,5468.076982774237,True,57,432.4638880458969,9707.09920178696
57,2020-03-19,355,78.8467252819367,5468.076982774237,True,58,497.36174417777164,9707.09920178696
58,2020-03-20,425,78.8467252819367,5468.076982774237,True,59,571.4686612271877,9707.09920178696
59,2020-03-21,536,78.8467252819367,5468.076982774237,True,60,655.9236892963011,9707.09920178696
60,2020-03-22,634,78.8467252819367,5468.076982774237,True,61,751.9544706870712,9707.09920178696
61,2020-03-23,749,78.8467252819367,5468.076982774237,True,62,860.8673411347044,9707.09920178696
62,2020-03-24,901,78.8467252819367,5468.076982774237,True,63,984.0308969222876,9707.09920178696
63,2020-03-25,1051,78.8467252819367,5468.076982774237,True,64,1122.8515760956595,9707.09920178696
64,2020-03-26,1221,78.8467252819367,5468.076982774237,True,65,1278.739852760229,9707.09920178696
65,2020-03-27,1389,78.8467252819367,5468.076982774237,True,66,1453.0658802400408,9707.09920178696
66,2020-03-28,1638,78.8467252819367,5468.076982774237,True,67,1647.1039102824618,9707.09920178696
67,2020-03-29,1862,78.8467252819367,5468.076982774237,True,68,1861.9656242970314,9707.09920178696
68,2020-03-30,2055,78.8467252819367,5468.076982774237,True,69,2098.5236771254185,9707.09920178696
69,2020-03-31,2311,78.8467252819367,5468.076982774237,True,70,2357.3282623848863,9707.09920178696
70,2020-04-01,2554,78.8467252819367,5468.076982774237,True,71,2638.521270651969,9707.09920178696
71,2020-04-02,2946,78.8467252819367,5468.076982774237,True,72,2941.7544344113303,9707.09920178696
72,2020-04-03,3383,78.8467252819367,5468.076982774237,True,73,3266.1194331223674,9707.09920178696
73,2020-04-04,3627,78.8467252819367,5468.076982774237,True,74,3610.098877182055,9707.09920178696
74,2020-04-05,4102,78.8467252819367,5468.076982774237,True,75,3971.5469879984144,9707.09920178696
75,2020-04-06,4413,78.8467252819367,5468.076982774237,True,76,4347.707313352561,9707.09920178696
76,2020-04-07,4848,78.8467252819367,5468.076982774237,True,77,4735.271843734393,9707.09920178696
77,2020-04-08,5205,78.8467252819367,5468.076982774237,True,78,5130.481626385704,9707.09920178696
78,2020-04-09,5575,78.8467252819367,5468.076982774237,True,79,5529.263968015943,9707.09920178696
79,2020-04-10,5955,78.8467252819367,5468.076982774237,True,80,5927.396422878561,9707.09920178696
80,2020-04-11,6356,78.8467252819367,5468.076982774237,True,81,6320.683935783961,9707.09920178696
81,2020-04-12,6674,78.8467252819367,5468.076982774237,True,82,6705.13356144912,9707.09920178696
82,2020-04-13,6934,78.8467252819367,5468.076982774237,True,83,7077.111543766778,9707.09920178696
