,Report_Date,Kenya_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,203.30216068121297,38865.79271370541,False,1,2.5073291081379296,77731.58542741078
1,2020-01-23,0,203.30216068121297,38865.79271370541,False,2,2.6388330440470606,77731.58542741078
2,2020-01-24,0,203.30216068121297,38865.79271370541,False,3,2.7772338277693507,77731.58542741078
3,2020-01-25,0,203.30216068121297,38865.79271370541,False,4,2.922893144458842,77731.58542741078
4,2020-01-26,0,203.30216068121297,38865.79271370541,False,5,3.0761916439415544,77731.58542741078
5,2020-01-27,0,203.30216068121297,38865.79271370541,False,6,3.2375299348055027,77731.58542741078
6,2020-01-28,0,203.30216068121297,38865.79271370541,False,7,3.407329630565842,77731.58542741078
7,2020-01-29,0,203.30216068121297,38865.79271370541,False,8,3.5860344506294934,77731.58542741078
8,2020-01-30,0,203.30216068121297,38865.79271370541,False,9,3.7741113789257796,77731.58542741078
9,2020-01-31,0,203.30216068121297,38865.79271370541,False,10,3.9720518832191156,77731.58542741078
10,2020-02-01,0,203.30216068121297,38865.79271370541,False,11,4.18037319827707,77731.58542741078
11,2020-02-02,0,203.30216068121297,38865.79271370541,False,12,4.399619676232519,77731.58542741078
12,2020-02-03,0,203.30216068121297,38865.79271370541,False,13,4.630364207652677,77731.58542741078
13,2020-02-04,0,203.30216068121297,38865.79271370541,False,14,4.873209717010656,77731.58542741078
14,2020-02-05,0,203.30216068121297,38865.79271370541,False,15,5.128790736447807,77731.58542741078
15,2020-02-06,0,203.30216068121297,38865.79271370541,False,16,5.397775061917416,77731.58542741078
16,2020-02-07,0,203.30216068121297,38865.79271370541,False,17,5.680865496013204,77731.58542741078
17,2020-02-08,0,203.30216068121297,38865.79271370541,False,18,5.9788016820099275,77731.58542741078
18,2020-02-09,0,203.30216068121297,38865.79271370541,False,19,6.292362033878777,77731.58542741078
19,2020-02-10,0,203.30216068121297,38865.79271370541,False,20,6.622365767287717,77731.58542741078
20,2020-02-11,0,203.30216068121297,38865.79271370541,False,21,6.9696750368572165,77731.58542741078
21,2020-02-12,0,203.30216068121297,38865.79271370541,False,22,7.33519718521538,77731.58542741078
22,2020-02-13,0,203.30216068121297,38865.79271370541,False,23,7.719887109684168,77731.58542741078
23,2020-02-14,0,203.30216068121297,38865.79271370541,False,24,8.124749752730839,77731.58542741078
24,2020-02-15,0,203.30216068121297,38865.79271370541,False,25,8.55084272263655,77731.58542741078
25,2020-02-16,0,203.30216068121297,38865.79271370541,False,26,8.999279051168394,77731.58542741078
26,2020-02-17,0,203.30216068121297,38865.79271370541,False,27,9.471230095392164,77731.58542741078
27,2020-02-18,0,203.30216068121297,38865.79271370541,False,28,9.967928591132486,77731.58542741078
28,2020-02-19,0,203.30216068121297,38865.79271370541,False,29,10.490671865974834,77731.58542741078
29,2020-02-20,0,203.30216068121297,38865.79271370541,False,30,11.040825220111586,77731.58542741078
30,2020-02-21,0,203.30216068121297,38865.79271370541,False,31,11.619825483762751,77731.58542741078
31,2020-02-22,0,203.30216068121297,38865.79271370541,False,32,12.229184760352071,77731.58542741078
32,2020-02-23,0,203.30216068121297,38865.79271370541,False,33,12.870494365091993,77731.58542741078
33,2020-02-24,0,203.30216068121297,38865.79271370541,False,34,13.545428969127844,77731.58542741078
34,2020-02-25,0,203.30216068121297,38865.79271370541,False,35,14.255750959913238,77731.58542741078
