,Report_Date,Uzbekistan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,96.32073574431658,2847.2605053903617,False,1,0.0641966103682965,5694.521010780721
1,2020-01-23,0,96.32073574431658,2847.2605053903617,False,2,0.07234687988671268,5694.521010780721
2,2020-01-24,0,96.32073574431658,2847.2605053903617,False,3,0.08153187603255213,5694.521010780721
3,2020-01-25,0,96.32073574431658,2847.2605053903617,False,4,0.09188295968721936,5694.521010780721
4,2020-01-26,0,96.32073574431658,2847.2605053903617,False,5,0.10354816721229353,5694.521010780721
5,2020-01-27,0,96.32073574431658,2847.2605053903617,False,6,0.11669432701053548,5694.521010780721
6,2020-01-28,0,96.32073574431658,2847.2605053903617,False,7,0.13150944465588782,5694.521010780721
7,2020-01-29,0,96.32073574431658,2847.2605053903617,False,8,0.1482053906497323,5694.521010780721
8,2020-01-30,0,96.32073574431658,2847.2605053903617,False,9,0.16702092917372852,5694.521010780721
9,2020-01-31,0,96.32073574431658,2847.2605053903617,False,10,0.18822513106727778,5694.521010780721
10,2020-02-01,0,96.32073574431658,2847.2605053903617,False,11,0.21212121972839337,5694.521010780721
11,2020-02-02,0,96.32073574431658,2847.2605053903617,False,12,0.23905090479734356,5694.521010780721
12,2020-02-03,0,96.32073574431658,2847.2605053903617,False,13,0.2693992654191747,5694.521010780721
13,2020-02-04,0,96.32073574431658,2847.2605053903617,False,14,0.30360025269104196,5694.521010780721
14,2020-02-05,0,96.32073574431658,2847.2605053903617,False,15,0.34214288969197126,5694.521010780721
15,2020-02-06,0,96.32073574431658,2847.2605053903617,False,16,0.38557825738829926,5694.521010780721
16,2020-02-07,0,96.32073574431658,2847.2605053903617,False,17,0.4345273658444396,5694.521010780721
17,2020-02-08,0,96.32073574431658,2847.2605053903617,False,18,0.48969002269912504,5694.521010780721
18,2020-02-09,0,96.32073574431658,2847.2605053903617,False,19,0.551854824963556,5694.521010780721
19,2020-02-10,0,96.32073574431658,2847.2605053903617,False,20,0.6219104160519546,5694.521010780721
20,2020-02-11,0,96.32073574431658,2847.2605053903617,False,21,0.7008581677814784,5694.521010780721
21,2020-02-12,0,96.32073574431658,2847.2605053903617,False,22,0.7898264671167886,5694.521010780721
22,2020-02-13,0,96.32073574431658,2847.2605053903617,False,23,0.8900868099518049,5694.521010780721
23,2020-02-14,0,96.32073574431658,2847.2605053903617,False,24,1.0030719295144523,5694.521010780721
24,2020-02-15,0,96.32073574431658,2847.2605053903617,False,25,1.130396215379739,5694.521010780721
25,2020-02-16,0,96.32073574431658,2847.2605053903617,False,26,1.2738787109483591,5694.521010780721
26,2020-02-17,0,96.32073574431658,2847.2605053903617,False,27,1.4355690129972711,5694.521010780721
27,2020-02-18,0,96.32073574431658,2847.2605053903617,False,28,1.6177764369821315,5694.521010780721
28,2020-02-19,0,96.32073574431658,2847.2605053903617,False,29,1.8231028566604777,5694.521010780721
29,2020-02-20,0,96.32073574431658,2847.2605053903617,False,30,2.0544796768474574,5694.521010780721
30,2020-02-21,0,96.32073574431658,2847.2605053903617,False,31,2.3152094542998642,5694.521010780721
31,2020-02-22,0,96.32073574431658,2847.2605053903617,False,32,2.609012744486122,5694.521010780721
32,2020-02-23,0,96.32073574431658,2847.2605053903617,False,33,2.9400808220262937,5694.521010780721
33,2020-02-24,0,96.32073574431658,2847.2605053903617,False,34,3.3131350006110942,5694.521010780721
34,2020-02-25,0,96.32073574431658,2847.2605053903617,False,35,3.7334933650095707,5694.521010780721
35,2020-02-26,0,96.32073574431658,2847.2605053903617,False,36,4.207145824164248,5694.521010780721
36,2020-02-27,0,96.32073574431658,2847.2605053903617,False,37,4.740838501185943,5694.521010780721
37,2020-02-28,0,96.32073574431658,2847.2605053903617,False,38,5.342168594139848,5694.521010780721
38,2020-02-29,0,96.32073574431658,2847.2605053903617,False,39,6.0196909716808475,5694.521010780721
39,2020-03-01,0,96.32073574431658,2847.2605053903617,False,40,6.783037910615387,5694.521010780721
40,2020-03-02,0,96.32073574431658,2847.2605053903617,False,41,7.643053539001268,5694.521010780721
41,2020-03-03,0,96.32073574431658,2847.2605053903617,False,42,8.611944718939215,5694.521010780721
42,2020-03-04,0,96.32073574431658,2847.2605053903617,False,43,9.703450288000088,5694.521010780721
43,2020-03-05,0,96.32073574431658,2847.2605053903617,False,44,10.93303077714275,5694.521010780721
44,2020-03-06,0,96.32073574431658,2847.2605053903617,False,45,12.318080935371388,5694.521010780721
45,2020-03-07,0,96.32073574431658,2847.2605053903617,False,46,13.878167615920125,5694.521010780721
46,2020-03-08,0,96.32073574431658,2847.2605053903617,False,47,15.635295813162251,5694.521010780721
47,2020-03-09,0,96.32073574431658,2847.2605053903617,False,48,17.614205880202817,5694.521010780721
48,2020-03-10,0,96.32073574431658,2847.2605053903617,False,49,19.842705199087305,5694.521010780721
49,2020-03-11,0,96.32073574431658,2847.2605053903617,False,50,22.35203781150045,5694.521010780721
50,2020-03-12,0,96.32073574431658,2847.2605053903617,False,51,25.177295737801266,5694.521010780721
51,2020-03-13,0,96.32073574431658,2847.2605053903617,False,52,28.357875902878895,5694.521010780721
52,2020-03-14,0,96.32073574431658,2847.2605053903617,False,53,31.93798673094145,5694.521010780721
53,2020-03-15,1,96.32073574431658,2847.2605053903617,False,54,35.96720854490058,5694.521010780721
54,2020-03-16,6,96.32073574431658,2847.2605053903617,False,55,40.501111879752045,5694.521010780721
55,2020-03-17,10,96.32073574431658,2847.2605053903617,False,56,45.60193765537056,5694.521010780721
56,2020-03-18,15,96.32073574431658,2847.2605053903617,False,57,51.33934280461942,5694.521010780721
57,2020-03-19,23,96.32073574431658,2847.2605053903617,False,58,57.79121435794246,5694.521010780721
58,2020-03-20,33,96.32073574431658,2847.2605053903617,False,59,65.04455407197725,5694.521010780721
59,2020-03-21,43,96.32073574431658,2847.2605053903617,False,60,73.19643436728433,5694.521010780721
60,2020-03-22,43,96.32073574431658,2847.2605053903617,False,61,82.35502450068451,5694.521010780721
61,2020-03-23,46,96.32073574431658,2847.2605053903617,False,62,92.64068341228659,5694.521010780721
62,2020-03-24,50,96.32073574431658,2847.2605053903617,False,63,104.18711240588918,5694.521010780721
63,2020-03-25,60,96.32073574431658,2847.2605053903617,False,64,117.14255657236637,5694.521010780721
64,2020-03-26,75,96.32073574431658,2847.2605053903617,False,65,131.67103845771763,5694.521010780721
65,2020-03-27,88,96.32073574431658,2847.2605053903617,False,66,147.95360070512692,5694.521010780721
66,2020-03-28,104,96.32073574431658,2847.2605053903617,False,67,166.18952605335153,5694.521010780721
67,2020-03-29,144,96.32073574431658,2847.2605053903617,False,68,186.59749295298298,5694.521010780721
68,2020-03-30,149,96.32073574431658,2847.2605053903617,False,69,209.4166130042966,5694.521010780721
69,2020-03-31,172,96.32073574431658,2847.2605053903617,False,70,234.90728233356575,5694.521010780721
70,2020-04-01,181,96.32073574431658,2847.2605053903617,False,71,263.35176293765676,5694.521010780721
71,2020-04-02,205,96.32073574431658,2847.2605053903617,False,72,295.0543921544483,5694.521010780721
72,2020-04-03,227,96.32073574431658,2847.2605053903617,False,73,330.3412992435608,5694.521010780721
73,2020-04-04,266,96.32073574431658,2847.2605053903617,False,74,369.55948844204073,5694.521010780721
74,2020-04-05,342,96.32073574431658,2847.2605053903617,False,75,413.0751291297347,5694.521010780721
75,2020-04-06,457,96.32073574431658,2847.2605053903617,False,76,461.27087783493624,5694.521010780721
76,2020-04-07,520,96.32073574431658,2847.2605053903617,False,77,514.5420463693667,5694.521010780721
77,2020-04-08,545,96.32073574431658,2847.2605053903617,False,78,573.291428800188,5694.521010780721
78,2020-04-09,582,96.32073574431658,2847.2605053903617,False,79,637.922611380663,5694.521010780721
79,2020-04-10,624,96.32073574431658,2847.2605053903617,False,80,708.831618685648,5694.521010780721
80,2020-04-11,767,96.32073574431658,2847.2605053903617,False,81,786.3968009771306,5694.521010780721
81,2020-04-12,865,96.32073574431658,2847.2605053903617,False,82,870.9669468268395,5694.521010780721
82,2020-04-13,998,96.32073574431658,2847.2605053903617,False,83,962.8477145453236,5694.521010780721
83,2020-04-14,1165,96.32073574431658,2847.2605053903617,False,84,1062.2866168575354,5694.521010780721
84,2020-04-15,1302,96.32073574431658,2847.2605053903617,False,85,1169.4569625413956,5694.521010780721
85,2020-04-16,1349,96.32073574431658,2847.2605053903617,False,86,1284.4413482076156,5694.521010780721
