,ds,yhat,yhat_lower,yhat_upper,y,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,1.3584753965283332,-5.401922546487772,8.79350613920742,0.0,2020-04-08,84.71980369061768,False,78,8.297005486373095
1,2020-01-23,-0.6158476918345137,-7.736485115555825,6.09773507581411,0.0,2020-04-08,84.71980369061768,False,78,8.297005486373095
2,2020-01-24,-0.5375049484409221,-7.432298477967455,5.774935115246837,0.0,2020-04-08,84.71980369061768,False,78,8.297005486373095
3,2020-01-25,-0.4597822914651638,-7.352062938253441,7.007076806642699,0.0,2020-04-08,84.71980369061768,False,78,8.297005486373095
4,2020-01-26,-0.4734915560649841,-7.634665374721971,6.19218364648478,0.0,2020-04-08,84.71980369061768,False,78,8.297005486373095
5,2020-01-27,-0.3058110165438464,-7.494439847764592,6.331713023233695,0.0,2020-04-08,84.71980369061768,False,78,8.297005486373095
6,2020-01-28,1.0433621132653106,-5.632735765764381,8.086184079711726,0.0,2020-04-08,84.71980369061768,False,78,8.297005486373095
7,2020-01-29,1.3601602896176848,-5.423498898399588,8.940051459969355,0.0,2020-04-08,84.71980369061768,False,78,8.297005486373095
8,2020-01-30,-0.6138608672307677,-7.557136003356404,6.118812841020039,0.0,2020-04-08,84.71980369061768,False,78,8.297005486373095
9,2020-01-31,-0.5351621158008174,-7.636969079619626,6.129672785257108,0.0,2020-04-08,84.71980369061768,False,78,8.297005486373095
10,2020-02-01,-0.457019700521498,-7.078054733438756,6.611889782349962,0.0,2020-04-08,84.71980369061768,False,78,8.297005486373095
11,2020-02-02,-0.47023405675809615,-7.248087259054458,6.052194020458421,0.0,2020-04-08,84.71980369061768,False,78,8.297005486373095
12,2020-02-03,-0.3019700267338424,-7.31211447876175,6.621494194007589,0.0,2020-04-08,84.71980369061768,False,78,8.297005486373095
13,2020-02-04,1.0478909999592672,-5.808307555108966,7.528329815477763,0.0,2020-04-08,84.71980369061768,False,78,8.297005486373095
