,Report_Date,Mauritania_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,66.00397970867779,3.723384756032857,True,1,8.865755485995764e-05,7.289574954467733
1,2020-01-23,0,66.00397970867779,3.723384756032857,True,2,0.00010555231725995603,7.289574954467733
2,2020-01-24,0,66.00397970867779,3.723384756032857,True,3,0.00012566652531437528,7.289574954467733
3,2020-01-25,0,66.00397970867779,3.723384756032857,True,4,0.00014961365004525018,7.289574954467733
4,2020-01-26,0,66.00397970867779,3.723384756032857,True,5,0.0001781240509878168,7.289574954467733
5,2020-01-27,0,66.00397970867779,3.723384756032857,True,6,0.00021206724374621026,7.289574954467733
6,2020-01-28,0,66.00397970867779,3.723384756032857,True,7,0.00025247840792485296,7.289574954467733
7,2020-01-29,0,66.00397970867779,3.723384756032857,True,8,0.00030058994223494174,7.289574954467733
8,2020-01-30,0,66.00397970867779,3.723384756032857,True,9,0.00035786902679439155,7.289574954467733
9,2020-01-31,0,66.00397970867779,3.723384756032857,True,10,0.00042606233483615224,7.289574954467733
10,2020-02-01,0,66.00397970867779,3.723384756032857,True,11,0.0005072492526441183,7.289574954467733
11,2020-02-02,0,66.00397970867779,3.723384756032857,True,12,0.0006039052239745042,7.289574954467733
12,2020-02-03,0,66.00397970867779,3.723384756032857,True,13,0.0007189771410905358,7.289574954467733
13,2020-02-04,0,66.00397970867779,3.723384756032857,True,14,0.0008559730678074261,7.289574954467733
14,2020-02-05,0,66.00397970867779,3.723384756032857,True,15,0.001019069011180717,7.289574954467733
15,2020-02-06,0,66.00397970867779,3.723384756032857,True,16,0.0012132359701017862,7.289574954467733
16,2020-02-07,0,66.00397970867779,3.723384756032857,True,17,0.0014443910956672833,7.289574954467733
17,2020-02-08,0,66.00397970867779,3.723384756032857,True,18,0.00171957751681148,7.289574954467733
18,2020-02-09,0,66.00397970867779,3.723384756032857,True,19,0.0020471782351908253,7.289574954467733
19,2020-02-10,0,66.00397970867779,3.723384756032857,True,20,0.002437170498714282,7.289574954467733
20,2020-02-11,0,66.00397970867779,3.723384756032857,True,21,0.0029014282499625625,7.289574954467733
21,2020-02-12,0,66.00397970867779,3.723384756032857,True,22,0.0034540816444009457,7.289574954467733
22,2020-02-13,0,66.00397970867779,3.723384756032857,True,23,0.004111944278178064,7.289574954467733
23,2020-02-14,0,66.00397970867779,3.723384756032857,True,24,0.004895020694936133,7.289574954467733
24,2020-02-15,0,66.00397970867779,3.723384756032857,True,25,0.005827108997839799,7.289574954467733
25,2020-02-16,0,66.00397970867779,3.723384756032857,True,26,0.0069365160225810865,7.289574954467733
26,2020-02-17,0,66.00397970867779,3.723384756032857,True,27,0.008256905576915587,7.289574954467733
