,Report_Date,UK_bermuda_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,72.25187545872892,30.396886798739803,True,1,0.0007129455532073256,56.2218612089093
1,2020-01-23,0,72.25187545872892,30.396886798739803,True,2,0.0008360992631362866,56.2218612089093
2,2020-01-24,0,72.25187545872892,30.396886798739803,True,3,0.0009805261145785398,56.2218612089093
3,2020-01-25,0,72.25187545872892,30.396886798739803,True,4,0.0011499006268862648,56.2218612089093
4,2020-01-26,0,72.25187545872892,30.396886798739803,True,5,0.0013485319724689548,56.2218612089093
5,2020-01-27,0,72.25187545872892,30.396886798739803,True,6,0.0015814735742156999,56.2218612089093
6,2020-01-28,0,72.25187545872892,30.396886798739803,True,7,0.00185465162234762,56.2218612089093
7,2020-01-29,0,72.25187545872892,30.396886798739803,True,8,0.002175015774141927,56.2218612089093
8,2020-01-30,0,72.25187545872892,30.396886798739803,True,9,0.0025507158619257684,56.2218612089093
9,2020-01-31,0,72.25187545872892,30.396886798739803,True,10,0.002991309093101901,56.2218612089093
10,2020-02-01,0,72.25187545872892,30.396886798739803,True,11,0.0035080029971431077,56.2218612089093
11,2020-02-02,0,72.25187545872892,30.396886798739803,True,12,0.004113940277621834,56.2218612089093
12,2020-02-03,0,72.25187545872892,30.396886798739803,True,13,0.0048245327847476925,56.2218612089093
13,2020-02-04,0,72.25187545872892,30.396886798739803,True,14,0.005657853061569293,56.2218612089093
14,2020-02-05,0,72.25187545872892,30.396886798739803,True,15,0.006635093365207693,56.2218612089093
15,2020-02-06,0,72.25187545872892,30.396886798739803,True,16,0.007781103758367347,56.2218612089093
16,2020-02-07,0,72.25187545872892,30.396886798739803,True,17,0.009125022846668975,56.2218612089093
17,2020-02-08,0,72.25187545872892,30.396886798739803,True,18,0.01070101705122903,56.2218612089093
18,2020-02-09,0,72.25187545872892,30.396886798739803,True,19,0.01254914700781544,56.2218612089093
19,2020-02-10,0,72.25187545872892,30.396886798739803,True,20,0.014716382836498686,56.2218612089093
20,2020-02-11,0,72.25187545872892,30.396886798739803,True,21,0.017257793700844966,56.2218612089093
21,2020-02-12,0,72.25187545872892,30.396886798739803,True,22,0.020237941355392162,56.2218612089093
22,2020-02-13,0,72.25187545872892,30.396886798739803,True,23,0.023732512357542368,56.2218612089093
