,Report_Date,France_guadeloupe_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,65.5617088433088,81.29673832703689,True,1,0.0019380365749091899,159.4924488452151
1,2020-01-23,0,65.5617088433088,81.29673832703689,True,2,0.002310069271365463,159.4924488452151
2,2020-01-24,0,65.5617088433088,81.29673832703689,True,3,0.0027535175360591923,159.4924488452151
3,2020-01-25,0,65.5617088433088,81.29673832703689,True,4,0.0032820898255448167,159.4924488452151
4,2020-01-26,0,65.5617088433088,81.29673832703689,True,5,0.00391212576620771,159.4924488452151
5,2020-01-27,0,65.5617088433088,81.29673832703689,True,6,0.004663101084888799,159.4924488452151
6,2020-01-28,0,65.5617088433088,81.29673832703689,True,7,0.005558229399536384,159.4924488452151
7,2020-01-29,0,65.5617088433088,81.29673832703689,True,8,0.006625179434434083,159.4924488452151
8,2020-01-30,0,65.5617088433088,81.29673832703689,True,9,0.00789692977598861,159.4924488452151
9,2020-01-31,0,65.5617088433088,81.29673832703689,True,10,0.009412787513064421,159.4924488452151
10,2020-02-01,0,65.5617088433088,81.29673832703689,True,11,0.011219602138121796,159.4924488452151
11,2020-02-02,0,65.5617088433088,81.29673832703689,True,12,0.013373212073245468,159.4924488452151
12,2020-02-03,0,65.5617088433088,81.29673832703689,True,13,0.01594016830758015,159.4924488452151
13,2020-02-04,0,65.5617088433088,81.29673832703689,True,14,0.01899978810127741,159.4924488452151
14,2020-02-05,0,65.5617088433088,81.29673832703689,True,15,0.022646601775356816,159.4924488452151
15,2020-02-06,0,65.5617088433088,81.29673832703689,True,16,0.0269932675606321,159.4924488452151
16,2020-02-07,0,65.5617088433088,81.29673832703689,True,17,0.032174043666898945,159.4924488452151
17,2020-02-08,0,65.5617088433088,81.29673832703689,True,18,0.038348923559494194,159.4924488452151
18,2020-02-09,0,65.5617088433088,81.29673832703689,True,19,0.04570856036454491,159.4924488452151
19,2020-02-10,0,65.5617088433088,81.29673832703689,True,20,0.05448012991243378,159.4924488452151
20,2020-02-11,0,65.5617088433088,81.29673832703689,True,21,0.06493430980038127,159.4924488452151
21,2020-02-12,0,65.5617088433088,81.29673832703689,True,22,0.07739358472937925,159.4924488452151
22,2020-02-13,0,65.5617088433088,81.29673832703689,True,23,0.09224212706334359,159.4924488452151
23,2020-02-14,0,65.5617088433088,81.29673832703689,True,24,0.10993754698085238,159.4924488452151
