,Report_Date,Canada_grand princess_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,57.208834266697025,7.160053789766471,True,1,0.00017512173794145914,14.291004234217496
1,2020-01-23,0,57.208834266697025,7.160053789766471,True,2,0.0002141598054721694,14.291004234217496
2,2020-01-24,0,57.208834266697025,7.160053789766471,True,3,0.00026190006418854063,14.291004234217496
3,2020-01-25,0,57.208834266697025,7.160053789766471,True,4,0.00032028228871003924,14.291004234217496
4,2020-01-26,0,57.208834266697025,7.160053789766471,True,5,0.00039167860286630415,14.291004234217496
5,2020-01-27,0,57.208834266697025,7.160053789766471,True,6,0.00047898982505256477,14.291004234217496
6,2020-01-28,0,57.208834266697025,7.160053789766471,True,7,0.0005857632737345028,14.291004234217496
7,2020-01-29,0,57.208834266697025,7.160053789766471,True,8,0.000716336808421987,14.291004234217496
8,2020-01-30,0,57.208834266697025,7.160053789766471,True,9,0.0008760149416795559,14.291004234217496
9,2020-01-31,0,57.208834266697025,7.160053789766471,True,10,0.0010712841522243003,14.291004234217496
10,2020-02-01,0,57.208834266697025,7.160053789766471,True,11,0.0013100761090460216,14.291004234217496
11,2020-02-02,0,57.208834266697025,7.160053789766471,True,12,0.0016020894438248463,14.291004234217496
12,2020-02-03,0,57.208834266697025,7.160053789766471,True,13,0.0019591830588306333,14.291004234217496
13,2020-02-04,0,57.208834266697025,7.160053789766471,True,14,0.0023958568206658933,14.291004234217496
14,2020-02-05,0,57.208834266697025,7.160053789766471,True,15,0.0029298389758488303,14.291004234217496
15,2020-02-06,0,57.208834266697025,7.160053789766471,True,16,0.003582803863275107,14.291004234217496
16,2020-02-07,0,57.208834266697025,7.160053789766471,True,17,0.004381248647336508,14.291004234217496
17,2020-02-08,0,57.208834266697025,7.160053789766471,True,18,0.005357564039300987,14.291004234217496
18,2020-02-09,0,57.208834266697025,7.160053789766471,True,19,0.006551341531630728,14.291004234217496
19,2020-02-10,0,57.208834266697025,7.160053789766471,True,20,0.008010968794281275,14.291004234217496
20,2020-02-11,0,57.208834266697025,7.160053789766471,True,21,0.00979557586540923,14.291004234217496
21,2020-02-12,0,57.208834266697025,7.160053789766471,True,22,0.011977407939904806,14.291004234217496
22,2020-02-13,0,57.208834266697025,7.160053789766471,True,23,0.014644716277798772,14.291004234217496
23,2020-02-14,0,57.208834266697025,7.160053789766471,True,24,0.017905277399272487,14.291004234217496
24,2020-02-15,0,57.208834266697025,7.160053789766471,True,25,0.021890672675010478,14.291004234217496
25,2020-02-16,0,57.208834266697025,7.160053789766471,True,26,0.026761485979241665,14.291004234217496
26,2020-02-17,0,57.208834266697025,7.160053789766471,True,27,0.032713606440510065,14.291004234217496
27,2020-02-18,0,57.208834266697025,7.160053789766471,True,28,0.03998585644797338,14.291004234217496
28,2020-02-19,0,57.208834266697025,7.160053789766471,True,29,0.04886920146185238,14.291004234217496
29,2020-02-20,0,57.208834266697025,7.160053789766471,True,30,0.05971783663199586,14.291004234217496
30,2020-02-21,0,57.208834266697025,7.160053789766471,True,31,0.07296248340593015,14.291004234217496
31,2020-02-22,0,57.208834266697025,7.160053789766471,True,32,0.08912626310979971,14.291004234217496
