,Report_Date,USA_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,1,82.68965799955723,633492.1841780123,False,1,14.56241217767521,1266984.3683560244
1,2020-01-23,1,82.68965799955723,633492.1841780123,False,2,16.737848298396614,1266984.3683560244
2,2020-01-24,2,82.68965799955723,633492.1841780123,False,3,19.238261517470196,1266984.3683560244
3,2020-01-25,2,82.68965799955723,633492.1841780123,False,4,22.112196890543572,1266984.3683560244
4,2020-01-26,5,82.68965799955723,633492.1841780123,False,5,25.41545062144221,1266984.3683560244
5,2020-01-27,5,82.68965799955723,633492.1841780123,False,6,29.21215299881765,1266984.3683560244
6,2020-01-28,5,82.68965799955723,633492.1841780123,False,7,33.57601301359682,1266984.3683560244
7,2020-01-29,5,82.68965799955723,633492.1841780123,False,8,38.59174877908825,1266984.3683560244
8,2020-01-30,5,82.68965799955723,633492.1841780123,False,9,44.35673146903465,1266984.3683560244
9,2020-01-31,7,82.68965799955723,633492.1841780123,False,10,50.982874615911385,1266984.3683560244
10,2020-02-01,8,82.68965799955723,633492.1841780123,False,11,58.59880535102561,1266984.3683560244
11,2020-02-02,8,82.68965799955723,633492.1841780123,False,12,67.35235960955877,1266984.3683560244
12,2020-02-03,11,82.68965799955723,633492.1841780123,False,13,77.41344957072324,1266984.3683560244
13,2020-02-04,11,82.68965799955723,633492.1841780123,False,14,88.97735877359493,1266984.3683560244
14,2020-02-05,11,82.68965799955723,633492.1841780123,False,15,102.26852857771567,1266984.3683560244
15,2020-02-06,11,82.68965799955723,633492.1841780123,False,16,117.54490907812287,1266984.3683560244
16,2020-02-07,11,82.68965799955723,633492.1841780123,False,17,135.10295841260543,1266984.3683560244
17,2020-02-08,11,82.68965799955723,633492.1841780123,False,18,155.28338681470336,1266984.3683560244
18,2020-02-09,11,82.68965799955723,633492.1841780123,False,19,178.47775599681177,1266984.3683560244
19,2020-02-10,11,82.68965799955723,633492.1841780123,False,20,205.1360607521756,1266984.3683560244
20,2020-02-11,12,82.68965799955723,633492.1841780123,False,21,235.77543833557937,1266984.3683560244
21,2020-02-12,12,82.68965799955723,633492.1841780123,False,22,270.99017255157037,1266984.3683560244
22,2020-02-13,13,82.68965799955723,633492.1841780123,False,23,311.4631839199799,1266984.3683560244
23,2020-02-14,13,82.68965799955723,633492.1841780123,False,24,357.97922522171734,1266984.3683560244
24,2020-02-15,13,82.68965799955723,633492.1841780123,False,25,411.44003362427117,1266984.3683560244
25,2020-02-16,13,82.68965799955723,633492.1841780123,False,26,472.88172697114663,1266984.3683560244
26,2020-02-17,13,82.68965799955723,633492.1841780123,False,27,543.4947732748926,1266984.3683560244
27,2020-02-18,13,82.68965799955723,633492.1841780123,False,28,624.6469096206191,1266984.3683560244
28,2020-02-19,13,82.68965799955723,633492.1841780123,False,29,717.9094402661188,1266984.3683560244
29,2020-02-20,13,82.68965799955723,633492.1841780123,False,30,825.0874044721041,1266984.3683560244
30,2020-02-21,15,82.68965799955723,633492.1841780123,False,31,948.2541733171314,1266984.3683560244
31,2020-02-22,15,82.68965799955723,633492.1841780123,False,32,1089.7911122887622,1266984.3683560244
32,2020-02-23,15,82.68965799955723,633492.1841780123,False,33,1252.4330336536875,1266984.3683560244
33,2020-02-24,51,82.68965799955723,633492.1841780123,False,34,1439.3202603379937,1266984.3683560244
34,2020-02-25,51,82.68965799955723,633492.1841780123,False,35,1654.058232075366,1266984.3683560244
35,2020-02-26,57,82.68965799955723,633492.1841780123,False,36,1900.7857055581358,1266984.3683560244
36,2020-02-27,58,82.68965799955723,633492.1841780123,False,37,2184.2527336834974,1266984.3683560244
37,2020-02-28,60,82.68965799955723,633492.1841780123,False,38,2509.9097548025297,1266984.3683560244
38,2020-02-29,68,82.68965799955723,633492.1841780123,False,39,2884.0092807019905,1266984.3683560244
39,2020-03-01,74,82.68965799955723,633492.1841780123,False,40,3313.7218406607903,1266984.3683560244
40,2020-03-02,98,82.68965799955723,633492.1841780123,False,41,3807.268016023289,1266984.3683560244
41,2020-03-03,118,82.68965799955723,633492.1841780123,False,42,4374.0685815168235,1266984.3683560244
42,2020-03-04,149,82.68965799955723,633492.1841780123,False,43,5024.914950158554,1266984.3683560244
43,2020-03-05,217,82.68965799955723,633492.1841780123,False,44,5772.162289436344,1266984.3683560244
44,2020-03-06,262,82.68965799955723,633492.1841780123,False,45,6629.947825235851,1266984.3683560244
45,2020-03-07,402,82.68965799955723,633492.1841780123,False,46,7614.436959635863,1266984.3683560244
46,2020-03-08,518,82.68965799955723,633492.1841780123,False,47,8744.099875876394,1266984.3683560244
47,2020-03-09,583,82.68965799955723,633492.1841780123,False,48,10040.021257187625,1266984.3683560244
48,2020-03-10,959,82.68965799955723,633492.1841780123,False,49,11526.245564299114,1266984.3683560244
49,2020-03-11,1281,82.68965799955723,633492.1841780123,False,50,13230.159945267425,1266984.3683560244
50,2020-03-12,1663,82.68965799955723,633492.1841780123,False,51,15182.916221280699,1266984.3683560244
51,2020-03-13,2179,82.68965799955723,633492.1841780123,False,52,17419.89241537182,1266984.3683560244
52,2020-03-14,2727,82.68965799955723,633492.1841780123,False,53,19981.19285805786,1266984.3683560244
53,2020-03-15,3499,82.68965799955723,633492.1841780123,False,54,22912.18388131056,1266984.3683560244
54,2020-03-16,4632,82.68965799955723,633492.1841780123,False,55,26264.05934091247,1266984.3683560244
55,2020-03-17,6421,82.68965799955723,633492.1841780123,False,56,30094.42650339537,1266984.3683560244
56,2020-03-18,7783,82.68965799955723,633492.1841780123,False,57,34467.897993538085,1266984.3683560244
57,2020-03-19,13747,82.68965799955723,633492.1841780123,False,58,39456.669308697776,1266984.3683560244
58,2020-03-20,19273,82.68965799955723,633492.1841780123,False,59,45141.053664784384,1266984.3683560244
59,2020-03-21,25600,82.68965799955723,633492.1841780123,False,60,51609.93648736812,1266984.3683560244
60,2020-03-22,33276,82.68965799955723,633492.1841780123,False,61,58961.1006375866,1266984.3683560244
61,2020-03-23,43847,82.68965799955723,633492.1841780123,False,62,67301.36057303147,1266984.3683560244
62,2020-03-24,53740,82.68965799955723,633492.1841780123,False,63,76746.42946573214,1266984.3683560244
63,2020-03-25,65778,82.68965799955723,633492.1841780123,False,64,87420.42860858778,1266984.3683560244
64,2020-03-26,83836,82.68965799955723,633492.1841780123,False,65,99454.9345639884,1266984.3683560244
65,2020-03-27,101657,82.68965799955723,633492.1841780123,False,66,112987.44847773302,1266984.3683560244
66,2020-03-28,121478,82.68965799955723,633492.1841780123,False,67,128159.16667199267,1266984.3683560244
67,2020-03-29,140909,82.68965799955723,633492.1841780123,False,68,145111.93580998527,1266984.3683560244
68,2020-03-30,161837,82.68965799955723,633492.1841780123,False,69,163984.2941437208,1266984.3683560244
69,2020-03-31,188172,82.68965799955723,633492.1841780123,False,70,184906.53757918437,1266984.3683560244
70,2020-04-01,213372,82.68965799955723,633492.1841780123,False,71,207994.81015495464,1266984.3683560244
71,2020-04-02,243616,82.68965799955723,633492.1841780123,False,72,233344.30614120731,1266984.3683560244
72,2020-04-03,275586,82.68965799955723,633492.1841780123,False,73,261021.78528100665,1266984.3683560244
73,2020-04-04,308850,82.68965799955723,633492.1841780123,False,74,291057.7386205932,1266984.3683560244
74,2020-04-05,337072,82.68965799955723,633492.1841780123,False,75,323438.68803126126,1266984.3683560244
75,2020-04-06,366667,82.68965799955723,633492.1841780123,False,76,358100.2383495367,1266984.3683560244
76,2020-04-07,396223,82.68965799955723,633492.1841780123,False,77,394921.600595367,1266984.3683560244
77,2020-04-08,429052,82.68965799955723,633492.1841780123,False,78,433722.3378589904,1266984.3683560244
