,Report_Date,Peru_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,89.55879618501992,8737.010805144904,False,1,0.19870883404991424,17474.021610289805
1,2020-01-23,0,89.55879618501992,8737.010805144904,False,2,0.2259673762087884,17474.021610289805
2,2020-01-24,0,89.55879618501992,8737.010805144904,False,3,0.25696514414197863,17474.021610289805
3,2020-01-25,0,89.55879618501992,8737.010805144904,False,4,0.2922150548598023,17474.021610289805
4,2020-01-26,0,89.55879618501992,8737.010805144904,False,5,0.3323003784891488,17474.021610289805
5,2020-01-27,0,89.55879618501992,8737.010805144904,False,6,0.3778843867160248,17474.021610289805
6,2020-01-28,0,89.55879618501992,8737.010805144904,False,7,0.4297213240389199,17474.021610289805
7,2020-01-29,0,89.55879618501992,8737.010805144904,False,8,0.4886688830725323,17474.021610289805
8,2020-01-30,0,89.55879618501992,8737.010805144904,False,9,0.5557023899382634,17474.021610289805
9,2020-01-31,0,89.55879618501992,8737.010805144904,False,10,0.6319309339571775,17474.021610289805
10,2020-02-01,0,89.55879618501992,8737.010805144904,False,11,0.7186157078811911,17474.021610289805
11,2020-02-02,0,89.55879618501992,8737.010805144904,False,12,0.817190861278717,17474.021610289805
12,2020-02-03,0,89.55879618501992,8737.010805144904,False,13,0.9292872110205629,17474.021610289805
13,2020-02-04,0,89.55879618501992,8737.010805144904,False,14,1.0567591997573589,17474.021610289805
14,2020-02-05,0,89.55879618501992,8737.010805144904,False,15,1.2017155465957852,17474.021610289805
15,2020-02-06,0,89.55879618501992,8737.010805144904,False,16,1.366554094720995,17474.021610289805
16,2020-02-07,0,89.55879618501992,8737.010805144904,False,17,1.5540014294415798,17474.021610289805
17,2020-02-08,0,89.55879618501992,8737.010805144904,False,18,1.7671579181405874,17474.021610289805
18,2020-02-09,0,89.55879618501992,8737.010805144904,False,19,2.009548912130347,17474.021610289805
19,2020-02-10,0,89.55879618501992,8737.010805144904,False,20,2.2851829508148205,17474.021610289805
20,2020-02-11,0,89.55879618501992,8737.010805144904,False,21,2.5986179224188177,17474.021610289805
21,2020-02-12,0,89.55879618501992,8737.010805144904,False,22,2.9550362645990633,17474.021610289805
22,2020-02-13,0,89.55879618501992,8737.010805144904,False,23,3.360330434470383,17474.021610289805
23,2020-02-14,0,89.55879618501992,8737.010805144904,False,24,3.8212000431576802,17474.021610289805
24,2020-02-15,0,89.55879618501992,8737.010805144904,False,25,4.345262237372079,17474.021610289805
25,2020-02-16,0,89.55879618501992,8737.010805144904,False,26,4.941177122436188,17474.021610289805
26,2020-02-17,0,89.55879618501992,8737.010805144904,False,27,5.618790260674486,17474.021610289805
27,2020-02-18,0,89.55879618501992,8737.010805144904,False,28,6.389294549482212,17474.021610289805
28,2020-02-19,0,89.55879618501992,8737.010805144904,False,29,7.265414088362729,17474.021610289805
29,2020-02-20,0,89.55879618501992,8737.010805144904,False,30,8.26161298779077,17474.021610289805
30,2020-02-21,0,89.55879618501992,8737.010805144904,False,31,9.394332459268261,17474.021610289805
31,2020-02-22,0,89.55879618501992,8737.010805144904,False,32,10.682259960064322,17474.021610289805
32,2020-02-23,0,89.55879618501992,8737.010805144904,False,33,12.146634652837225,17474.021610289805
33,2020-02-24,0,89.55879618501992,8737.010805144904,False,34,13.811593984816911,17474.021610289805
34,2020-02-25,0,89.55879618501992,8737.010805144904,False,35,15.704566798810621,17474.021610289805
35,2020-02-26,0,89.55879618501992,8737.010805144904,False,36,17.856719064294072,17474.021610289805
36,2020-02-27,0,89.55879618501992,8737.010805144904,False,37,20.303459066356425,17474.021610289805
37,2020-02-28,0,89.55879618501992,8737.010805144904,False,38,23.085009717842443,17474.021610289805
38,2020-02-29,0,89.55879618501992,8737.010805144904,False,39,26.247056569310864,17474.021610289805
39,2020-03-01,0,89.55879618501992,8737.010805144904,False,40,29.841481084533743,17474.021610289805
40,2020-03-02,0,89.55879618501992,8737.010805144904,False,41,33.92718982608216,17474.021610289805
41,2020-03-03,0,89.55879618501992,8737.010805144904,False,42,38.57105135271138,17474.021610289805
42,2020-03-04,0,89.55879618501992,8737.010805144904,False,43,43.84895385984871,17474.021610289805
43,2020-03-05,0,89.55879618501992,8737.010805144904,False,44,49.84699788229937,17474.021610289805
44,2020-03-06,1,89.55879618501992,8737.010805144904,False,45,56.66283970163792,17474.021610289805
45,2020-03-07,1,89.55879618501992,8737.010805144904,False,46,64.4072024256525,17474.021610289805
46,2020-03-08,6,89.55879618501992,8737.010805144904,False,47,73.20557298474024,17474.021610289805
47,2020-03-09,7,89.55879618501992,8737.010805144904,False,48,83.20010445196714,17474.021610289805
48,2020-03-10,11,89.55879618501992,8737.010805144904,False,49,94.55174404614671,17474.021610289805
49,2020-03-11,11,89.55879618501992,8737.010805144904,False,50,107.44260779523933,17474.021610289805
50,2020-03-12,15,89.55879618501992,8737.010805144904,False,51,122.07862295455314,17474.021610289805
51,2020-03-13,28,89.55879618501992,8737.010805144904,False,52,138.69245867380906,17474.021610289805
52,2020-03-14,38,89.55879618501992,8737.010805144904,False,53,157.54676380957517,17474.021610289805
53,2020-03-15,43,89.55879618501992,8737.010805144904,False,54,178.93772782881638,17474.021610289805
54,2020-03-16,86,89.55879618501992,8737.010805144904,False,55,203.19897599746534,17474.021610289805
55,2020-03-17,117,89.55879618501992,8737.010805144904,False,56,230.70580293899818,17474.021610289805
56,2020-03-18,145,89.55879618501992,8737.010805144904,False,57,261.87973850182567,17474.021610289805
