,Report_Date,"Lao People""s Democratic Republic_cases",fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,74.02259192086206,11.14978628568003,True,1,0.0002605184051017225,20.02245195578713
1,2020-01-23,0,74.02259192086206,11.14978628568003,True,2,0.00030435784658511814,20.02245195578713
2,2020-01-24,0,74.02259192086206,11.14978628568003,True,3,0.0003555743714003552,20.02245195578713
3,2020-01-25,0,74.02259192086206,11.14978628568003,True,4,0.0004154093155456285,20.02245195578713
4,2020-01-26,0,74.02259192086206,11.14978628568003,True,5,0.00048531287798872085,20.02245195578713
5,2020-01-27,0,74.02259192086206,11.14978628568003,True,6,0.0005669792575252844,20.02245195578713
6,2020-01-28,0,74.02259192086206,11.14978628568003,True,7,0.0006623876985991297,20.02245195578713
7,2020-01-29,0,74.02259192086206,11.14978628568003,True,8,0.0007738504390333025,20.02245195578713
8,2020-01-30,0,74.02259192086206,11.14978628568003,True,9,0.0009040687191993246,20.02245195578713
9,2020-01-31,0,74.02259192086206,11.14978628568003,True,10,0.001056198206574657,20.02245195578713
10,2020-02-01,0,74.02259192086206,11.14978628568003,True,11,0.0012339254165223566,20.02245195578713
11,2020-02-02,0,74.02259192086206,11.14978628568003,True,12,0.0014415569748412174,20.02245195578713
12,2020-02-03,0,74.02259192086206,11.14978628568003,True,13,0.001684123876418097,20.02245195578713
13,2020-02-04,0,74.02259192086206,11.14978628568003,True,14,0.00196750325440871,20.02245195578713
14,2020-02-05,0,74.02259192086206,11.14978628568003,True,15,0.0022985605941764397,20.02245195578713
15,2020-02-06,0,74.02259192086206,11.14978628568003,True,16,0.0026853158154549707,20.02245195578713
16,2020-02-07,0,74.02259192086206,11.14978628568003,True,17,0.0031371372161128385,20.02245195578713
17,2020-02-08,0,74.02259192086206,11.14978628568003,True,18,0.003664967934460834,20.02245195578713
18,2020-02-09,0,74.02259192086206,11.14978628568003,True,19,0.004281590359195896,20.02245195578713
19,2020-02-10,0,74.02259192086206,11.14978628568003,True,20,0.00500193481397294,20.02245195578713
20,2020-02-11,0,74.02259192086206,11.14978628568003,True,21,0.005843439886875246,20.02245195578713
21,2020-02-12,0,74.02259192086206,11.14978628568003,True,22,0.006826472986102749,20.02245195578713
22,2020-02-13,0,74.02259192086206,11.14978628568003,True,23,0.007974821107418708,20.02245195578713
23,2020-02-14,0,74.02259192086206,11.14978628568003,True,24,0.009316263424943317,20.02245195578713
24,2020-02-15,0,74.02259192086206,11.14978628568003,True,25,0.010883239196842346,20.02245195578713
25,2020-02-16,0,74.02259192086206,11.14978628568003,True,26,0.012713626646921154,20.02245195578713
26,2020-02-17,0,74.02259192086206,11.14978628568003,True,27,0.014851650981112349,20.02245195578713
27,2020-02-18,0,74.02259192086206,11.14978628568003,True,28,0.017348942566430096,20.02245195578713
28,2020-02-19,0,74.02259192086206,11.14978628568003,True,29,0.02026576958360618,20.02245195578713
29,2020-02-20,0,74.02259192086206,11.14978628568003,True,30,0.0236724732088565,20.02245195578713
30,2020-02-21,0,74.02259192086206,11.14978628568003,True,31,0.02765113762960223,20.02245195578713
31,2020-02-22,0,74.02259192086206,11.14978628568003,True,32,0.03229753199386188,20.02245195578713
32,2020-02-23,0,74.02259192086206,11.14978628568003,True,33,0.03772336676489296,20.02245195578713
33,2020-02-24,0,74.02259192086206,11.14978628568003,True,34,0.04405891291710993,20.02245195578713
34,2020-02-25,0,74.02259192086206,11.14978628568003,True,35,0.05145603895627925,20.02245195578713
35,2020-02-26,0,74.02259192086206,11.14978628568003,True,36,0.06009172782692457,20.02245195578713
36,2020-02-27,0,74.02259192086206,11.14978628568003,True,37,0.07017214327455107,20.02245195578713
37,2020-02-28,0,74.02259192086206,11.14978628568003,True,38,0.08193732296670184,20.02245195578713
38,2020-02-29,0,74.02259192086206,11.14978628568003,True,39,0.09566658333180499,20.02245195578713
39,2020-03-01,0,74.02259192086206,11.14978628568003,True,40,0.11168472816779397,20.02245195578713
40,2020-03-02,0,74.02259192086206,11.14978628568003,True,41,0.13036915889376463,20.02245195578713
41,2020-03-03,0,74.02259192086206,11.14978628568003,True,42,0.15215798784786408,20.02245195578713
42,2020-03-04,0,74.02259192086206,11.14978628568003,True,43,0.17755925584136809,20.02245195578713
43,2020-03-05,0,74.02259192086206,11.14978628568003,True,44,0.20716134929077235,20.02245195578713
44,2020-03-06,0,74.02259192086206,11.14978628568003,True,45,0.24164469800051006,20.02245195578713
45,2020-03-07,0,74.02259192086206,11.14978628568003,True,46,0.2817948085177903,20.02245195578713
46,2020-03-08,0,74.02259192086206,11.14978628568003,True,47,0.32851664531427266,20.02245195578713
47,2020-03-09,0,74.02259192086206,11.14978628568003,True,48,0.38285030698152084,20.02245195578713
48,2020-03-10,0,74.02259192086206,11.14978628568003,True,49,0.44598784983718137,20.02245195578713
49,2020-03-11,0,74.02259192086206,11.14978628568003,True,50,0.51929097799985,20.02245195578713
50,2020-03-12,0,74.02259192086206,11.14978628568003,True,51,0.6043091368943319,20.02245195578713
51,2020-03-13,0,74.02259192086206,11.14978628568003,True,52,0.7027973051732793,20.02245195578713
52,2020-03-14,0,74.02259192086206,11.14978628568003,True,53,0.8167324671792981,20.02245195578713
53,2020-03-15,0,74.02259192086206,11.14978628568003,True,54,0.9483273553165196,20.02245195578713
54,2020-03-16,0,74.02259192086206,11.14978628568003,True,55,1.1000395751477134,20.02245195578713
55,2020-03-17,0,74.02259192086206,11.14978628568003,True,56,1.2745736715967122,20.02245195578713
