,Report_Date,Italy_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,64.06739286858391,74808.54917749106,True,1,4.683624990818478,146751.12586095757
1,2020-01-23,0,64.06739286858391,74808.54917749106,True,2,5.5207930215915555,146751.12586095757
2,2020-01-24,0,64.06739286858391,74808.54917749106,True,3,6.507592978211909,146751.12586095757
3,2020-01-25,0,64.06739286858391,74808.54917749106,True,4,7.670766912990222,146751.12586095757
4,2020-01-26,0,64.06739286858391,74808.54917749106,True,5,9.041835201186167,146751.12586095757
5,2020-01-27,0,64.06739286858391,74808.54917749106,True,6,10.65794995684604,146751.12586095757
6,2020-01-28,0,64.06739286858391,74808.54917749106,True,7,12.562900720329115,146751.12586095757
7,2020-01-29,0,64.06739286858391,74808.54917749106,True,8,14.80829952846403,146751.12586095757
8,2020-01-30,0,64.06739286858391,74808.54917749106,True,9,17.45497728247182,146751.12586095757
9,2020-01-31,2,64.06739286858391,74808.54917749106,True,10,20.57462897544641,146751.12586095757
10,2020-02-01,2,64.06739286858391,74808.54917749106,True,11,24.251751974555443,146751.12586095757
11,2020-02-02,2,64.06739286858391,74808.54917749106,True,12,28.585929340803034,146751.12586095757
12,2020-02-03,2,64.06739286858391,74808.54917749106,True,13,33.69451930531994,146751.12586095757
13,2020-02-04,2,64.06739286858391,74808.54917749106,True,14,39.715822729831594,146751.12586095757
14,2020-02-05,2,64.06739286858391,74808.54917749106,True,15,46.81281291782722,146751.12586095757
15,2020-02-06,2,64.06739286858391,74808.54917749106,True,16,55.17752680661929,146751.12586095757
16,2020-02-07,3,64.06739286858391,74808.54917749106,True,17,65.03623369363798,146751.12586095757
17,2020-02-08,3,64.06739286858391,74808.54917749106,True,18,76.65551761008285,146751.12586095757
18,2020-02-09,3,64.06739286858391,74808.54917749106,True,19,90.34943267194302,146751.12586095757
19,2020-02-10,3,64.06739286858391,74808.54917749106,True,20,106.48791767480442,146751.12586095757
20,2020-02-11,3,64.06739286858391,74808.54917749106,True,21,125.50668735396087,146751.12586095757
21,2020-02-12,3,64.06739286858391,74808.54917749106,True,22,147.91885363024986,146751.12586095757
22,2020-02-13,3,64.06739286858391,74808.54917749106,True,23,174.32857133658877,146751.12586095757
23,2020-02-14,3,64.06739286858391,74808.54917749106,True,24,205.44704987751564,146751.12586095757
24,2020-02-15,3,64.06739286858391,74808.54917749106,True,25,242.11132544757416,146751.12586095757
25,2020-02-16,3,64.06739286858391,74808.54917749106,True,26,285.30624811010233,146751.12586095757
26,2020-02-17,3,64.06739286858391,74808.54917749106,True,27,336.19020424600996,146751.12586095757
27,2020-02-18,3,64.06739286858391,74808.54917749106,True,28,396.1251672404179,146751.12586095757
28,2020-02-19,3,64.06739286858391,74808.54917749106,True,29,466.71174676774734,146751.12586095757
29,2020-02-20,3,64.06739286858391,74808.54917749106,True,30,549.8299877033203,146751.12586095757
30,2020-02-21,20,64.06739286858391,74808.54917749106,True,31,647.6867502010037,146751.12586095757
31,2020-02-22,62,64.06739286858391,74808.54917749106,True,32,762.8705775485132,146751.12586095757
32,2020-02-23,155,64.06739286858391,74808.54917749106,True,33,898.415020029652,146751.12586095757
33,2020-02-24,229,64.06739286858391,74808.54917749106,True,34,1057.8714194123165,146751.12586095757
34,2020-02-25,322,64.06739286858391,74808.54917749106,True,35,1245.3921529825486,146751.12586095757
35,2020-02-26,453,64.06739286858391,74808.54917749106,True,36,1465.825264637829,146751.12586095757
36,2020-02-27,655,64.06739286858391,74808.54917749106,True,37,1724.8212410108522,146751.12586095757
37,2020-02-28,888,64.06739286858391,74808.54917749106,True,38,2028.9523792971602,146751.12586095757
38,2020-02-29,1128,64.06739286858391,74808.54917749106,True,39,2385.8446829851628,146751.12586095757
39,2020-03-01,1694,64.06739286858391,74808.54917749106,True,40,2804.3214382942533,146751.12586095757
40,2020-03-02,2036,64.06739286858391,74808.54917749106,True,41,3294.556475912532,146751.12586095757
41,2020-03-03,2502,64.06739286858391,74808.54917749106,True,42,3868.233499399562,146751.12586095757
42,2020-03-04,3089,64.06739286858391,74808.54917749106,True,43,4538.705638192761,146751.12586095757
43,2020-03-05,3858,64.06739286858391,74808.54917749106,True,44,5321.146428636628,146751.12586095757
44,2020-03-06,4636,64.06739286858391,74808.54917749106,True,45,6232.679623241472,146751.12586095757
45,2020-03-07,5883,64.06739286858391,74808.54917749106,True,46,7292.47050570552,146751.12586095757
46,2020-03-08,7375,64.06739286858391,74808.54917749106,True,47,8521.755776894348,146751.12586095757
47,2020-03-09,9172,64.06739286858391,74808.54917749106,True,48,9943.782784457291,146751.12586095757
48,2020-03-10,10149,64.06739286858391,74808.54917749106,True,49,11583.622392015306,146751.12586095757
49,2020-03-11,12462,64.06739286858391,74808.54917749106,True,50,13467.814034053148,146751.12586095757
50,2020-03-12,12462,64.06739286858391,74808.54917749106,True,51,15623.797936358913,146751.12586095757
51,2020-03-13,17660,64.06739286858391,74808.54917749106,True,52,18079.09018763466,146751.12586095757
52,2020-03-14,21157,64.06739286858391,74808.54917749106,True,53,20860.164011783803,146751.12586095757
53,2020-03-15,24747,64.06739286858391,74808.54917749106,True,54,23991.018229560206,146751.12586095757
54,2020-03-16,27980,64.06739286858391,74808.54917749106,True,55,27491.444238238113,146751.12586095757
55,2020-03-17,31506,64.06739286858391,74808.54917749106,True,56,31375.04724684156,146751.12586095757
56,2020-03-18,35713,64.06739286858391,74808.54917749106,True,57,35647.13453163938,146751.12586095757
