,Report_Date,UK_anguilla_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,84.33410558086028,3.7534902697802375,False,1,0.006964269201527775,0.020237345069847885
1,2020-01-23,0,84.33410558086028,3.7534902697802375,False,2,0.007572272678932872,0.020237345069847885
2,2020-01-24,0,84.33410558086028,3.7534902697802375,False,3,0.00823329857791275,0.020237345069847885
3,2020-01-25,0,84.33410558086028,3.7534902697802375,False,4,0.008951960231575335,0.020237345069847885
4,2020-01-26,0,84.33410558086028,3.7534902697802375,False,5,0.009733270432560294,0.020237345069847885
5,2020-01-27,0,84.33410558086028,3.7534902697802375,False,6,0.010582675669139716,0.020237345069847885
6,2020-01-28,0,84.33410558086028,3.7534902697802375,False,7,0.011506093231260653,0.020237345069847885
7,2020-01-29,0,84.33410558086028,3.7534902697802375,False,8,0.012509951415313634,0.020237345069847885
8,2020-01-30,0,84.33410558086028,3.7534902697802375,False,9,0.013601233072453001,0.020237345069847885
9,2020-01-31,0,84.33410558086028,3.7534902697802375,False,10,0.014787522762036204,0.020237345069847885
10,2020-02-01,0,84.33410558086028,3.7534902697802375,False,11,0.016077057789128223,0.020237345069847885
11,2020-02-02,0,84.33410558086028,3.7534902697802375,False,12,0.017478783422946138,0.020237345069847885
12,2020-02-03,0,84.33410558086028,3.7534902697802375,False,13,0.019002412611477285,0.020237345069847885
13,2020-02-04,0,84.33410558086028,3.7534902697802375,False,14,0.02065849052613358,0.020237345069847885
14,2020-02-05,0,84.33410558086028,3.7534902697802375,False,15,0.02245846428899881,0.020237345069847885
15,2020-02-06,0,84.33410558086028,3.7534902697802375,False,16,0.02441475825372372,0.020237345069847885
16,2020-02-07,0,84.33410558086028,3.7534902697802375,False,17,0.0265408552290979,0.020237345069847885
17,2020-02-08,0,84.33410558086028,3.7534902697802375,False,18,0.028851384051369732,0.020237345069847885
18,2020-02-09,0,84.33410558086028,3.7534902697802375,False,19,0.031362213926997895,0.020237345069847885
19,2020-02-10,0,84.33410558086028,3.7534902697802375,False,20,0.034090555981087955,0.020237345069847885
20,2020-02-11,0,84.33410558086028,3.7534902697802375,False,21,0.03705507245755853,0.020237345069847885
21,2020-02-12,0,84.33410558086028,3.7534902697802375,False,22,0.04027599402420442,0.020237345069847885
22,2020-02-13,0,84.33410558086028,3.7534902697802375,False,23,0.04377524563821674,0.020237345069847885
23,2020-02-14,0,84.33410558086028,3.7534902697802375,False,24,0.04757658142411793,0.020237345069847885
24,2020-02-15,0,84.33410558086028,3.7534902697802375,False,25,0.05170572900497959,0.020237345069847885
25,2020-02-16,0,84.33410558086028,3.7534902697802375,False,26,0.056190543707451794,0.020237345069847885
26,2020-02-17,0,84.33410558086028,3.7534902697802375,False,27,0.061061173029484155,0.020237345069847885
27,2020-02-18,0,84.33410558086028,3.7534902697802375,False,28,0.06635023171426463,0.020237345069847885
28,2020-02-19,0,84.33410558086028,3.7534902697802375,False,29,0.07209298771205595,0.020237345069847885
29,2020-02-20,0,84.33410558086028,3.7534902697802375,False,30,0.07832755923007614,0.020237345069847885
30,2020-02-21,0,84.33410558086028,3.7534902697802375,False,31,0.08509512296567497,0.020237345069847885
31,2020-02-22,0,84.33410558086028,3.7534902697802375,False,32,0.09244013348563448,0.020237345069847885
32,2020-02-23,0,84.33410558086028,3.7534902697802375,False,33,0.10041055354975406,0.020237345069847885
33,2020-02-24,0,84.33410558086028,3.7534902697802375,False,34,0.10905809497468681,0.020237345069847885
34,2020-02-25,0,84.33410558086028,3.7534902697802375,False,35,0.11843846938841313,0.020237345069847885
35,2020-02-26,0,84.33410558086028,3.7534902697802375,False,36,0.1286116479303208,0.020237345069847885
36,2020-02-27,0,84.33410558086028,3.7534902697802375,False,37,0.13964212859961772,0.020237345069847885
37,2020-02-28,0,84.33410558086028,3.7534902697802375,False,38,0.15159920953825393,0.020237345069847885
38,2020-02-29,0,84.33410558086028,3.7534902697802375,False,39,0.16455726604582055,0.020237345069847885
39,2020-03-01,0,84.33410558086028,3.7534902697802375,False,40,0.17859602855497939,0.020237345069847885
40,2020-03-02,0,84.33410558086028,3.7534902697802375,False,41,0.19380085813886036,0.020237345069847885
41,2020-03-03,0,84.33410558086028,3.7534902697802375,False,42,0.21026301536894848,0.020237345069847885
42,2020-03-04,0,84.33410558086028,3.7534902697802375,False,43,0.22807991748655612,0.020237345069847885
43,2020-03-05,0,84.33410558086028,3.7534902697802375,False,44,0.24735537788779222,0.020237345069847885
44,2020-03-06,0,84.33410558086028,3.7534902697802375,False,45,0.2681998208480284,0.020237345069847885
45,2020-03-07,0,84.33410558086028,3.7534902697802375,False,46,0.2907304632274875,0.020237345069847885
46,2020-03-08,0,84.33410558086028,3.7534902697802375,False,47,0.3150714536094325,0.020237345069847885
47,2020-03-09,0,84.33410558086028,3.7534902697802375,False,48,0.3413539579370494,0.020237345069847885
48,2020-03-10,0,84.33410558086028,3.7534902697802375,False,49,0.36971617925256417,0.020237345069847885
49,2020-03-11,0,84.33410558086028,3.7534902697802375,False,50,0.4003032976298431,0.020237345069847885
50,2020-03-12,0,84.33410558086028,3.7534902697802375,False,51,0.43326731486867276,0.020237345069847885
51,2020-03-13,0,84.33410558086028,3.7534902697802375,False,52,0.4687667870377084,0.020237345069847885
52,2020-03-14,0,84.33410558086028,3.7534902697802375,False,53,0.5069664265823494,0.020237345069847885
53,2020-03-15,0,84.33410558086028,3.7534902697802375,False,54,0.5480365545400898,0.020237345069847885
54,2020-03-16,0,84.33410558086028,3.7534902697802375,False,55,0.5921523825355477,0.020237345069847885
55,2020-03-17,0,84.33410558086028,3.7534902697802375,False,56,0.6394931037874151,0.020237345069847885
56,2020-03-18,0,84.33410558086028,3.7534902697802375,False,57,0.6902407724976098,0.020237345069847885
57,2020-03-19,0,84.33410558086028,3.7534902697802375,False,58,0.744578951875573,0.020237345069847885
58,2020-03-20,0,84.33410558086028,3.7534902697802375,False,59,0.8026911128597368,0.020237345069847885
59,2020-03-21,0,84.33410558086028,3.7534902697802375,False,60,0.8647587685241339,0.020237345069847885
60,2020-03-22,0,84.33410558086028,3.7534902697802375,False,61,0.9309593333904388,0.020237345069847885
61,2020-03-23,0,84.33410558086028,3.7534902697802375,False,62,1.0014637025792656,0.020237345069847885
62,2020-03-24,0,84.33410558086028,3.7534902697802375,False,63,1.0764335530722056,0.020237345069847885
63,2020-03-25,0,84.33410558086028,3.7534902697802375,False,64,1.1560183784070388,0.020237345069847885
64,2020-03-26,0,84.33410558086028,3.7534902697802375,False,65,1.2403522789036214,0.020237345069847885
65,2020-03-27,0,84.33410558086028,3.7534902697802375,False,66,1.3295505419222642,0.020237345069847885
66,2020-03-28,2,84.33410558086028,3.7534902697802375,False,67,1.423706060462113,0.020237345069847885
67,2020-03-29,2,84.33410558086028,3.7534902697802375,False,68,1.5228856532287633,0.020237345069847885
68,2020-03-30,2,84.33410558086028,3.7534902697802375,False,69,1.6271263645769964,0.020237345069847885
69,2020-03-31,2,84.33410558086028,3.7534902697802375,False,70,1.7364318377219008,0.020237345069847885
70,2020-04-01,2,84.33410558086028,3.7534902697802375,False,71,1.850768868391129,0.020237345069847885
71,2020-04-02,3,84.33410558086028,3.7534902697802375,False,72,1.9700642575978418,0.020237345069847885
72,2020-04-03,3,84.33410558086028,3.7534902697802375,False,73,2.094202090289158,0.020237345069847885
