,Report_Date,Cote d'Ivoire_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,81.86971427759582,510.0969956574502,False,1,0.011742225264631083,1020.1939913149001
1,2020-01-23,0,81.86971427759582,510.0969956574502,False,2,0.013515194433909345,1020.1939913149001
2,2020-01-24,0,81.86971427759582,510.0969956574502,False,3,0.015555861733067456,1020.1939913149001
3,2020-01-25,0,81.86971427759582,510.0969956574502,False,4,0.017904645201800278,1020.1939913149001
4,2020-01-26,0,81.86971427759582,510.0969956574502,False,5,0.020608064912236313,1020.1939913149001
5,2020-01-27,0,81.86971427759582,510.0969956574502,False,6,0.0237196640712011,1020.1939913149001
6,2020-01-28,0,81.86971427759582,510.0969956574502,False,7,0.027301069117520883,1020.1939913149001
7,2020-01-29,0,81.86971427759582,510.0969956574502,False,8,0.03142320977407361,1020.1939913149001
8,2020-01-30,0,81.86971427759582,510.0969956574502,False,9,0.03616772317011312,1020.1939913149001
9,2020-01-31,0,81.86971427759582,510.0969956574502,False,10,0.04162856977881336,1020.1939913149001
10,2020-02-01,0,81.86971427759582,510.0969956574502,False,11,0.04791389308856913,1020.1939913149001
11,2020-02-02,0,81.86971427759582,510.0969956574502,False,12,0.05514815972526539,1020.1939913149001
12,2020-02-03,0,81.86971427759582,510.0969956574502,False,13,0.06347462225921995,1020.1939913149001
13,2020-02-04,0,81.86971427759582,510.0969956574502,False,14,0.07305815327100704,1020.1939913149001
14,2020-02-05,0,81.86971427759582,510.0969956574502,False,15,0.08408850653640484,1020.1939913149001
15,2020-02-06,0,81.86971427759582,510.0969956574502,False,16,0.09678406956120444,1020.1939913149001
16,2020-02-07,0,81.86971427759582,510.0969956574502,False,17,0.11139618131023497,1020.1939913149001
17,2020-02-08,0,81.86971427759582,510.0969956574502,False,18,0.12821410001266964,1020.1939913149001
18,2020-02-09,0,81.86971427759582,510.0969956574502,False,19,0.1475707185935995,1020.1939913149001
19,2020-02-10,0,81.86971427759582,510.0969956574502,False,20,0.16984913981435118,1020.1939913149001
20,2020-02-11,0,81.86971427759582,510.0969956574502,False,21,0.19549023986701078,1020.1939913149001
21,2020-02-12,0,81.86971427759582,510.0969956574502,False,22,0.22500136826313039,1020.1939913149001
