,Report_Date,Germany_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,70.19504871601478,72774.02864699603,True,1,1.7148707439753588,138101.58970606097
1,2020-01-23,0,70.19504871601478,72774.02864699603,True,2,2.020508000505192,138101.58970606097
2,2020-01-24,0,70.19504871601478,72774.02864699603,True,3,2.3806173535392725,138101.58970606097
3,2020-01-25,0,70.19504871601478,72774.02864699603,True,4,2.8049067281282003,138101.58970606097
4,2020-01-26,0,70.19504871601478,72774.02864699603,True,5,3.3048140450492607,138101.58970606097
5,2020-01-27,1,70.19504871601478,72774.02864699603,True,6,3.893815461663579,138101.58970606097
6,2020-01-28,4,70.19504871601478,72774.02864699603,True,7,4.587788513148373,138101.58970606097
7,2020-01-29,4,70.19504871601478,72774.02864699603,True,8,5.405439924480797,138101.58970606097
8,2020-01-30,4,70.19504871601478,72774.02864699603,True,9,6.36880959928925,138101.58970606097
9,2020-01-31,5,70.19504871601478,72774.02864699603,True,10,7.503864334601626,138101.58970606097
10,2020-02-01,8,70.19504871601478,72774.02864699603,True,11,8.841197214507446,138101.58970606097
11,2020-02-02,10,70.19504871601478,72774.02864699603,True,12,10.416851463989035,138101.58970606097
12,2020-02-03,12,70.19504871601478,72774.02864699603,True,13,12.273290870647275,138101.58970606097
13,2020-02-04,12,70.19504871601478,72774.02864699603,True,14,14.460542793283265,138101.58970606097
14,2020-02-05,12,70.19504871601478,72774.02864699603,True,15,17.037544373378235,138101.58970606097
15,2020-02-06,12,70.19504871601478,72774.02864699603,True,16,20.0737279663162,138101.58970606097
16,2020-02-07,13,70.19504871601478,72774.02864699603,True,17,23.650888150916746,138101.58970606097
17,2020-02-08,13,70.19504871601478,72774.02864699603,True,18,27.865380117799976,138101.58970606097
18,2020-02-09,14,70.19504871601478,72774.02864699603,True,19,32.830707963755536,138101.58970606097
19,2020-02-10,14,70.19504871601478,72774.02864699603,True,20,38.68057164348191,138101.58970606097
20,2020-02-11,16,70.19504871601478,72774.02864699603,True,21,45.572453296361964,138101.58970606097
21,2020-02-12,16,70.19504871601478,72774.02864699603,True,22,53.6918376538873,138101.58970606097
22,2020-02-13,16,70.19504871601478,72774.02864699603,True,23,63.2571775603786,138101.58970606097
23,2020-02-14,16,70.19504871601478,72774.02864699603,True,24,74.52573466331911,138101.58970606097
24,2020-02-15,16,70.19504871601478,72774.02864699603,True,25,87.8004474484164,138101.58970606097
25,2020-02-16,16,70.19504871601478,72774.02864699603,True,26,103.43800444651961,138101.58970606097
26,2020-02-17,16,70.19504871601478,72774.02864699603,True,27,121.85833009753563,138101.58970606097
27,2020-02-18,16,70.19504871601478,72774.02864699603,True,28,143.55572491782115,138101.58970606097
28,2020-02-19,16,70.19504871601478,72774.02864699603,True,29,169.1119407859261,138101.58970606097
29,2020-02-20,16,70.19504871601478,72774.02864699603,True,30,199.21151681765735,138101.58970606097
30,2020-02-21,16,70.19504871601478,72774.02864699603,True,31,234.65975185673383,138101.58970606097
31,2020-02-22,16,70.19504871601478,72774.02864699603,True,32,276.40374633503086,138101.58970606097
32,2020-02-23,16,70.19504871601478,72774.02864699603,True,33,325.5570091898124,138101.58970606097
33,2020-02-24,16,70.19504871601478,72774.02864699603,True,34,383.42819431135115,138101.58970606097
34,2020-02-25,17,70.19504871601478,72774.02864699603,True,35,451.5546046859321,138101.58970606097
35,2020-02-26,27,70.19504871601478,72774.02864699603,True,36,531.74117916559,138101.58970606097
36,2020-02-27,46,70.19504871601478,72774.02864699603,True,37,626.1057535226759,138101.58970606097
37,2020-02-28,48,70.19504871601478,72774.02864699603,True,38,737.1314591931539,138101.58970606097
38,2020-02-29,79,70.19504871601478,72774.02864699603,True,39,867.7271823813114,138101.58970606097
39,2020-03-01,130,70.19504871601478,72774.02864699603,True,40,1021.297041979843,138101.58970606097
40,2020-03-02,159,70.19504871601478,72774.02864699603,True,41,1201.819841288321,138101.58970606097
41,2020-03-03,196,70.19504871601478,72774.02864699603,True,42,1413.9393837059022,138101.58970606097
42,2020-03-04,262,70.19504871601478,72774.02864699603,True,43,1663.0663861145224,138101.58970606097
43,2020-03-05,482,70.19504871601478,72774.02864699603,True,44,1955.492434769792,138101.58970606097
44,2020-03-06,670,70.19504871601478,72774.02864699603,True,45,2298.51595346984,138101.58970606097
45,2020-03-07,799,70.19504871601478,72774.02864699603,True,46,2700.5794235597673,138101.58970606097
46,2020-03-08,1040,70.19504871601478,72774.02864699603,True,47,3171.416023835249,138101.58970606097
47,2020-03-09,1176,70.19504871601478,72774.02864699603,True,48,3722.202342180759,138101.58970606097
48,2020-03-10,1457,70.19504871601478,72774.02864699603,True,49,4365.711731887906,138101.58970606097
49,2020-03-11,1908,70.19504871601478,72774.02864699603,True,50,5116.460119982588,138101.58970606097
50,2020-03-12,2078,70.19504871601478,72774.02864699603,True,51,5990.832509556495,138101.58970606097
51,2020-03-13,3675,70.19504871601478,72774.02864699603,True,52,7007.173981702815,138101.58970606097
52,2020-03-14,4585,70.19504871601478,72774.02864699603,True,53,8185.823714681116,138101.58970606097
53,2020-03-15,5795,70.19504871601478,72774.02864699603,True,54,9549.064581484166,138101.58970606097
54,2020-03-16,7272,70.19504871601478,72774.02864699603,True,55,11120.954707546322,138101.58970606097
55,2020-03-17,9257,70.19504871601478,72774.02864699603,True,56,12927.0017960733,138101.58970606097
56,2020-03-18,12327,70.19504871601478,72774.02864699603,True,57,14993.637393958654,138101.58970606097
57,2020-03-19,15320,70.19504871601478,72774.02864699603,True,58,17347.44850467525,138101.58970606097
