,Report_Date,Montenegro_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,80.68629891681256,324.70198499822345,False,1,0.007489939674105046,649.4039699964467
1,2020-01-23,0,80.68629891681256,324.70198499822345,False,2,0.008638651241760163,649.4039699964467
2,2020-01-24,0,80.68629891681256,324.70198499822345,False,3,0.009963534858552957,649.4039699964467
3,2020-01-25,0,80.68629891681256,324.70198499822345,False,4,0.011491608242716571,649.4039699964467
4,2020-01-26,0,80.68629891681256,324.70198499822345,False,5,0.013254032250767808,649.4039699964467
5,2020-01-27,0,80.68629891681256,324.70198499822345,False,6,0.015286746125983705,649.4039699964467
6,2020-01-28,0,80.68629891681256,324.70198499822345,False,7,0.017631200114472088,649.4039699964467
7,2020-01-29,0,80.68629891681256,324.70198499822345,False,8,0.02033520036221635,649.4039699964467
8,2020-01-30,0,80.68629891681256,324.70198499822345,False,9,0.02345388328718525,649.4039699964467
9,2020-01-31,0,80.68629891681256,324.70198499822345,False,10,0.027050839248940188,649.4039699964467
10,2020-02-01,0,80.68629891681256,324.70198499822345,False,11,0.03119940836674757,649.4039699964467
11,2020-02-02,0,80.68629891681256,324.70198499822345,False,12,0.035984174826448063,649.4039699964467
12,2020-02-03,0,80.68629891681256,324.70198499822345,False,13,0.041502690035639986,649.4039699964467
13,2020-02-04,0,80.68629891681256,324.70198499822345,False,14,0.04786745961571836,649.4039699964467
14,2020-02-05,0,80.68629891681256,324.70198499822345,False,15,0.05520823454925173,649.4039699964467
15,2020-02-06,0,80.68629891681256,324.70198499822345,False,16,0.06367465293661674,649.4039699964467
16,2020-02-07,0,80.68629891681256,324.70198499822345,False,17,0.07343928587634335,649.4039699964467
17,2020-02-08,0,80.68629891681256,324.70198499822345,False,18,0.08470114910589441,649.4039699964467
18,2020-02-09,0,80.68629891681256,324.70198499822345,False,19,0.09768975137948703,649.4039699964467
19,2020-02-10,0,80.68629891681256,324.70198499822345,False,20,0.11266976129455034,649.4039699964467
20,2020-02-11,0,80.68629891681256,324.70198499822345,False,21,0.12994638661017155,649.4039699964467
21,2020-02-12,0,80.68629891681256,324.70198499822345,False,22,0.14987157425796957,649.4039699964467
22,2020-02-13,0,80.68629891681256,324.70198499822345,False,23,0.17285115548649194,649.4039699964467
23,2020-02-14,0,80.68629891681256,324.70198499822345,False,24,0.1993530791951904,649.4039699964467
24,2020-02-15,0,80.68629891681256,324.70198499822345,False,25,0.22991689782915628,649.4039699964467
25,2020-02-16,0,80.68629891681256,324.70198499822345,False,26,0.2651646945844101,649.4039699964467
26,2020-02-17,0,80.68629891681256,324.70198499822345,False,27,0.3058136685180542,649.4039699964467
27,2020-02-18,0,80.68629891681256,324.70198499822345,False,28,0.3526906259101552,649.4039699964467
28,2020-02-19,0,80.68629891681256,324.70198499822345,False,29,0.40674866236561674,649.4039699964467
29,2020-02-20,0,80.68629891681256,324.70198499822345,False,30,0.46908636119051184,649.4039699964467
30,2020-02-21,0,80.68629891681256,324.70198499822345,False,31,0.540969880072505,649.4039699964467
31,2020-02-22,0,80.68629891681256,324.70198499822345,False,32,0.6238583505994032,649.4039699964467
32,2020-02-23,0,80.68629891681256,324.70198499822345,False,33,0.7194330742208631,649.4039699964467
33,2020-02-24,0,80.68629891681256,324.70198499822345,False,34,0.8296310644218331,649.4039699964467
34,2020-02-25,0,80.68629891681256,324.70198499822345,False,35,0.9566835585849472,649.4039699964467
35,2020-02-26,0,80.68629891681256,324.70198499822345,False,36,1.1031602045929008,649.4039699964467
36,2020-02-27,0,80.68629891681256,324.70198499822345,False,37,1.2720197167651308,649.4039699964467
37,2020-02-28,0,80.68629891681256,324.70198499822345,False,38,1.4666678930101629,649.4039699964467
38,2020-02-29,0,80.68629891681256,324.70198499822345,False,39,1.691023989394707,649.4039699964467
39,2020-03-01,0,80.68629891681256,324.70198499822345,False,40,1.9495965582769734,649.4039699964467
40,2020-03-02,0,80.68629891681256,324.70198499822345,False,41,2.247569969346249,649.4039699964467
41,2020-03-03,0,80.68629891681256,324.70198499822345,False,42,2.5909029456350035,649.4039699964467
42,2020-03-04,0,80.68629891681256,324.70198499822345,False,43,2.9864405532884404,649.4039699964467
43,2020-03-05,0,80.68629891681256,324.70198499822345,False,44,3.4420411766202035,649.4039699964467
44,2020-03-06,0,80.68629891681256,324.70198499822345,False,45,3.9667200775657383,649.4039699964467
45,2020-03-07,0,80.68629891681256,324.70198499822345,False,46,4.570811165677245,649.4039699964467
46,2020-03-08,0,80.68629891681256,324.70198499822345,False,47,5.266148570480603,649.4039699964467
47,2020-03-09,0,80.68629891681256,324.70198499822345,False,48,6.066269484642465,649.4039699964467
48,2020-03-10,0,80.68629891681256,324.70198499822345,False,49,6.9866394976716695,649.4039699964467
49,2020-03-11,0,80.68629891681256,324.70198499822345,False,50,8.044901218931482,649.4039699964467
50,2020-03-12,0,80.68629891681256,324.70198499822345,False,51,9.261146336034683,649.4039699964467
51,2020-03-13,0,80.68629891681256,324.70198499822345,False,52,10.658210295984478,649.4039699964467
52,2020-03-14,0,80.68629891681256,324.70198499822345,False,53,12.26198744107198,649.4039699964467
53,2020-03-15,0,80.68629891681256,324.70198499822345,False,54,14.101762571770704,649.4039699964467
54,2020-03-16,0,80.68629891681256,324.70198499822345,False,55,16.210552420801974,649.4039699964467
55,2020-03-17,2,80.68629891681256,324.70198499822345,False,56,18.62544727031005,649.4039699964467
56,2020-03-18,2,80.68629891681256,324.70198499822345,False,57,21.387938788775656,649.4039699964467
57,2020-03-19,3,80.68629891681256,324.70198499822345,False,58,24.544214980229288,649.4039699964467
58,2020-03-20,14,80.68629891681256,324.70198499822345,False,59,28.145396839588685,649.4039699964467
59,2020-03-21,14,80.68629891681256,324.70198499822345,False,60,32.247683888728815,649.4039699964467
60,2020-03-22,21,80.68629891681256,324.70198499822345,False,61,36.912367359952086,649.4039699964467
61,2020-03-23,27,80.68629891681256,324.70198499822345,False,62,42.20566074304036,649.4039699964467
62,2020-03-24,47,80.68629891681256,324.70198499822345,False,63,48.19828837517312,649.4039699964467
