,Report_Date,Iran_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,71.98853643877271,49523.83357263161,True,1,37.643422495914784,84707.81252848603
1,2020-01-23,0,71.98853643877271,49523.83357263161,True,2,42.0577844908063,84707.81252848603
2,2020-01-24,0,71.98853643877271,49523.83357263161,True,3,46.98956340241035,84707.81252848603
3,2020-01-25,0,71.98853643877271,49523.83357263161,True,4,52.4993457954959,84707.81252848603
4,2020-01-26,0,71.98853643877271,49523.83357263161,True,5,58.65479743587174,84707.81252848603
5,2020-01-27,0,71.98853643877271,49523.83357263161,True,6,65.53148669714774,84707.81252848603
6,2020-01-28,0,71.98853643877271,49523.83357263161,True,7,73.21380280727521,84707.81252848603
7,2020-01-29,0,71.98853643877271,49523.83357263161,True,8,81.79597962608392,84707.81252848603
8,2020-01-30,0,71.98853643877271,49523.83357263161,True,9,91.38323679203795,84707.81252848603
9,2020-01-31,0,71.98853643877271,49523.83357263161,True,10,102.0930513316845,84707.81252848603
10,2020-02-01,0,71.98853643877271,49523.83357263161,True,11,114.0565741950562,84707.81252848603
11,2020-02-02,0,71.98853643877271,49523.83357263161,True,12,127.42020767009782,84707.81252848603
12,2020-02-03,0,71.98853643877271,49523.83357263161,True,13,142.34736124324417,84707.81252848603
13,2020-02-04,0,71.98853643877271,49523.83357263161,True,14,159.02040521394704,84707.81252848603
14,2020-02-05,0,71.98853643877271,49523.83357263161,True,15,177.64284323798367,84707.81252848603
15,2020-02-06,0,71.98853643877271,49523.83357263161,True,16,198.4417269639303,84707.81252848603
16,2020-02-07,0,71.98853643877271,49523.83357263161,True,17,221.6703380305769,84707.81252848603
17,2020-02-08,0,71.98853643877271,49523.83357263161,True,18,247.6111648952272,84707.81252848603
18,2020-02-09,0,71.98853643877271,49523.83357263161,True,19,276.57920424039304,84707.81252848603
19,2020-02-10,0,71.98853643877271,49523.83357263161,True,20,308.9256190252073,84707.81252848603
20,2020-02-11,0,71.98853643877271,49523.83357263161,True,21,345.04178756010225,84707.81252848603
21,2020-02-12,0,71.98853643877271,49523.83357263161,True,22,385.36378022367194,84707.81252848603
22,2020-02-13,0,71.98853643877271,49523.83357263161,True,23,430.3773025220673,84707.81252848603
23,2020-02-14,0,71.98853643877271,49523.83357263161,True,24,480.6231449994028,84707.81252848603
24,2020-02-15,0,71.98853643877271,49523.83357263161,True,25,536.7031818944037,84707.81252848603
25,2020-02-16,0,71.98853643877271,49523.83357263161,True,26,599.2869612143274,84707.81252848603
26,2020-02-17,0,71.98853643877271,49523.83357263161,True,27,669.1189288219894,84707.81252848603
27,2020-02-18,0,71.98853643877271,49523.83357263161,True,28,747.0263279043018,84707.81252848603
28,2020-02-19,2,71.98853643877271,49523.83357263161,True,29,833.9278124367437,84707.81252848603
29,2020-02-20,5,71.98853643877271,49523.83357263161,True,30,930.8428085164435,84707.81252848603
30,2020-02-21,18,71.98853643877271,49523.83357263161,True,31,1038.901650144255,84707.81252848603
31,2020-02-22,28,71.98853643877271,49523.83357263161,True,32,1159.3565055130653,84707.81252848603
32,2020-02-23,43,71.98853643877271,49523.83357263161,True,33,1293.5930952918625,84707.81252848603
33,2020-02-24,61,71.98853643877271,49523.83357263161,True,34,1443.1431848208513,84707.81252848603
34,2020-02-25,95,71.98853643877271,49523.83357263161,True,35,1609.6978064298087,84707.81252848603
35,2020-02-26,139,71.98853643877271,49523.83357263161,True,36,1795.1211349709338,84707.81252848603
36,2020-02-27,245,71.98853643877271,49523.83357263161,True,37,2001.4648976659514,84707.81252848603
37,2020-02-28,388,71.98853643877271,49523.83357263161,True,38,2230.983146906462,84707.81252848603
38,2020-02-29,593,71.98853643877271,49523.83357263161,True,39,2486.1471600110613,84707.81252848603
39,2020-03-01,978,71.98853643877271,49523.83357263161,True,40,2769.660151390414,84707.81252848603
40,2020-03-02,1501,71.98853643877271,49523.83357263161,True,41,3084.4713884352473,84707.81252848603
41,2020-03-03,2336,71.98853643877271,49523.83357263161,True,42,3433.7891912977775,84707.81252848603
42,2020-03-04,2922,71.98853643877271,49523.83357263161,True,43,3821.0921676409757,84707.81252848603
43,2020-03-05,3513,71.98853643877271,49523.83357263161,True,44,4250.137886246023,84707.81252848603
44,2020-03-06,4747,71.98853643877271,49523.83357263161,True,45,4724.968029195807,84707.81252848603
45,2020-03-07,5823,71.98853643877271,49523.83357263161,True,46,5249.908884071236,84707.81252848603
46,2020-03-08,6566,71.98853643877271,49523.83357263161,True,47,5829.56585052843,84707.81252848603
47,2020-03-09,7161,71.98853643877271,49523.83357263161,True,48,6468.81044829669,84707.81252848603
48,2020-03-10,8042,71.98853643877271,49523.83357263161,True,49,7172.758138615391,84707.81252848603
49,2020-03-11,9000,71.98853643877271,49523.83357263161,True,50,7946.7351258354665,84707.81252848603
50,2020-03-12,10075,71.98853643877271,49523.83357263161,True,51,8796.232213309158,84707.81252848603
51,2020-03-13,11364,71.98853643877271,49523.83357263161,True,52,9726.843776631136,84707.81252848603
52,2020-03-14,12729,71.98853643877271,49523.83357263161,True,53,10744.190022279376,84707.81252848603
53,2020-03-15,13938,71.98853643877271,49523.83357263161,True,54,11853.820959736979,84707.81252848603
54,2020-03-16,14991,71.98853643877271,49523.83357263161,True,55,13061.100971310998,84707.81252848603
55,2020-03-17,16169,71.98853643877271,49523.83357263161,True,56,14371.073555108893,84707.81252848603
56,2020-03-18,17361,71.98853643877271,49523.83357263161,True,57,15788.306773929125,84707.81252848603
57,2020-03-19,18407,71.98853643877271,49523.83357263161,True,58,17316.721181071687,84707.81252848603
58,2020-03-20,19644,71.98853643877271,49523.83357263161,True,59,18959.403502586967,84707.81252848603
59,2020-03-21,20610,71.98853643877271,49523.83357263161,True,60,20718.411087780216,84707.81252848603
60,2020-03-22,21638,71.98853643877271,49523.83357263161,True,61,22594.57400445014,84707.81252848603
61,2020-03-23,23049,71.98853643877271,49523.83357263161,True,62,24587.30351024831,84707.81252848603
62,2020-03-24,24811,71.98853643877271,49523.83357263161,True,63,26694.417284488274,84707.81252848603
63,2020-03-25,27017,71.98853643877271,49523.83357263161,True,64,28911.99302327867,84707.81252848603
64,2020-03-26,29406,71.98853643877271,49523.83357263161,True,65,31234.262533677735,84707.81252848603
65,2020-03-27,32332,71.98853643877271,49523.83357263161,True,66,33653.55807255331,84707.81252848603
66,2020-03-28,35408,71.98853643877271,49523.83357263161,True,67,36160.32118246181,84707.81252848603
67,2020-03-29,38309,71.98853643877271,49523.83357263161,True,68,38743.18160192473,84707.81252848603
68,2020-03-30,41495,71.98853643877271,49523.83357263161,True,69,41389.11003503336,84707.81252848603
69,2020-03-31,44605,71.98853643877271,49523.83357263161,True,70,44083.64388501505,84707.81252848603
70,2020-04-01,47593,71.98853643877271,49523.83357263161,True,71,46811.179880356554,84707.81252848603
71,2020-04-02,50468,71.98853643877271,49523.83357263161,True,72,49555.322369441295,84707.81252848603
72,2020-04-03,53183,71.98853643877271,49523.83357263161,True,73,52299.27151018833,84707.81252848603
73,2020-04-04,55743,71.98853643877271,49523.83357263161,True,74,55026.23218754614,84707.81252848603
74,2020-04-05,58226,71.98853643877271,49523.83357263161,True,75,57719.82268711585,84707.81252848603
75,2020-04-06,60500,71.98853643877271,49523.83357263161,True,76,60364.462174570705,84707.81252848603
76,2020-04-07,62589,71.98853643877271,49523.83357263161,True,77,62945.71787506471,84707.81252848603
77,2020-04-08,64586,71.98853643877271,49523.83357263161,True,78,65450.59627243137,84707.81252848603
