,Report_Date,Belgium_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,75.33044073045252,19925.599122706986,True,1,0.4643126908873023,34827.83850248607
1,2020-01-23,0,75.33044073045252,19925.599122706986,True,2,0.5409834120151541,34827.83850248607
2,2020-01-24,0,75.33044073045252,19925.599122706986,True,3,0.6303143653866671,34827.83850248607
3,2020-01-25,0,75.33044073045252,19925.599122706986,True,4,0.7343959968596033,34827.83850248607
4,2020-01-26,0,75.33044073045252,19925.599122706986,True,5,0.8556638991857901,34827.83850248607
5,2020-01-27,0,75.33044073045252,19925.599122706986,True,6,0.9969557889706471,34827.83850248607
6,2020-01-28,0,75.33044073045252,19925.599122706986,True,7,1.161577886135731,34827.83850248607
7,2020-01-29,0,75.33044073045252,19925.599122706986,True,8,1.3533822463428296,34827.83850248607
8,2020-01-30,0,75.33044073045252,19925.599122706986,True,9,1.5768568520880593,34827.83850248607
9,2020-01-31,0,75.33044073045252,19925.599122706986,True,10,1.8372305652961518,34827.83850248607
10,2020-02-01,0,75.33044073045252,19925.599122706986,True,11,2.140595390053694,34827.83850248607
11,2020-02-02,0,75.33044073045252,19925.599122706986,True,12,2.4940488965207233,34827.83850248607
12,2020-02-03,0,75.33044073045252,19925.599122706986,True,13,2.905860125215059,34827.83850248607
13,2020-02-04,1,75.33044073045252,19925.599122706986,True,14,3.3856628353834477,34827.83850248607
14,2020-02-05,1,75.33044073045252,19925.599122706986,True,15,3.9446805943318095,34827.83850248607
15,2020-02-06,1,75.33044073045252,19925.599122706986,True,16,4.595988940564439,34827.83850248607
16,2020-02-07,1,75.33044073045252,19925.599122706986,True,17,5.354820708738746,34827.83850248607
17,2020-02-08,1,75.33044073045252,19925.599122706986,True,18,6.2389215976188925,34827.83850248607
18,2020-02-09,1,75.33044073045252,19925.599122706986,True,19,7.268964215061441,34827.83850248607
19,2020-02-10,1,75.33044073045252,19925.599122706986,True,20,8.469030171412662,34827.83850248607
20,2020-02-11,1,75.33044073045252,19925.599122706986,True,21,9.867171342913725,34827.83850248607
21,2020-02-12,1,75.33044073045252,19925.599122706986,True,22,11.49606322211225,34827.83850248607
22,2020-02-13,1,75.33044073045252,19925.599122706986,True,23,13.39376534951082,34827.83850248607
23,2020-02-14,1,75.33044073045252,19925.599122706986,True,24,15.604606221078063,34827.83850248607
24,2020-02-15,1,75.33044073045252,19925.599122706986,True,25,18.18021283611907,34827.83850248607
