,Report_Date,Singapore_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,97.24629099642472,4525.623835751529,False,1,4.112221227813603,9051.247671503059
1,2020-01-23,1,97.24629099642472,4525.623835751529,False,2,4.454387315296261,9051.247671503059
2,2020-01-24,3,97.24629099642472,4525.623835751529,False,3,4.825008873732441,9051.247671503059
3,2020-01-25,3,97.24629099642472,4525.623835751529,False,4,5.226449706518244,9051.247671503059
4,2020-01-26,4,97.24629099642472,4525.623835751529,False,5,5.661269522738104,9051.247671503059
5,2020-01-27,5,97.24629099642472,4525.623835751529,False,6,6.132240094252837,9051.247671503059
6,2020-01-28,7,97.24629099642472,4525.623835751529,False,7,6.642362731611817,9051.247671503059
7,2020-01-29,7,97.24629099642472,4525.623835751529,False,8,7.194887184053852,9051.247671503059
8,2020-01-30,10,97.24629099642472,4525.623835751529,False,9,7.793332076845744,9051.247671503059
9,2020-01-31,13,97.24629099642472,4525.623835751529,False,10,8.441507007723349,9051.247671503059
10,2020-02-01,16,97.24629099642472,4525.623835751529,False,11,9.14353643326846,9051.247671503059
11,2020-02-02,18,97.24629099642472,4525.623835751529,False,12,9.90388548569592,9051.247671503059
12,2020-02-03,18,97.24629099642472,4525.623835751529,False,13,10.72738787075537,9051.247671503059
13,2020-02-04,24,97.24629099642472,4525.623835751529,False,14,11.619276008284144,9051.247671503059
14,2020-02-05,28,97.24629099642472,4525.623835751529,False,15,12.585213588389882,9051.247671503059
15,2020-02-06,28,97.24629099642472,4525.623835751529,False,16,13.63133072829509,9051.247671503059
16,2020-02-07,30,97.24629099642472,4525.623835751529,False,17,14.764261927534939,9051.247671503059
17,2020-02-08,33,97.24629099642472,4525.623835751529,False,18,15.991187032447357,9051.247671503059
18,2020-02-09,40,97.24629099642472,4525.623835751529,False,19,17.31987543470301,9051.247671503059
19,2020-02-10,45,97.24629099642472,4525.623835751529,False,20,18.75873374294763,9051.247671503059
20,2020-02-11,47,97.24629099642472,4525.623835751529,False,21,20.316857181408942,9051.247671503059
21,2020-02-12,50,97.24629099642472,4525.623835751529,False,22,22.004084984471135,9051.247671503059
22,2020-02-13,58,97.24629099642472,4525.623835751529,False,23,23.8310600716303,9051.247671503059
23,2020-02-14,67,97.24629099642472,4525.623835751529,False,24,25.809293302773263,9051.247671503059
24,2020-02-15,72,97.24629099642472,4525.623835751529,False,25,27.95123262918849,9051.247671503059
25,2020-02-16,75,97.24629099642472,4525.623835751529,False,26,30.270337470898443,9051.247671503059
26,2020-02-17,77,97.24629099642472,4525.623835751529,False,27,32.78115866551852,9051.247671503059
27,2020-02-18,81,97.24629099642472,4525.623835751529,False,28,35.499424347561515,9051.247671503059
28,2020-02-19,84,97.24629099642472,4525.623835751529,False,29,38.442132129505545,9051.247671503059
29,2020-02-20,84,97.24629099642472,4525.623835751529,False,30,41.6276479665321,9051.247671503059
30,2020-02-21,85,97.24629099642472,4525.623835751529,False,31,45.07581209502562,9051.247671503059
31,2020-02-22,85,97.24629099642472,4525.623835751529,False,32,48.80805243999945,9051.247671503059
32,2020-02-23,89,97.24629099642472,4525.623835751529,False,33,52.84750588773707,9051.247671503059
33,2020-02-24,89,97.24629099642472,4525.623835751529,False,34,57.21914781612526,9051.247671503059
34,2020-02-25,91,97.24629099642472,4525.623835751529,False,35,61.94993026524811,9051.247671503059
35,2020-02-26,93,97.24629099642472,4525.623835751529,False,36,67.06892911345602,9051.247671503059
36,2020-02-27,93,97.24629099642472,4525.623835751529,False,37,72.60750059774894,9051.247671503059
37,2020-02-28,93,97.24629099642472,4525.623835751529,False,38,78.59944748010167,9051.247671503059
38,2020-02-29,102,97.24629099642472,4525.623835751529,False,39,85.08119511121764,9051.247671503059
39,2020-03-01,106,97.24629099642472,4525.623835751529,False,40,92.09197757773127,9051.247671503059
40,2020-03-02,108,97.24629099642472,4525.623835751529,False,41,99.67403403535931,9051.247671503059
41,2020-03-03,110,97.24629099642472,4525.623835751529,False,42,107.87281522583966,9051.247671503059
42,2020-03-04,110,97.24629099642472,4525.623835751529,False,43,116.73720004621732,9051.247671503059
43,2020-03-05,117,97.24629099642472,4525.623835751529,False,44,126.31972188126063,9051.247671503059
44,2020-03-06,130,97.24629099642472,4525.623835751529,False,45,136.6768042192146,9051.247671503059
45,2020-03-07,138,97.24629099642472,4525.623835751529,False,46,147.86900484300168,9051.247671503059
46,2020-03-08,150,97.24629099642472,4525.623835751529,False,47,159.96126761822953,9051.247671503059
47,2020-03-09,150,97.24629099642472,4525.623835751529,False,48,173.02318058045788,9051.247671503059
48,2020-03-10,160,97.24629099642472,4525.623835751529,False,49,187.1292386512907,9051.247671503059
49,2020-03-11,178,97.24629099642472,4525.623835751529,False,50,202.35910887996675,9051.247671503059
50,2020-03-12,178,97.24629099642472,4525.623835751529,False,51,218.79789560810784,9051.247671503059
51,2020-03-13,200,97.24629099642472,4525.623835751529,False,52,236.53640238418274,9051.247671503059
52,2020-03-14,212,97.24629099642472,4525.623835751529,False,53,255.67138680545716,9051.247671503059
53,2020-03-15,226,97.24629099642472,4525.623835751529,False,54,276.3058037339151,9051.247671503059
54,2020-03-16,243,97.24629099642472,4525.623835751529,False,55,298.5490315151954,9051.247671503059
55,2020-03-17,266,97.24629099642472,4525.623835751529,False,56,322.5170749241592,9051.247671503059
56,2020-03-18,313,97.24629099642472,4525.623835751529,False,57,348.332737567858,9051.247671503059
57,2020-03-19,345,97.24629099642472,4525.623835751529,False,58,376.1257554003591,9051.247671503059
58,2020-03-20,385,97.24629099642472,4525.623835751529,False,59,406.032881852288,9051.247671503059
59,2020-03-21,432,97.24629099642472,4525.623835751529,False,60,438.1979138647907,9051.247671503059
60,2020-03-22,455,97.24629099642472,4525.623835751529,False,61,472.77164686329934,9051.247671503059
61,2020-03-23,509,97.24629099642472,4525.623835751529,False,62,509.9117454397214,9051.247671503059
62,2020-03-24,558,97.24629099642472,4525.623835751529,False,63,549.7825152707602,9051.247671503059
63,2020-03-25,631,97.24629099642472,4525.623835751529,False,64,592.5545606347619,9051.247671503059
