,Report_Date,West Bank and Gaza_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,91.96275560317059,773.4338966139088,False,1,0.09609199039437016,1546.8677932278172
1,2020-01-23,0,91.96275560317059,773.4338966139088,False,2,0.10688850112157379,1546.8677932278172
2,2020-01-24,0,91.96275560317059,773.4338966139088,False,3,0.11889797125630609,1546.8677932278172
3,2020-01-25,0,91.96275560317059,773.4338966139088,False,4,0.13225665144789253,1546.8677932278172
4,2020-01-26,0,91.96275560317059,773.4338966139088,False,5,0.14711609200762824,1546.8677932278172
5,2020-01-27,0,91.96275560317059,773.4338966139088,False,6,0.16364485966995157,1546.8677932278172
6,2020-01-28,0,91.96275560317059,773.4338966139088,False,7,0.1820304466939754,1546.8677932278172
7,2020-01-29,0,91.96275560317059,773.4338966139088,False,8,0.20248139378432065,1546.8677932278172
8,2020-01-30,0,91.96275560317059,773.4338966139088,False,9,0.22522965069208797,1546.8677932278172
9,2020-01-31,0,91.96275560317059,773.4338966139088,False,10,0.25053320099885623,1546.8677932278172
10,2020-02-01,0,91.96275560317059,773.4338966139088,False,11,0.27867898051627643,1546.8677932278172
11,2020-02-02,0,91.96275560317059,773.4338966139088,False,12,0.30998612198126196,1546.8677932278172
12,2020-02-03,0,91.96275560317059,773.4338966139088,False,13,0.34480956232496957,1546.8677932278172
13,2020-02-04,0,91.96275560317059,773.4338966139088,False,14,0.3835440527787854,1546.8677932278172
14,2020-02-05,0,91.96275560317059,773.4338966139088,False,15,0.4266286164917154,1546.8677932278172
15,2020-02-06,0,91.96275560317059,773.4338966139088,False,16,0.47455150321371437,1546.8677932278172
16,2020-02-07,0,91.96275560317059,773.4338966139088,False,17,0.5278556959949635,1546.8677932278172
17,2020-02-08,0,91.96275560317059,773.4338966139088,False,18,0.5871450308120398,1546.8677932278172
18,2020-02-09,0,91.96275560317059,773.4338966139088,False,19,0.6530909966122453,1546.8677932278172
19,2020-02-10,0,91.96275560317059,773.4338966139088,False,20,0.7264402905248007,1546.8677932278172
20,2020-02-11,0,91.96275560317059,773.4338966139088,False,21,0.8080232109835896,1546.8677932278172
21,2020-02-12,0,91.96275560317059,773.4338966139088,False,22,0.898762980305591,1546.8677932278172
22,2020-02-13,0,91.96275560317059,773.4338966139088,False,23,0.9996860979400226,1546.8677932278172
23,2020-02-14,0,91.96275560317059,773.4338966139088,False,24,1.1119338362159608,1546.8677932278172
24,2020-02-15,0,91.96275560317059,773.4338966139088,False,25,1.2367750020427675,1546.8677932278172
25,2020-02-16,0,91.96275560317059,773.4338966139088,False,26,1.3756201007301487,1546.8677932278172
26,2020-02-17,0,91.96275560317059,773.4338966139088,False,27,1.530037051963714,1546.8677932278172
27,2020-02-18,0,91.96275560317059,773.4338966139088,False,28,1.7017686230641604,1546.8677932278172
28,2020-02-19,0,91.96275560317059,773.4338966139088,False,29,1.8927517610332085,1546.8677932278172
29,2020-02-20,0,91.96275560317059,773.4338966139088,False,30,2.1051390225955817,1546.8677932278172
30,2020-02-21,0,91.96275560317059,773.4338966139088,False,31,2.3413223205156966,1546.8677932278172
31,2020-02-22,0,91.96275560317059,773.4338966139088,False,32,2.603959224909085,1546.8677932278172
32,2020-02-23,0,91.96275560317059,773.4338966139088,False,33,2.896002080059177,1546.8677932278172
33,2020-02-24,0,91.96275560317059,773.4338966139088,False,34,3.220730220324833,1546.8677932278172
34,2020-02-25,0,91.96275560317059,773.4338966139088,False,35,3.5817855929620466,1546.8677932278172
35,2020-02-26,0,91.96275560317059,773.4338966139088,False,36,3.9832121208912943,1546.8677932278172
36,2020-02-27,0,91.96275560317059,773.4338966139088,False,37,4.429499164334218,1546.8677932278172
37,2020-02-28,0,91.96275560317059,773.4338966139088,False,38,4.9256294664150575,1546.8677932278172
38,2020-02-29,0,91.96275560317059,773.4338966139088,False,39,5.477131993720539,1546.8677932278172
39,2020-03-01,0,91.96275560317059,773.4338966139088,False,40,6.090140107696749,1546.8677932278172
40,2020-03-02,0,91.96275560317059,773.4338966139088,False,41,6.771455525661354,1546.8677932278172
41,2020-03-03,0,91.96275560317059,773.4338966139088,False,42,7.528618549866735,1546.8677932278172
42,2020-03-04,0,91.96275560317059,773.4338966139088,False,43,8.369985057856134,1546.8677932278172
43,2020-03-05,4,91.96275560317059,773.4338966139088,False,44,9.304810755275962,1546.8677932278172
44,2020-03-06,7,91.96275560317059,773.4338966139088,False,45,10.34334319079297,1546.8677932278172
45,2020-03-07,16,91.96275560317059,773.4338966139088,False,46,11.496922018646554,1546.8677932278172
46,2020-03-08,16,91.96275560317059,773.4338966139088,False,47,12.778087963742166,1546.8677932278172
47,2020-03-09,19,91.96275560317059,773.4338966139088,False,48,14.200700892292659,1546.8677932278172
48,2020-03-10,26,91.96275560317059,773.4338966139088,False,49,15.780067312066887,1546.8677932278172
49,2020-03-11,30,91.96275560317059,773.4338966139088,False,50,17.533077513374465,1546.8677932278172
50,2020-03-12,30,91.96275560317059,773.4338966139088,False,51,19.478352406758205,1546.8677932278172
51,2020-03-13,31,91.96275560317059,773.4338966139088,False,52,21.636399906279273,1546.8677932278172
52,2020-03-14,35,91.96275560317059,773.4338966139088,False,53,24.02978043698516,1546.8677932278172
53,2020-03-15,38,91.96275560317059,773.4338966139088,False,54,26.683280798709912,1546.8677932278172
54,2020-03-16,38,91.96275560317059,773.4338966139088,False,55,29.62409518117994,1546.8677932278172
55,2020-03-17,39,91.96275560317059,773.4338966139088,False,56,32.88201158135904,1546.8677932278172
