,Report_Date,China_hunan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,4,12.907537326049118,508.97087985122454,True,1,32.92204381616528,1017.9417592013851
1,2020-01-23,9,12.907537326049118,508.97087985122454,True,2,43.33347810511606,1017.9417592013851
2,2020-01-24,24,12.907537326049118,508.97087985122454,True,3,56.84745673638157,1017.9417592013851
3,2020-01-25,43,12.907537326049118,508.97087985122454,True,4,74.25480695090067,1017.9417592013851
4,2020-01-26,69,12.907537326049118,508.97087985122454,True,5,96.45752576618607,1017.9417592013851
5,2020-01-27,100,12.907537326049118,508.97087985122454,True,6,124.42370436308734,1017.9417592013851
6,2020-01-28,143,12.907537326049118,508.97087985122454,True,7,159.09825480557595,1017.9417592013851
7,2020-01-29,221,12.907537326049118,508.97087985122454,True,8,201.2593878475688,1017.9417592013851
8,2020-01-30,277,12.907537326049118,508.97087985122454,True,9,251.32376667756148,1017.9417592013851
9,2020-01-31,332,12.907537326049118,508.97087985122454,True,10,309.1279668605329,1017.9417592013851
10,2020-02-01,389,12.907537326049118,508.97087985122454,True,11,373.74547277525977,1017.9417592013851
11,2020-02-02,463,12.907537326049118,508.97087985122454,True,12,443.42029598288934,1017.9417592013851
12,2020-02-03,521,12.907537326049118,508.97087985122454,True,13,515.6862810139518,1017.9417592013851
13,2020-02-04,593,12.907537326049118,508.97087985122454,True,14,587.6824702769013,1017.9417592013851
14,2020-02-05,661,12.907537326049118,508.97087985122454,True,15,656.589987453511,1017.9417592013851
15,2020-02-06,711,12.907537326049118,508.97087985122454,True,16,720.0555737092483,1017.9417592013851
16,2020-02-07,772,12.907537326049118,508.97087985122454,True,17,776.4737765182081,1017.9417592013851
17,2020-02-08,803,12.907537326049118,508.97087985122454,True,18,825.0688016219085,1017.9417592013851
18,2020-02-09,838,12.907537326049118,508.97087985122454,True,19,865.8003764924276,1017.9417592013851
19,2020-02-10,879,12.907537326049118,508.97087985122454,True,20,899.1684003219174,1017.9417592013851
20,2020-02-11,912,12.907537326049118,508.97087985122454,True,21,925.995263615125,1017.9417592013851
21,2020-02-12,946,12.907537326049118,508.97087985122454,True,22,947.2392972965882,1017.9417592013851
22,2020-02-13,968,12.907537326049118,508.97087985122454,True,23,963.861604742384,1017.9417592013851
23,2020-02-14,988,12.907537326049118,508.97087985122454,True,24,976.7459284491111,1017.9417592013851
