,Report_Date,San Marino_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,58.43552947881194,138.53663867487913,True,1,0.01707116405977062,275.20074399549793
1,2020-01-23,0,58.43552947881194,138.53663867487913,True,2,0.020209850397758848,275.20074399549793
2,2020-01-24,0,58.43552947881194,138.53663867487913,True,3,0.02392556248320037,275.20074399549793
3,2020-01-25,0,58.43552947881194,138.53663867487913,True,4,0.028324362495017626,275.20074399549793
4,2020-01-26,0,58.43552947881194,138.53663867487913,True,5,0.03353179969806307,275.20074399549793
5,2020-01-27,0,58.43552947881194,138.53663867487913,True,6,0.039696487631871294,275.20074399549793
6,2020-01-28,0,58.43552947881194,138.53663867487913,True,7,0.046994336658698094,275.20074399549793
7,2020-01-29,0,58.43552947881194,138.53663867487913,True,8,0.05563356141584088,275.20074399549793
8,2020-01-30,0,58.43552947881194,138.53663867487913,True,9,0.06586060431443067,275.20074399549793
9,2020-01-31,0,58.43552947881194,138.53663867487913,True,10,0.07796714164151308,275.20074399549793
10,2020-02-01,0,58.43552947881194,138.53663867487913,True,11,0.09229836869477627,275.20074399549793
11,2020-02-02,0,58.43552947881194,138.53663867487913,True,12,0.1092627954435049,275.20074399549793
12,2020-02-03,0,58.43552947881194,138.53663867487913,True,13,0.12934382529973606,275.20074399549793
13,2020-02-04,0,58.43552947881194,138.53663867487913,True,14,0.15311343764037139,275.20074399549793
14,2020-02-05,0,58.43552947881194,138.53663867487913,True,15,0.18124835079069934,275.20074399549793
15,2020-02-06,0,58.43552947881194,138.53663867487913,True,16,0.2145491074086448,275.20074399549793
16,2020-02-07,0,58.43552947881194,138.53663867487913,True,17,0.2539625998250556,275.20074399549793
17,2020-02-08,0,58.43552947881194,138.53663867487913,True,18,0.3006086401728674,275.20074399549793
18,2020-02-09,0,58.43552947881194,138.53663867487913,True,19,0.35581128033694,275.20074399549793
19,2020-02-10,0,58.43552947881194,138.53663867487913,True,20,0.4211357010236136,275.20074399549793
20,2020-02-11,0,58.43552947881194,138.53663867487913,True,21,0.49843161846607925,275.20074399549793
21,2020-02-12,0,58.43552947881194,138.53663867487913,True,22,0.5898843018358269,275.20074399549793
22,2020-02-13,0,58.43552947881194,138.53663867487913,True,23,0.6980744538788808,275.20074399549793
23,2020-02-14,0,58.43552947881194,138.53663867487913,True,24,0.8260483798810396,275.20074399549793
24,2020-02-15,0,58.43552947881194,138.53663867487913,True,25,0.9774000520301991,275.20074399549793
25,2020-02-16,0,58.43552947881194,138.53663867487913,True,26,1.1563668608652125,275.20074399549793
26,2020-02-17,0,58.43552947881194,138.53663867487913,True,27,1.3679410217727554,275.20074399549793
27,2020-02-18,0,58.43552947881194,138.53663867487913,True,28,1.6179987553262678,275.20074399549793
28,2020-02-19,0,58.43552947881194,138.53663867487913,True,29,1.9134494600820737,275.20074399549793
29,2020-02-20,0,58.43552947881194,138.53663867487913,True,30,2.2624071080629506,275.20074399549793
30,2020-02-21,0,58.43552947881194,138.53663867487913,True,31,2.6743859637408325,275.20074399549793
31,2020-02-22,0,58.43552947881194,138.53663867487913,True,32,3.1605223834506426,275.20074399549793
32,2020-02-23,0,58.43552947881194,138.53663867487913,True,33,3.7338237939171424,275.20074399549793
33,2020-02-24,0,58.43552947881194,138.53663867487913,True,34,4.409444843042773,275.20074399549793
34,2020-02-25,0,58.43552947881194,138.53663867487913,True,35,5.204988990926192,275.20074399549793
35,2020-02-26,0,58.43552947881194,138.53663867487913,True,36,6.140831247540155,275.20074399549793
36,2020-02-27,1,58.43552947881194,138.53663867487913,True,37,7.240454103762604,275.20074399549793
37,2020-02-28,1,58.43552947881194,138.53663867487913,True,38,8.530783645342154,275.20074399549793
38,2020-02-29,1,58.43552947881194,138.53663867487913,True,39,10.042506071374522,275.20074399549793
39,2020-03-01,1,58.43552947881194,138.53663867487913,True,40,11.810336080151739,275.20074399549793
40,2020-03-02,8,58.43552947881194,138.53663867487913,True,41,13.873197675583096,275.20074399549793
41,2020-03-03,10,58.43552947881194,138.53663867487913,True,42,16.274264984810205,275.20074399549793
42,2020-03-04,16,58.43552947881194,138.53663867487913,True,43,19.060796223515204,275.20074399549793
43,2020-03-05,21,58.43552947881194,138.53663867487913,True,44,22.283679300415923,275.20074399549793
