,Report_Date,Mali_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,85.79224612581997,89.29026792770738,False,1,0.013981671403463907,146.139310490943
1,2020-01-23,0,85.79224612581997,89.29026792770738,False,2,0.01563083439377797,146.139310490943
2,2020-01-24,0,85.79224612581997,89.29026792770738,False,3,0.017474500053828702,146.139310490943
3,2020-01-25,0,85.79224612581997,89.29026792770738,False,4,0.019535603318749387,146.139310490943
4,2020-01-26,0,85.79224612581997,89.29026792770738,False,5,0.021839782326671844,146.139310490943
5,2020-01-27,0,85.79224612581997,89.29026792770738,False,6,0.024415696732276775,146.139310490943
6,2020-01-28,0,85.79224612581997,89.29026792770738,False,7,0.02729538342896823,146.139310490943
7,2020-01-29,0,85.79224612581997,89.29026792770738,False,8,0.030514654057451848,146.139310490943
8,2020-01-30,0,85.79224612581997,89.29026792770738,False,9,0.03411353918617287,146.139310490943
9,2020-01-31,0,85.79224612581997,89.29026792770738,False,10,0.038136784614455854,146.139310490943
10,2020-02-01,0,85.79224612581997,89.29026792770738,False,11,0.0426344058785497,146.139310490943
11,2020-02-02,0,85.79224612581997,89.29026792770738,False,12,0.04766230774098859,146.139310490943
12,2020-02-03,0,85.79224612581997,89.29026792770738,False,13,0.053282976222246176,146.139310490943
13,2020-02-04,0,85.79224612581997,89.29026792770738,False,14,0.05956625159877571,146.139310490943
14,2020-02-05,0,85.79224612581997,89.29026792770738,False,15,0.06659019175209006,146.139310490943
15,2020-02-06,0,85.79224612581997,89.29026792770738,False,16,0.07444203631916119,146.139310490943
16,2020-02-07,0,85.79224612581997,89.29026792770738,False,17,0.08321928327546024,146.139310490943
17,2020-02-08,0,85.79224612581997,89.29026792770738,False,18,0.09303089088948242,146.139310490943
18,2020-02-09,0,85.79224612581997,89.29026792770738,False,19,0.1039986194333509,146.139310490943
19,2020-02-10,0,85.79224612581997,89.29026792770738,False,20,0.11625852863041965,146.139310490943
20,2020-02-11,0,85.79224612581997,89.29026792770738,False,21,0.129962648580531,146.139310490943
21,2020-02-12,0,85.79224612581997,89.29026792770738,False,22,0.1452808438398733,146.139310490943
22,2020-02-13,0,85.79224612581997,89.29026792770738,False,23,0.16240289245841796,146.139310490943
23,2020-02-14,0,85.79224612581997,89.29026792770738,False,24,0.18154080410658666,146.139310490943
24,2020-02-15,0,85.79224612581997,89.29026792770738,False,25,0.20293140396620926,146.139310490943
25,2020-02-16,0,85.79224612581997,89.29026792770738,False,26,0.22683921182966144,146.139310490943
26,2020-02-17,0,85.79224612581997,89.29026792770738,False,27,0.2535596488537114,146.139310490943
27,2020-02-18,0,85.79224612581997,89.29026792770738,False,28,0.283422607656092,146.139310490943
28,2020-02-19,0,85.79224612581997,89.29026792770738,False,29,0.31679642492336657,146.139310490943
29,2020-02-20,0,85.79224612581997,89.29026792770738,False,30,0.3540922994118951,146.139310490943
30,2020-02-21,0,85.79224612581997,89.29026792770738,False,31,0.3957692021543301,146.139310490943
31,2020-02-22,0,85.79224612581997,89.29026792770738,False,32,0.44233932980495383,146.139310490943
32,2020-02-23,0,85.79224612581997,89.29026792770738,False,33,0.49437415632571724,146.139310490943
33,2020-02-24,0,85.79224612581997,89.29026792770738,False,34,0.5525111425684796,146.139310490943
34,2020-02-25,0,85.79224612581997,89.29026792770738,False,35,0.6174611676594716,146.139310490943
35,2020-02-26,0,85.79224612581997,89.29026792770738,False,36,0.690016750318731,146.139310490943
36,2020-02-27,0,85.79224612581997,89.29026792770738,False,37,0.771061132188574,146.139310490943
37,2020-02-28,0,85.79224612581997,89.29026792770738,False,38,0.8615782986883165,146.139310490943
38,2020-02-29,0,85.79224612581997,89.29026792770738,False,39,0.9626640155813424,146.139310490943
39,2020-03-01,0,85.79224612581997,89.29026792770738,False,40,1.0755379609810072,146.139310490943
40,2020-03-02,0,85.79224612581997,89.29026792770738,False,41,1.2015570324844254,146.139310490943
41,2020-03-03,0,85.79224612581997,89.29026792770738,False,42,1.342229906943021,146.139310490943
42,2020-03-04,0,85.79224612581997,89.29026792770738,False,43,1.4992329253528038,146.139310490943
43,2020-03-05,0,85.79224612581997,89.29026792770738,False,44,1.6744273666080332,146.139310490943
44,2020-03-06,0,85.79224612581997,89.29026792770738,False,45,1.8698781603491965,146.139310490943
45,2020-03-07,0,85.79224612581997,89.29026792770738,False,46,2.0878740695665803,146.139310490943
46,2020-03-08,0,85.79224612581997,89.29026792770738,False,47,2.3309493464575266,146.139310490943
47,2020-03-09,0,85.79224612581997,89.29026792770738,False,48,2.6019068284592644,146.139310490943
48,2020-03-10,0,85.79224612581997,89.29026792770738,False,49,2.9038423932657147,146.139310490943
49,2020-03-11,0,85.79224612581997,89.29026792770738,False,50,3.240170629542704,146.139310490943
50,2020-03-12,0,85.79224612581997,89.29026792770738,False,51,3.614651501226902,146.139310490943
51,2020-03-13,0,85.79224612581997,89.29026792770738,False,52,4.031417684694681,146.139310490943
52,2020-03-14,0,85.79224612581997,89.29026792770738,False,53,4.495002136480801,146.139310490943
53,2020-03-15,0,85.79224612581997,89.29026792770738,False,54,5.010365301305347,146.139310490943
54,2020-03-16,0,85.79224612581997,89.29026792770738,False,55,5.582921192770353,146.139310490943
55,2020-03-17,0,85.79224612581997,89.29026792770738,False,56,6.218561369521528,146.139310490943
56,2020-03-18,0,85.79224612581997,89.29026792770738,False,57,6.923675586172503,146.139310490943
57,2020-03-19,0,85.79224612581997,89.29026792770738,False,58,7.705167620652034,146.139310490943
